damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,71,5,10,0.34571942696952906,0.5908274808804903,0.9347101751224399,0.7384276267450397
10,betweenness,0,1,3,68,5,10,0.6638612708096875,0.6855851831110022,1.0,0.7237325495958846
10,betweenness,0,2,6,65,5,10,0.9383465322369037,0.7379582772859091,0.8812636055769844,0.7457751653196172
10,betweenness,0,3,9,62,5,10,0.9002551057019784,0.768992243509276,0.9243244144478253,0.7751653196179273
10,betweenness,0,4,12,59,5,10,0.8987770932293491,0.7970427763883442,0.9321045279326331,0.7788390889052161
10,betweenness,0,5,15,56,5,10,0.8872964840354022,0.8166297583678895,0.9421260820506029,0.7788390889052161
10,betweenness,0,6,18,53,5,10,0.8924983553403255,0.835254286047395,0.9295714186031928,0.7788390889052161
10,betweenness,0,7,21,50,5,10,0.8712307303654188,0.8593362074400535,0.9693430148205118,0.8008817046289488
10,betweenness,0,8,24,47,5,10,0.8747337388306345,0.8851949549241148,0.9627957014806136,0.8229243203526815
10,betweenness,0,9,27,44,5,10,0.9104123680225867,0.905833284356819,0.961944348182315,0.8229243203526815
10,betweenness,0,10,30,41,5,10,0.9384588137887658,0.9183220813447359,0.9548879978959057,0.8229243203526815
10,betweenness,0,11,33,38,5,10,0.9683388965787858,0.9289346254525909,0.9402958896276206,0.8449669360764138
10,betweenness,0,12,36,35,5,10,0.9558448741545971,0.9342072046881897,0.9424620650496774,0.8449669360764138
10,betweenness,0,13,39,32,5,10,0.9521518910746634,0.94265509539575,0.9424384708866562,0.841293166789125
10,betweenness,0,14,42,29,5,10,0.9626055600696627,0.9496313280145764,0.9444911856939371,0.841293166789125
10,betweenness,0,15,45,26,5,10,0.9582981076412959,0.9577212470556737,0.9506894287241515,0.8523144746509914
10,betweenness,0,16,48,23,5,10,0.956025960829899,0.9607303517394375,0.9494865742285942,0.8523144746509914
10,betweenness,0,17,51,20,5,10,0.9672556727957002,0.966803802079543,0.9537531161970295,0.8670095518001464
10,betweenness,0,18,54,17,5,10,0.9823754197127078,0.9786615168814395,0.9895114505999102,0.9074210139603229
10,betweenness,0,19,57,14,5,10,0.981617209980586,0.9811302638548721,0.9876443313420956,0.9441587068332106
10,betweenness,0,20,60,11,5,10,0.9849322490713441,0.9840953503861348,0.9904603813108322,0.9412196914033796
10,betweenness,0,21,63,8,5,10,0.9920289484498201,0.9920000898755255,0.9939600548253875,0.9412196914033796
10,betweenness,0,22,66,5,5,10,1.0,0.9962242451540312,1.0,0.9412196914033796
10,betweenness,0,23,69,2,5,10,1.0,0.999772781360057,0.9997409936394126,0.9632623071271124
10,betweenness,0,24,71,0,5,10,1.0,0.999772781360057,0.9997409936394126,1.0
10,betweenness,1,0,0,71,5,10,0.30518050404501934,0.6030196610363203,0.8934367241033986,0.8581925055106536
10,betweenness,1,1,3,68,5,10,0.3075592920105564,0.6137067505544719,0.9124097315019568,0.8692138133725198
10,betweenness,1,2,6,65,5,10,0.7560117998771221,0.6903698374841113,0.8812416398541285,0.8545187362233648
10,betweenness,1,3,9,62,5,10,0.6997563459703839,0.7179193519069581,0.9152340337454787,0.8861131520940478
10,betweenness,1,4,12,59,5,10,0.7842644830550584,0.7682404233505563,0.8665162297282731,0.8971344599559143
10,betweenness,1,5,15,56,5,10,0.7990553392483759,0.8003281575195818,0.8647293277590317,0.8971344599559143
10,betweenness,1,6,18,53,5,10,0.9184480487566429,0.8413258333750699,0.8655357939605907,0.8971344599559143
10,betweenness,1,7,21,50,5,10,0.9049950227802239,0.8625213882282364,0.8775893475478647,0.919177075679647
10,betweenness,1,8,24,47,5,10,0.8905006459405371,0.8775513073823985,0.8928678850591771,0.9412196914033796
10,betweenness,1,9,27,44,5,10,0.8859288706773301,0.8973912129863149,0.8822034194668663,0.9412196914033796
10,betweenness,1,10,30,41,5,10,0.8787063241475781,0.9153627742775793,0.9165108712138831,0.9412196914033796
10,betweenness,1,11,33,38,5,10,0.9182302995723337,0.9361615211940251,0.9195087871326957,0.9412196914033796
10,betweenness,1,12,36,35,5,10,0.9116889388772373,0.9412223918369402,0.91786729537705,0.9412196914033796
10,betweenness,1,13,39,32,5,10,0.9074314117939218,0.9435948768619181,0.9165417241779181,0.9412196914033796
10,betweenness,1,14,42,29,5,10,0.9324080685884988,0.9522251274689792,0.9200937295498145,0.9412196914033796
10,betweenness,1,15,45,26,5,10,0.9396521899345182,0.9618607736210205,0.9467789654211075,0.9375459221160909
10,betweenness,1,16,48,23,5,10,0.9653115303827654,0.9708003880361452,0.9494402469238536,0.9375459221160909
10,betweenness,1,17,51,20,5,10,0.9683609216308412,0.9779823366093316,0.9640464042971658,0.9375459221160909
10,betweenness,1,18,54,17,5,10,0.9717255846422876,0.981953102914389,0.9672358100337737,0.9595885378398235
10,betweenness,1,19,57,14,5,10,0.9816709511090201,0.9843596033523204,0.9664024031853994,0.9595885378398235
