damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,27,5,10,1.1478396386066818,0.8252801212511024,0.7241363675497673,1.0
10,betweenness,0,1,1,26,5,10,1.0,0.8357123621760258,0.7103406023547397,1.0
10,betweenness,0,2,2,25,5,10,1.0,0.8483630536649885,0.7059971518729491,1.0
10,betweenness,0,3,3,24,5,10,1.0,0.8547931999722452,0.7052984922279512,1.0
10,betweenness,0,4,4,23,5,10,1.0,0.8722858089883805,0.7132960151225003,1.0
10,betweenness,0,5,5,22,5,10,1.0,0.8846127656202658,0.7281007050967001,1.0
10,betweenness,0,6,6,21,5,10,1.0,0.8903573385325708,0.733596132160499,1.0
10,betweenness,0,7,7,20,5,10,1.0,0.9033924714031766,0.7428725094904214,1.0
10,betweenness,0,8,8,19,5,10,1.0,0.9142719271202923,0.7260098355432181,1.0
10,betweenness,0,9,9,18,5,10,1.0,0.9491056014853558,0.9484025441408839,1.0
10,betweenness,0,10,10,17,5,10,1.0,0.9584004140133511,0.9460497613115052,1.0
10,betweenness,0,11,11,16,5,10,1.0,0.9663954803428852,0.9412955434660545,1.0
10,betweenness,0,12,12,15,5,10,1.0,0.9693458818506817,0.9401796179622679,1.0
10,betweenness,0,13,13,14,5,10,1.0,0.9698533154614309,0.9402942004764103,1.0
10,betweenness,0,14,14,13,5,10,1.0,0.9723688950750583,0.9381028484346136,1.0
10,betweenness,0,15,15,12,5,10,1.0,0.9756498667165387,0.9442230501708957,1.0
10,betweenness,0,16,16,11,5,10,1.0,0.976480271915241,0.9447551117388141,1.0
10,betweenness,0,17,17,10,5,10,0.9968900626554202,0.980216081998333,0.9436097718181102,1.0
10,betweenness,0,18,18,9,5,10,0.9934482159288619,0.9848503365901113,0.9608187327822495,1.0
10,betweenness,0,19,19,8,5,10,0.9902965102802213,0.99005809401723,0.9770164631546508,1.0
10,betweenness,0,20,20,7,5,10,0.9887661129672606,0.9907134656800959,0.9759423589954939,1.0
10,betweenness,0,21,21,6,5,10,0.9865334281925637,0.9929964182052344,0.980246051935393,1.0
10,betweenness,0,22,22,5,5,10,1.0,0.9969643393963654,0.9938285673268746,1.0
10,betweenness,0,23,23,4,5,10,1.0,0.9972877617725171,0.9937070574637248,1.0
10,betweenness,0,24,24,3,5,10,1.0,0.9979993726760588,0.9937255492644632,1.0
