damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,106,5,10,0.8899255584044744,0.7791683066287106,0.8028355422077732,1.0
10,betweenness,0,1,5,101,5,10,0.8709577508500479,0.8035736391923924,0.8075095145116067,1.0
10,betweenness,0,2,10,96,5,10,0.8594302901911502,0.8273871273833387,0.8425558764303116,1.0
10,betweenness,0,3,15,91,5,10,0.8470705345573785,0.8448527666952215,0.8517580540649847,1.0
10,betweenness,0,4,20,86,5,10,0.8360285461533259,0.8728750839756169,0.8524123336550071,1.0
10,betweenness,0,5,25,81,5,10,0.8351367282829985,0.889340400830114,0.8540587719456142,1.0
10,betweenness,0,6,30,76,5,10,0.8373060329750639,0.8978649859181135,0.8951979482276715,1.0
10,betweenness,0,7,35,71,5,10,0.8331998782550784,0.9053991415293242,0.906103224914235,1.0
10,betweenness,0,8,40,66,5,10,0.848586763449247,0.915210244771618,0.9113554174013286,1.0
10,betweenness,0,9,45,61,5,10,0.9264900956058374,0.9248967972712233,0.9091181024359394,1.0
10,betweenness,0,10,50,56,5,10,0.9248745031375214,0.9304938066484331,0.9104420359371102,1.0
10,betweenness,0,11,55,51,5,10,0.9523855303650919,0.9486210264075351,0.92392582011842,1.0
10,betweenness,0,12,60,46,5,10,0.9580189503458828,0.9549158516149763,0.9221630765671341,1.0
10,betweenness,0,13,65,41,5,10,0.9572838750038818,0.9571252819210464,0.9237181456058685,1.0
10,betweenness,0,14,70,36,5,10,0.9560254671578317,0.9599042778624329,0.9268127785175453,1.0
10,betweenness,0,15,75,31,5,10,0.9642129139670605,0.9691946207588522,0.9508429712852613,1.0
10,betweenness,0,16,80,26,5,10,0.9709974324520114,0.9773142425926016,0.9584379060615984,1.0
10,betweenness,0,17,85,21,5,10,0.981288218531597,0.98736056346519,0.9767864957339225,1.0
10,betweenness,0,18,90,16,5,10,0.9972960727508655,0.9951484585226366,0.998902892825242,1.0
10,betweenness,0,19,95,11,5,10,1.0,0.9985087302129614,1.0,1.0
10,betweenness,0,20,100,6,5,10,1.0,0.9995471803665,1.0,1.0
10,betweenness,0,21,105,1,5,10,1.0,0.9999861642601262,0.999980333697637,1.0
10,betweenness,0,22,106,0,5,10,1.0,0.9999861642601262,0.999980333697637,1.0
10,betweenness,1,0,0,106,5,10,1.0418093127354981,0.8053755598944254,0.9188551454343508,1.03125
10,betweenness,1,1,5,101,5,10,1.0,0.8263610424475437,0.91416971938286,1.0
10,betweenness,1,2,10,96,5,10,0.9763590043586513,0.8520164568665822,0.9080793572439778,1.0
10,betweenness,1,3,15,91,5,10,0.9482646994980575,0.8633578237641123,0.9043967800073892,1.0
10,betweenness,1,4,20,86,5,10,0.9468686232702328,0.8809526510275855,0.9061365266676611,1.0
10,betweenness,1,5,25,81,5,10,0.8981925131399136,0.906358020970937,0.913604158298401,1.0
10,betweenness,1,6,30,76,5,10,0.8934751021985878,0.9166616639874783,0.9172480057293697,1.0
10,betweenness,1,7,35,71,5,10,0.8882038995789183,0.9247691699322221,0.9187559262840366,1.0
10,betweenness,1,8,40,66,5,10,0.9384726546038717,0.940031142202948,0.9225875736981998,1.0
10,betweenness,1,9,45,61,5,10,0.9377051509688227,0.9421923229493185,0.9230257003223544,1.0
10,betweenness,1,10,50,56,5,10,0.9504038498591362,0.952990991602473,0.9419419338557081,1.0
10,betweenness,1,11,55,51,5,10,0.9489522373874332,0.9563523113669575,0.9441282234071556,1.0
10,betweenness,1,12,60,46,5,10,0.9441752615311175,0.959267157246486,0.9481964062844451,1.0
10,betweenness,1,13,65,41,5,10,0.9411013014073664,0.9613481679718086,0.9486833204808683,1.0
10,betweenness,1,14,70,36,5,10,0.9483058994328772,0.9654515164651647,0.9573274498979392,1.0
10,betweenness,1,15,75,31,5,10,0.9624380858197744,0.9718098828684932,0.9598702845666388,1.0
10,betweenness,1,16,80,26,5,10,0.9864085068205664,0.9783101003173578,0.9626448128066916,1.0
10,betweenness,1,17,85,21,5,10,0.9952851058851971,0.9911291661933656,0.9642865863837731,1.0
10,betweenness,1,18,90,16,5,10,1.0,0.9982272903853984,0.9992492414762614,1.0
10,betweenness,1,19,95,11,5,10,1.0,0.9991075246263018,0.9997185434406073,1.0
10,betweenness,1,20,100,6,5,10,1.0,0.9997299643597366,1.0,1.0
10,betweenness,1,21,105,1,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,22,106,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,2,0,0,106,5,10,0.9657173690780881,0.7849322193350334,0.8550493082695348,0.9921874999999999
10,betweenness,2,1,5,101,5,10,0.9492368625396603,0.826521884924188,0.8750585521887786,1.0
10,betweenness,2,2,10,96,5,10,0.931822111386301,0.8465431753811267,0.8654149271834802,1.0
10,betweenness,2,3,15,91,5,10,0.922109420920683,0.868956113281434,0.8884864112089348,1.0
10,betweenness,2,4,20,86,5,10,0.8998672276471283,0.8852122849461936,0.8789631318667467,1.0
10,betweenness,2,5,25,81,5,10,0.8356921599955693,0.901570361202034,0.8972865148736721,1.0
10,betweenness,2,6,30,76,5,10,0.845665230877803,0.9215870045362808,0.9073792543338545,1.0
10,betweenness,2,7,35,71,5,10,0.8435648380347565,0.9273949539236939,0.9032826887593026,1.0
10,betweenness,2,8,40,66,5,10,0.9057668788331885,0.9318896001390472,0.896860202102503,1.0
10,betweenness,2,9,45,61,5,10,0.987209491283833,0.9414755584410578,0.8949894850611397,1.0
10,betweenness,2,10,50,56,5,10,0.9798132965795106,0.9488348315742892,0.897847696594845,1.0
10,betweenness,2,11,55,51,5,10,0.9771957332339417,0.9517042817537159,0.8965256486709785,1.0
10,betweenness,2,12,60,46,5,10,0.9817620392768861,0.9602887657322708,0.9213048661709935,1.0
10,betweenness,2,13,65,41,5,10,0.9810101227085823,0.9620329873146956,0.9216501853940227,1.0
10,betweenness,2,14,70,36,5,10,0.9805045985247801,0.9660806519991751,0.9258339819817502,1.0
10,betweenness,2,15,75,31,5,10,0.9646647629292331,0.9713794345268743,0.9507288294419314,1.0
10,betweenness,2,16,80,26,5,10,0.9793912873999758,0.9793949602486695,0.965935877766796,1.0
10,betweenness,2,17,85,21,5,10,0.9892915727767219,0.9916419482461762,0.9852324911654045,1.0
10,betweenness,2,18,90,16,5,10,1.0,0.9982302461102094,0.9992529724647881,1.0
10,betweenness,2,19,95,11,5,10,1.0,0.9992827457715682,1.0,1.0
10,betweenness,2,20,100,6,5,10,1.0,0.9996578067479069,1.0,1.0
10,betweenness,2,21,105,1,5,10,1.0,0.9996578067479069,1.0,1.0
10,betweenness,2,22,106,0,5,10,1.0,0.9996578067479069,1.0,1.0
10,betweenness,3,0,0,106,5,10,1.118983833161597,0.7885973712558965,0.905692028637786,0.984375
10,betweenness,3,1,5,101,5,10,1.0,0.8222090845148629,0.884556486987251,0.984375
10,betweenness,3,2,10,96,5,10,0.9779179760948943,0.8555843624059554,0.8845521356139031,0.984375
10,betweenness,3,3,15,91,5,10,0.940675334574124,0.8793426695884812,0.8793080664519752,0.984375
10,betweenness,3,4,20,86,5,10,0.9273157030135455,0.893629393406166,0.8805098638943556,0.984375
10,betweenness,3,5,25,81,5,10,0.9214096033133787,0.9024687682670912,0.8765460073055611,0.984375
10,betweenness,3,6,30,76,5,10,0.9170698895026689,0.9189190859337552,0.8906736000847987,0.984375
10,betweenness,3,7,35,71,5,10,0.914483904095091,0.9257301769678629,0.8878098262080296,0.984375
10,betweenness,3,8,40,66,5,10,0.9503880040455914,0.9356740677572796,0.8844106983852774,0.984375
10,betweenness,3,9,45,61,5,10,0.9473397229390619,0.9419916726422269,0.8884933544763061,0.984375
10,betweenness,3,10,50,56,5,10,0.9654421626280298,0.9532144877154254,0.8968844230038373,0.984375
10,betweenness,3,11,55,51,5,10,0.9733186917459073,0.9577460993205525,0.900520477672619,0.984375
10,betweenness,3,12,60,46,5,10,0.9766057826321808,0.9618096116999401,0.898803622927952,1.0
10,betweenness,3,13,65,41,5,10,0.9758245537851601,0.9640447359023188,0.8986863798937935,1.0
10,betweenness,3,14,70,36,5,10,0.9744221819781278,0.9653874738051333,0.8989364545710246,1.0
