damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,160,5,10,0.6421204459148792,0.6921953069080667,0.9027282822676708,0.9035087719298237
10,betweenness,0,1,8,152,5,10,0.7750196895807507,0.801713359130842,0.8890661168658778,0.9122807017543854
10,betweenness,0,2,16,144,5,10,0.7546721376078027,0.8346428933998453,0.8803070472736638,0.9122807017543854
10,betweenness,0,3,24,136,5,10,0.8333356167442575,0.8641492342688357,0.8786916452241122,0.9210526315789469
10,betweenness,0,4,32,128,5,10,0.910317057532265,0.8788379358515914,0.8418875379509273,0.9210526315789469
10,betweenness,0,5,40,120,5,10,0.9145829677150062,0.8960691936614373,0.8448806276231522,0.9473684210526312
10,betweenness,0,6,48,112,5,10,0.9094766254405235,0.9031090366969593,0.8422703342846273,0.9473684210526312
10,betweenness,0,7,56,104,5,10,0.9191038321381706,0.9288886476043043,0.8676157455471778,0.9473684210526312
10,betweenness,0,8,64,96,5,10,0.9187681014706754,0.9348419925698621,0.871600678490824,0.9473684210526312
10,betweenness,0,9,72,88,5,10,0.9168295160560691,0.9396807672267921,0.8721705376011519,0.9473684210526312
10,betweenness,0,10,80,80,5,10,0.9419058557969434,0.9548948981078864,0.9013492750362819,0.9692982456140348
10,betweenness,0,11,88,72,5,10,0.9515598014009169,0.9630903678364579,0.9203703899213576,0.9956140350877192
10,betweenness,0,12,96,64,5,10,0.9571234772541473,0.9667291011683852,0.9287159365587718,0.9956140350877192
10,betweenness,0,13,104,56,5,10,0.9674486364397992,0.97156929033761,0.9330956079804625,0.9912280701754386
10,betweenness,0,14,112,48,5,10,0.9804209286757961,0.9796156605506309,0.9593621474615217,0.9912280701754386
10,betweenness,0,15,120,40,5,10,0.9933934496585431,0.9885778038880737,0.9874540210531929,0.9912280701754386
10,betweenness,0,16,128,32,5,10,1.0,0.9923331511815942,0.9918447925200817,0.9912280701754386
10,betweenness,0,17,136,24,5,10,1.0,0.9944700970669914,0.9944700031427498,0.9912280701754386
10,betweenness,0,18,144,16,5,10,1.0,0.9962358844561855,0.9967708109505179,0.9912280701754386
10,betweenness,0,19,152,8,5,10,1.0,0.9971595777571021,0.9973284366995786,0.9912280701754386
10,betweenness,0,20,160,0,5,10,1.0,0.9971595777571021,0.9973284366995786,1.0
10,betweenness,1,0,0,160,5,10,1.2741441280210053,0.6238482705366014,0.7871097171385046,0.9561403508771923
10,betweenness,1,1,8,152,5,10,0.8553399424901725,0.7028016196086513,0.7593903313109746,0.9649122807017538
10,betweenness,1,2,16,144,5,10,0.8745490140860517,0.7799492990511733,0.7699096377720526,0.9605263157894731
10,betweenness,1,3,24,136,5,10,0.9399880264810417,0.8397057452038672,0.8001573298866383,0.9605263157894731
10,betweenness,1,4,32,128,5,10,0.9434012510096292,0.876320872469185,0.8013480613051109,0.9605263157894731
10,betweenness,1,5,40,120,5,10,0.9331547131749739,0.8876359443663921,0.8079542356132516,0.9605263157894731
10,betweenness,1,6,48,112,5,10,0.9237022151350348,0.896536886610408,0.8091973085104887,0.9868421052631576
10,betweenness,1,7,56,104,5,10,0.934015428850149,0.9171717840449738,0.8374520526791407,0.9692982456140348
10,betweenness,1,8,64,96,5,10,0.9383065392211593,0.9315730560079065,0.881683156003434,0.9692982456140348
10,betweenness,1,9,72,88,5,10,0.9341450246530754,0.9371154389916135,0.8781530085712983,0.9692982456140348
10,betweenness,1,10,80,80,5,10,0.95597585562412,0.9561796814827759,0.9052032989494793,0.9780701754385965
10,betweenness,1,11,88,72,5,10,0.9544995043390069,0.9593442911504116,0.9074174254491403,0.9736842105263157
