damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,237,5,10,1.1039364205057667,0.7399793593182405,0.7894536877314995,0.9216589861751151
10,betweenness,0,1,11,226,5,10,1.0,0.8026642232677181,0.8354452529980684,0.9216589861751151
10,betweenness,0,2,22,215,5,10,0.9477422429853681,0.8389868526526918,0.8542109421425534,0.9216589861751151
10,betweenness,0,3,33,204,5,10,0.8951332725107274,0.8648669717402433,0.8481590072943789,0.9216589861751151
10,betweenness,0,4,44,193,5,10,0.9563633611994793,0.9063145753555912,0.8562338265568489,0.9170506912442395
10,betweenness,0,5,55,182,5,10,0.9402267497055126,0.9157826565288812,0.852512569353111,0.9170506912442395
10,betweenness,0,6,66,171,5,10,0.934588733270001,0.9210478218198229,0.8562239287004103,0.9170506912442395
10,betweenness,0,7,77,160,5,10,0.9382501010494778,0.9347297658629212,0.8999371071312524,0.9170506912442395
10,betweenness,0,8,88,149,5,10,0.9357354429838113,0.9452507845961187,0.8996260844343409,0.9447004608294929
10,betweenness,0,9,99,138,5,10,0.9409033084160492,0.9523970736040777,0.9078628502100067,0.9447004608294929
10,betweenness,0,10,110,127,5,10,0.9377999078049227,0.9548987169358746,0.9074601570294326,0.9447004608294929
10,betweenness,0,11,121,116,5,10,0.936415020918049,0.9579140526554932,0.9073840672081989,0.9447004608294929
10,betweenness,0,12,132,105,5,10,0.965939306329902,0.9682484808154366,0.9094298040053675,0.9447004608294929
10,betweenness,0,13,143,94,5,10,0.9651407609449911,0.9696928264551841,0.9092946005214909,0.9447004608294929
10,betweenness,0,14,154,83,5,10,0.9632928915810276,0.9725975705927057,0.9120908731648889,0.9447004608294929
10,betweenness,0,15,165,72,5,10,0.9626584565936339,0.9745057331803347,0.9131522026830238,0.9447004608294929
10,betweenness,0,16,176,61,5,10,0.9631598046303785,0.9768598166761462,0.923427111836675,0.9447004608294929
10,betweenness,0,17,187,50,5,10,0.976808712221316,0.9852487292682209,0.9570479287156872,0.9447004608294929
10,betweenness,0,18,198,39,5,10,0.9913125555894692,0.9930868837023904,0.983139025739509,0.9447004608294929
10,betweenness,0,19,209,28,5,10,1.0,0.9981520307850614,0.9994708725426091,0.9447004608294929
10,betweenness,0,20,220,17,5,10,1.0,0.9990170552691694,0.9998708584389664,0.9723502304147466
10,betweenness,0,21,231,6,5,10,1.0,0.9996901095295244,0.9998826207605997,0.9723502304147466
10,betweenness,0,22,237,0,5,10,1.0,0.9997740794861513,0.9998559899709134,1.0
10,betweenness,1,0,0,237,5,10,1.024997374891657,0.7659996154833161,0.7740019037132906,0.935483870967742
10,betweenness,1,1,11,226,5,10,0.9132714785814157,0.8404310678631237,0.9097954187577129,0.8801843317972348
10,betweenness,1,2,22,215,5,10,0.887406489789708,0.8621825168935905,0.9081603917127412,0.8801843317972348
10,betweenness,1,3,33,204,5,10,0.9184416275255123,0.8995330350800452,0.937977814039247,0.8801843317972348
10,betweenness,1,4,44,193,5,10,0.92592311340206,0.9136304008521435,0.9333744183971283,0.8801843317972348
10,betweenness,1,5,55,182,5,10,0.9391146125614958,0.9219310354166793,0.9327678921911122,0.8801843317972348
10,betweenness,1,6,66,171,5,10,0.9348666691740238,0.9293297555241976,0.9368249677005808,0.9308755760368661
10,betweenness,1,7,77,160,5,10,0.9291857226824752,0.9368162903066948,0.9444202681190715,0.9308755760368661
10,betweenness,1,8,88,149,5,10,0.9460252794197638,0.945489856833083,0.9457178170886593,0.9308755760368661
10,betweenness,1,9,99,138,5,10,0.9456464535923934,0.9519477061821023,0.9471357181483392,0.9308755760368661
10,betweenness,1,10,110,127,5,10,0.9442596047634475,0.9549772045115787,0.9486188812864464,0.9308755760368661
10,betweenness,1,11,121,116,5,10,0.9644865141949232,0.9645135999247585,0.955030229246728,0.9308755760368661
10,betweenness,1,12,132,105,5,10,0.9622659265978272,0.9670275877373071,0.9546820342142424,0.9308755760368661
10,betweenness,1,13,143,94,5,10,0.9611608071376709,0.970469638095608,0.9563421331300451,0.9308755760368661
10,betweenness,1,14,154,83,5,10,0.963904675532218,0.9726430191755957,0.9555560701627238,0.9308755760368661
10,betweenness,1,15,165,72,5,10,0.9666712739415296,0.9765836731095231,0.955519232179286,0.9308755760368661
10,betweenness,1,16,176,61,5,10,0.9808635103535691,0.9837001731946295,0.9702160520854055,0.9308755760368661
10,betweenness,1,17,187,50,5,10,0.9953675586926468,0.9919391362052591,0.9887394850681311,0.9308755760368661
10,betweenness,1,18,198,39,5,10,1.0,0.9972663814507174,1.0,0.9585253456221198
10,betweenness,1,19,209,28,5,10,1.0,0.9980397467303658,1.0,0.9585253456221198
10,betweenness,1,20,220,17,5,10,1.0,0.9989223656007294,1.0,0.9585253456221198
10,betweenness,1,21,231,6,5,10,1.0,0.9992950485377502,1.0,0.9539170506912441
10,betweenness,1,22,237,0,5,10,1.0,0.9993669780922203,1.0,1.0
10,betweenness,2,0,0,237,5,10,0.8581139880924418,0.8126251081935987,0.8413465302295912,1.0645161290322585
10,betweenness,2,1,11,226,5,10,0.9171880878670726,0.8409196640175034,0.8468244597320499,1.0
10,betweenness,2,2,22,215,5,10,0.8931212710944689,0.8709503126931265,0.8672762437612496,1.0
