damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,170,5,10,0.8002325275494734,0.821254909963555,0.9694171290869711,0.9880952380952381
10,betweenness,0,1,8,162,5,10,0.7883525571014574,0.848477094881518,0.9756016180754673,0.9880952380952381
10,betweenness,0,2,16,154,5,10,0.7599374645472258,0.869244954941971,0.9719557206229806,0.9880952380952381
10,betweenness,0,3,24,146,5,10,0.8269244855272786,0.8860997675116352,0.9672581086363825,0.9880952380952381
10,betweenness,0,4,32,138,5,10,0.8100603802396316,0.9029671295596307,0.9734596708035849,0.9880952380952381
10,betweenness,0,5,40,130,5,10,0.8587560451834648,0.926545640457824,0.9758474295244159,1.0
10,betweenness,0,6,48,122,5,10,0.8601345649713058,0.9335780145356316,0.9757446070354879,1.0
10,betweenness,0,7,56,114,5,10,0.8769490753596146,0.9421376532541698,0.9740507676025919,1.0
10,betweenness,0,8,64,106,5,10,0.9117964486101742,0.9459710121291398,0.9755008173472923,1.0
10,betweenness,0,9,72,98,5,10,0.9172016189510435,0.9544010797335944,0.9741093925260619,1.0
10,betweenness,0,10,80,90,5,10,0.9129177608738888,0.9577104809688196,0.9735690114561527,1.0
10,betweenness,0,11,88,82,5,10,0.9258165183422908,0.9672294233013444,0.9860906377604138,1.0
10,betweenness,0,12,96,74,5,10,0.9383182649588774,0.9720813929011586,0.9908242850445333,1.0
10,betweenness,0,13,104,66,5,10,0.9423813557591341,0.9745863286923956,0.991856106823002,1.0
10,betweenness,0,14,112,58,5,10,0.9421974043606459,0.9789656628815651,0.9924342070114667,1.0
10,betweenness,0,15,120,50,5,10,0.9560532764929505,0.9830847003073975,0.9930307988813092,1.0
10,betweenness,0,16,128,42,5,10,0.9714039945912748,0.9872213868417681,0.9930798151448464,1.0
10,betweenness,0,17,136,34,5,10,0.9846183540281425,0.9930713521270993,0.9976365682787602,1.0
10,betweenness,0,18,144,26,5,10,1.0,0.9969278451733486,1.0,1.0
10,betweenness,0,19,152,18,5,10,1.0,0.9983726669234212,1.0,1.0
10,betweenness,0,20,160,10,5,10,1.0,0.9998643578353251,1.0,1.0
10,betweenness,0,21,168,2,5,10,1.0,1.0,1.0,1.0
10,betweenness,0,22,170,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,170,5,10,0.9839448625715926,0.8288797932605115,0.9527490975714407,0.9821428571428571
10,betweenness,1,1,8,162,5,10,0.9314468306434213,0.8449471792518555,0.9626465817534727,0.9821428571428571
10,betweenness,1,2,16,154,5,10,0.9163413076810745,0.8595772275769848,0.9652109432682745,0.9821428571428571
10,betweenness,1,3,24,146,5,10,0.8482820905995813,0.8727632418053927,0.9615343056976798,0.9821428571428571
10,betweenness,1,4,32,138,5,10,0.8635747197430818,0.8990632864270944,0.9546687487519526,0.9821428571428571
10,betweenness,1,5,40,130,5,10,0.901134153839962,0.9081680683441647,0.9532402949479399,0.9821428571428571
10,betweenness,1,6,48,122,5,10,0.8815786497150178,0.914637122874739,0.9518421058594965,0.9821428571428571
10,betweenness,1,7,56,114,5,10,0.8738146668733829,0.9262993014515608,0.9588422644275056,0.9583333333333333
10,betweenness,1,8,64,106,5,10,0.9211142993375434,0.9384395838174817,0.9681240148526167,0.9583333333333333
10,betweenness,1,9,72,98,5,10,0.9205460253682652,0.9443035347348546,0.9687798031344033,0.9821428571428572
10,betweenness,1,10,80,90,5,10,0.918630432788203,0.9462340050138642,0.9679149757498045,0.9821428571428572
10,betweenness,1,11,88,82,5,10,0.9363694810260591,0.9531949138931964,0.9691044698036759,0.9821428571428572
10,betweenness,1,12,96,74,5,10,0.9468663415039563,0.9607998646479151,0.969613724981576,0.9821428571428572
10,betweenness,1,13,104,66,5,10,0.95138187299669,0.9662348193498124,0.9702897751586504,0.9821428571428572
