damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,100,5,10,1.5335658312461962,0.6958220031175625,0.9926916039365935,0.8636363636363636
10,betweenness,0,1,5,95,5,10,1.0,0.8175580091575961,0.9914962773668198,0.8636363636363636
10,betweenness,0,2,10,90,5,10,1.0,0.9075297841133882,0.9528576463960928,0.8636363636363636
10,betweenness,0,3,15,85,5,10,0.981876647265549,0.9365236232445291,0.9407038189413129,0.8636363636363636
10,betweenness,0,4,20,80,5,10,0.9723087701752545,0.9485153647521364,0.9556981548972603,0.8636363636363636
10,betweenness,0,5,25,75,5,10,1.0,0.9580669519428907,0.9569919932340065,0.8636363636363636
10,betweenness,0,6,30,70,5,10,0.9936814111048757,0.9666012307070337,0.9490631448714629,0.8636363636363636
10,betweenness,0,7,35,65,5,10,0.9889409304654424,0.9702953527271254,0.9474982837740337,0.8636363636363636
10,betweenness,0,8,40,60,5,10,0.9818346540020373,0.9748297169859742,0.9450969340995043,0.8636363636363636
10,betweenness,0,9,45,55,5,10,0.9883195244221443,0.9827864241225587,0.970732041843937,0.8636363636363636
10,betweenness,0,10,50,50,5,10,0.9880905082734001,0.9880512733876969,0.9867377559737144,0.8636363636363636
10,betweenness,0,11,55,45,5,10,0.9862780921164194,0.9902005480132632,0.9866189228792455,0.8636363636363636
10,betweenness,0,12,60,40,5,10,1.0,0.9947042430819995,0.994255915774328,1.0
10,betweenness,0,13,65,35,5,10,1.0,0.9966572527853548,0.9968429414815206,1.0
10,betweenness,0,14,70,30,5,10,1.0,0.997596498613754,0.9973581376432482,1.0
10,betweenness,0,15,75,25,5,10,1.0,0.9984081204773582,0.9987071651107504,1.0
10,betweenness,0,16,80,20,5,10,1.0,0.9990927881888385,0.9990219455250353,1.0
10,betweenness,0,17,85,15,5,10,1.0,0.9994677281872554,0.9993633270665194,1.0
10,betweenness,0,18,90,10,5,10,1.0,0.9997425418031429,0.999699149090236,1.0
10,betweenness,0,19,95,5,5,10,1.0,0.9999154424728152,0.9998941096419237,1.0
10,betweenness,0,20,100,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,100,5,10,1.2578268789485316,0.7956389934356799,0.9188437931632847,0.8636363636363634
10,betweenness,1,1,5,95,5,10,1.0,0.9147472553087326,0.9871154896091437,0.8636363636363634
10,betweenness,1,2,10,90,5,10,0.985561159676534,0.9339601486953695,0.9785561182516849,0.8636363636363634
10,betweenness,1,3,15,85,5,10,0.973928078032185,0.9444233000196026,0.9654708162357425,0.8636363636363634
10,betweenness,1,4,20,80,5,10,0.9617825351195176,0.9499953514858869,0.9669625254311143,0.8636363636363634
10,betweenness,1,5,25,75,5,10,0.9542253899323124,0.959628896688205,0.9711672844441392,0.9545454545454545
10,betweenness,1,6,30,70,5,10,0.993471653219532,0.9642098426776132,0.9705851389856858,0.9393939393939393
10,betweenness,1,7,35,65,5,10,0.9876434380098363,0.9699191531932774,0.9693038308861972,0.9393939393939393
10,betweenness,1,8,40,60,5,10,0.9910503944987655,0.977763236594327,0.9694412347179698,1.0
10,betweenness,1,9,45,55,5,10,0.988680832489323,0.9819900627600558,0.9677942005117088,0.909090909090909
10,betweenness,1,10,50,50,5,10,0.9868656094055787,0.9837689605189693,0.9704417062341153,0.909090909090909
10,betweenness,1,11,55,45,5,10,0.9854288746394864,0.9855152820582471,0.9709283146389014,0.909090909090909
10,betweenness,1,12,60,40,5,10,0.9871506258706124,0.9905009081082696,0.9823441396140579,0.909090909090909
10,betweenness,1,13,65,35,5,10,1.0,0.9937285698167104,0.9939680979805293,0.909090909090909
10,betweenness,1,14,70,30,5,10,1.0,0.9960599041864807,0.997497831361219,0.909090909090909
10,betweenness,1,15,75,25,5,10,1.0,0.9976167773053523,1.0,0.909090909090909
10,betweenness,1,16,80,20,5,10,1.0,0.9983572083589808,0.999505484622335,1.0
10,betweenness,1,17,85,15,5,10,1.0,0.9990350714427811,0.999726092222155,1.0
10,betweenness,1,18,90,10,5,10,1.0,0.999375815851743,1.0,1.0
10,betweenness,1,19,95,5,5,10,1.0,0.9996718425826067,0.9994930662642438,1.0
10,betweenness,1,20,100,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,2,0,0,100,5,10,1.2398871604354753,0.7872194925626447,0.8296923162171423,0.9696969696969696
10,betweenness,2,1,5,95,5,10,1.0,0.876106855221462,0.9639391260572894,1.0
10,betweenness,2,2,10,90,5,10,0.9993632115443677,0.9308868382070129,0.9776682517771372,1.0
10,betweenness,2,3,15,85,5,10,0.9887424252977793,0.9390072236369654,0.9806144928542355,1.0
10,betweenness,2,4,20,80,5,10,0.9769608330674816,0.9505056866949395,0.9818904007149347,1.0
10,betweenness,2,5,25,75,5,10,0.9722808727336246,0.9541907287047208,0.9847014149679627,1.0
10,betweenness,2,6,30,70,5,10,1.0,0.9605329519671165,0.9850223976190056,1.0
10,betweenness,2,7,35,65,5,10,1.0,0.9682735972081423,0.9847779518042176,1.0
10,betweenness,2,8,40,60,5,10,1.0,0.974243353996191,0.9842361122274131,1.0
10,betweenness,2,9,45,55,5,10,1.0,0.9778794699687033,0.9809712485698611,1.0
10,betweenness,2,10,50,50,5,10,1.0,0.9855389991868443,0.9941968459207933,1.0
10,betweenness,2,11,55,45,5,10,1.0,0.9887917810230678,0.9957434218025378,1.0
10,betweenness,2,12,60,40,5,10,1.0,0.9937876065310793,0.9986220365823335,1.0
10,betweenness,2,13,65,35,5,10,1.0,0.9952589945764375,0.9982416909676595,1.0
10,betweenness,2,14,70,30,5,10,1.0,0.9964797561649442,0.9997135415469367,1.0
10,betweenness,2,15,75,25,5,10,1.0,0.9975872864356197,0.9995675375040902,1.0
10,betweenness,2,16,80,20,5,10,1.0,0.9986047890821615,0.9999097945166019,1.0
10,betweenness,2,17,85,15,5,10,1.0,0.999198086516812,1.0,1.0
10,betweenness,2,18,90,10,5,10,1.0,0.9996002755935783,1.0,1.0
10,betweenness,2,19,95,5,5,10,1.0,0.999805082749485,1.0,1.0
10,betweenness,2,20,100,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,3,0,0,100,5,10,1.017801046833636,0.8479635026649359,1.0580115786000799,0.8181818181818178
10,betweenness,3,1,5,95,5,10,0.9006269711672165,0.9223035326912338,1.0,0.8181818181818178
10,betweenness,3,2,10,90,5,10,0.9548131694127376,0.9437006355909855,1.0,0.8181818181818178
10,betweenness,3,3,15,85,5,10,1.0,0.962974098831416,0.9806485731990547,0.8181818181818178
10,betweenness,3,4,20,80,5,10,1.0,0.9727551457051654,0.980482732623708,0.8181818181818178
10,betweenness,3,5,25,75,5,10,0.9996004640181724,0.9766207228549547,0.9808586324422005,0.8181818181818178
10,betweenness,3,6,30,70,5,10,0.9963286000707273,0.9794042668681868,0.9826492505917299,0.8181818181818178
10,betweenness,3,7,35,65,5,10,0.9918505522887514,0.9814337934912161,0.9824387653981294,0.8181818181818178
10,betweenness,3,8,40,60,5,10,0.9897089893346852,0.9842251373489015,0.9820550141786796,0.8181818181818178
10,betweenness,3,9,45,55,5,10,0.9857039014550313,0.9872920186172773,0.9833037933231988,0.8181818181818178
10,betweenness,3,10,50,50,5,10,0.9832135624960276,0.9900210397943286,0.985975421505136,0.8181818181818178
10,betweenness,3,11,55,45,5,10,0.9898862413818567,0.9931324444239994,0.9877216704299194,0.8181818181818178
10,betweenness,3,12,60,40,5,10,1.0,0.9955912426658512,0.9983313943005107,0.8181818181818178
10,betweenness,3,13,65,35,5,10,1.0,0.9969826980050216,0.9988592094776693,0.909090909090909
10,betweenness,3,14,70,30,5,10,1.0,0.9982669241160059,0.9996863739389333,0.909090909090909
10,betweenness,3,15,75,25,5,10,1.0,0.9991215857401794,0.9990569673677784,0.909090909090909
10,betweenness,3,16,80,20,5,10,1.0,0.9994799569090179,0.9995905549336648,0.909090909090909
10,betweenness,3,17,85,15,5,10,1.0,0.9996387211481866,0.9996669324632239,0.909090909090909
10,betweenness,3,18,90,10,5,10,1.0,0.9998597183247048,0.9999543702808984,1.0
10,betweenness,3,19,95,5,5,10,1.0,0.9999215127929503,0.9998839012944419,1.0
10,betweenness,3,20,100,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,4,0,0,100,5,10,1.351269571753505,0.774055559941255,0.9567808247747215,0.8787878787878785
10,betweenness,4,1,5,95,5,10,1.0,0.8532298527094135,0.9831575096881091,0.9696969696969696
10,betweenness,4,2,10,90,5,10,1.0,0.902779899306489,0.9697957214101879,0.9696969696969696
10,betweenness,4,3,15,85,5,10,1.0,0.9238119778358065,0.9627986173093362,0.9696969696969696
10,betweenness,4,4,20,80,5,10,1.0,0.9404374751886198,0.9507071852843422,0.9696969696969696
10,betweenness,4,5,25,75,5,10,1.0,0.9490571746225723,0.9701568540884021,0.9696969696969696
10,betweenness,4,6,30,70,5,10,1.0,0.9589021454154474,0.9691009368033707,0.9696969696969696
10,betweenness,4,7,35,65,5,10,1.0,0.9659127651414042,0.9788086744486802,0.9696969696969696
10,betweenness,4,8,40,60,5,10,1.0,0.9716563823378412,0.9838385622012139,0.9696969696969696
10,betweenness,4,9,45,55,5,10,1.0,0.9786298880730876,0.9799492296339184,0.9696969696969696
10,betweenness,4,10,50,50,5,10,1.0,0.9809417625426549,0.9800356070941192,0.9696969696969696
10,betweenness,4,11,55,45,5,10,0.9988652830252406,0.9837097749455381,0.9808022998562815,0.9696969696969696
10,betweenness,4,12,60,40,5,10,0.9961120439444675,0.9874879366898827,0.9859634906133236,0.9696969696969696
10,betweenness,4,13,65,35,5,10,0.9944532648964639,0.9897721797644914,0.9870377695855338,1.0
10,betweenness,4,14,70,30,5,10,1.0,0.9944354818525506,0.9961043105163436,1.0
10,betweenness,4,15,75,25,5,10,1.0,0.9966098798154837,0.9990515005819444,1.0
10,betweenness,4,16,80,20,5,10,1.0,0.9981924595123743,1.0,1.0
10,betweenness,4,17,85,15,5,10,1.0,0.9989233316518228,1.0,1.0
10,betweenness,4,18,90,10,5,10,1.0,0.9992106358591021,1.0,1.0
10,betweenness,4,19,95,5,5,10,1.0,0.9998308372982347,1.0,1.0
10,betweenness,4,20,100,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,5,0,0,100,5,10,1.4966277645309887,0.67877429604752,0.9869330408969305,0.909090909090909
10,betweenness,5,1,5,95,5,10,1.0,0.8008543876549569,0.9139709582964257,0.909090909090909
10,betweenness,5,2,10,90,5,10,1.0,0.8811235680161025,0.9721518583177781,0.909090909090909
10,betweenness,5,3,15,85,5,10,1.0,0.9218136174329636,0.9860623819541751,0.909090909090909
10,betweenness,5,4,20,80,5,10,1.0,0.9395970361086473,0.9807518784168607,0.909090909090909
10,betweenness,5,5,25,75,5,10,1.0,0.9570729102947997,0.9764740072613964,0.909090909090909
10,betweenness,5,6,30,70,5,10,1.0,0.9649400507226609,0.9786468811215999,1.0
10,betweenness,5,7,35,65,5,10,1.0,0.9728653027290386,0.9804143621240733,1.0
10,betweenness,5,8,40,60,5,10,0.9973761361534527,0.9775526032291343,0.9797428700643642,1.0
10,betweenness,5,9,45,55,5,10,0.9918931655032152,0.980177360561593,0.9748002473053831,1.0
10,betweenness,5,10,50,50,5,10,0.9887004724293168,0.9838492141754298,0.9794891299621973,1.0
10,betweenness,5,11,55,45,5,10,0.986499893068051,0.9860243339531596,0.9780092320106045,1.0
10,betweenness,5,12,60,40,5,10,0.9844954799708184,0.9876186228344578,0.9768860443867282,1.0
10,betweenness,5,13,65,35,5,10,0.9920312659359879,0.9899000884597959,0.9766290278618173,1.0
10,betweenness,5,14,70,30,5,10,1.0,0.994408317863183,0.9894730546239637,1.0
10,betweenness,5,15,75,25,5,10,1.0,0.9966595129110339,0.9954967875870141,1.0
10,betweenness,5,16,80,20,5,10,1.0,0.9975538940789614,0.9968977882883703,1.0
10,betweenness,5,17,85,15,5,10,1.0,0.9989395676488779,0.9990426643963416,1.0
10,betweenness,5,18,90,10,5,10,1.0,0.9993963324445093,0.9996114193606278,1.0
10,betweenness,5,19,95,5,5,10,1.0,0.9997615958134437,0.9998189933250117,1.0
10,betweenness,5,20,100,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,6,0,0,100,5,10,1.443664799977557,0.7291208794364638,0.9793340488665884,1.1363636363636362
10,betweenness,6,1,5,95,5,10,1.0,0.8867475093647917,0.9830917058011105,1.0
10,betweenness,6,2,10,90,5,10,0.9839962871102311,0.9448396440247648,0.9760716044019797,1.0
10,betweenness,6,3,15,85,5,10,0.9674874352694154,0.9555157443734574,0.9764835204526597,1.0
10,betweenness,6,4,20,80,5,10,0.957299126764753,0.9631798553154147,0.9799099963749119,1.0
10,betweenness,6,5,25,75,5,10,0.9513437619690909,0.9662209735542,0.9818439442961607,1.0
10,betweenness,6,6,30,70,5,10,0.947782368344353,0.9693444948547312,0.9841777028664732,1.0
10,betweenness,6,7,35,65,5,10,1.0,0.9754111939495054,0.9798345560989424,1.0
10,betweenness,6,8,40,60,5,10,0.9994986320934178,0.9787969561701637,0.9899458045960025,1.0
10,betweenness,6,9,45,55,5,10,0.9968696191574893,0.9807737684179738,0.9902258116779867,1.0
10,betweenness,6,10,50,50,5,10,0.9960528077465133,0.9865516554886602,0.9946448903615506,1.0
