damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,73,5,10,0.2752871772048394,0.07645514994471296,0.07141027673315566,0.9071038251366123
10,betweenness,0,1,3,70,5,10,0.7499505186642264,0.6496843333512514,0.7240221147077252,0.9398907103825138
10,betweenness,0,2,6,67,5,10,0.7091691851488142,0.8501425765179542,0.8215416368684392,0.9398907103825138
10,betweenness,0,3,9,64,5,10,0.8014547174313275,0.8579411930421944,0.8353834844689255,0.9398907103825138
10,betweenness,0,4,12,61,5,10,0.861517169740687,0.8822276143900409,0.8117377713375887,0.9398907103825138
10,betweenness,0,5,15,58,5,10,0.882632708675245,0.9023751813090297,0.7868117805068042,0.9398907103825138
10,betweenness,0,6,18,55,5,10,0.8750906101080754,0.9330793536898062,0.8778251846655524,0.9453551912568307
10,betweenness,0,7,21,52,5,10,0.8930990816062401,0.9364625947900513,0.8828269416381509,0.9453551912568307
10,betweenness,0,8,24,49,5,10,0.9116473803013415,0.9481185536992133,0.8647403108415729,0.9453551912568307
10,betweenness,0,9,27,46,5,10,0.9093561005688704,0.9483022934885124,0.86471626386448,0.9453551912568307
10,betweenness,0,10,30,43,5,10,0.9098458362150883,0.9539732501982995,0.8814890850452337,0.9453551912568307
10,betweenness,0,11,33,40,5,10,0.9158758370145822,0.9549438353337468,0.882031959024448,0.9453551912568307
10,betweenness,0,12,36,37,5,10,0.9325184291808415,0.9589089714386468,0.8912711098171894,0.9453551912568307
10,betweenness,0,13,39,34,5,10,0.9315933185235814,0.9591423089446405,0.8908646415058796,0.9453551912568307
10,betweenness,0,14,42,31,5,10,0.9288889050621462,0.9601254903614593,0.8898123546726595,0.9453551912568307
10,betweenness,0,15,45,28,5,10,0.9276662407411046,0.9602531054922013,0.8899298959623962,0.9453551912568307
10,betweenness,0,16,48,25,5,10,0.9311257125190031,0.9619332069917287,0.8900720527775392,0.9453551912568307
10,betweenness,0,17,51,22,5,10,0.940977324240637,0.9688267368717814,0.9083060615025444,0.9453551912568307
10,betweenness,0,18,54,19,5,10,0.9493527001731066,0.979322029178351,0.9415584852183829,0.9453551912568307
10,betweenness,0,19,57,16,5,10,0.9595978915664226,0.9882113238880911,0.9760919889963489,1.0
10,betweenness,0,20,60,13,5,10,0.970918736870528,0.9934165600244094,0.9779685328075027,1.0
10,betweenness,0,21,63,10,5,10,0.9808032718736359,0.9996622028169291,1.0,1.0
10,betweenness,0,22,66,7,5,10,0.9920718663774686,0.999858401548408,1.0,1.0
10,betweenness,0,23,69,4,5,10,1.0,0.9999632324951012,1.0,1.0
10,betweenness,0,24,72,1,5,10,1.0,1.0,1.0,1.0
10,betweenness,0,25,73,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,73,5,10,0.3087887489409784,0.6836094934335831,0.9660167009345273,0.9617486338797814
10,betweenness,1,1,3,70,5,10,0.53680030813144,0.8668312433585315,0.9138175202625517,0.994535519125683
10,betweenness,1,2,6,67,5,10,0.7026264891451518,0.8906162181092708,0.9191922165299017,1.0
10,betweenness,1,3,9,64,5,10,0.7614698545454287,0.8960632293321976,0.9370537837857927,1.0
10,betweenness,1,4,12,61,5,10,0.8604205196824875,0.9239484680808566,0.8905003060008426,1.0
10,betweenness,1,5,15,58,5,10,0.8864290909701187,0.9448322490129275,0.8418579301199629,0.9562841530054644
10,betweenness,1,6,18,55,5,10,0.9086572239907357,0.9541046974373709,0.871455282364063,0.9562841530054644
10,betweenness,1,7,21,52,5,10,0.90333737027314,0.9612431172669541,0.8929500546250824,0.9562841530054644
10,betweenness,1,8,24,49,5,10,0.902235342769183,0.9616724380736725,0.8932943922897497,0.9562841530054644
10,betweenness,1,9,27,46,5,10,0.8954233455276721,0.9628094100006781,0.8936241057191326,0.9562841530054644
10,betweenness,1,10,30,43,5,10,0.9172470713171954,0.9634122846340516,0.8946982884837108,0.9672131147540984
10,betweenness,1,11,33,40,5,10,0.9327515836584528,0.9779304650726589,0.9264668227136561,0.9672131147540984
10,betweenness,1,12,36,37,5,10,0.9397116268368687,0.9786262307062588,0.9256332518663167,0.9672131147540984
10,betweenness,1,13,39,34,5,10,0.9423050462295244,0.9795259316229112,0.9257731624076462,0.9672131147540984
10,betweenness,1,14,42,31,5,10,0.9463751605704693,0.9809586101800439,0.9260032359801965,0.9672131147540984
10,betweenness,1,15,45,28,5,10,0.9455741597567278,0.9811222167074617,0.9259192948305681,0.9672131147540984
10,betweenness,1,16,48,25,5,10,0.9514152728265068,0.9903663258991978,0.9858198612342343,0.9672131147540984
10,betweenness,1,17,51,22,5,10,0.9638606732155016,0.995338802360806,0.9928127069045046,0.9453551912568307
10,betweenness,1,18,54,19,5,10,0.9743723668861263,0.998884076896314,0.9993204348865793,0.9453551912568307
10,betweenness,1,19,57,16,5,10,0.984786966069884,0.9991917044346352,0.9991217938929041,1.0
10,betweenness,1,20,60,13,5,10,0.9970990812080371,0.9993586711116744,0.999081492570111,1.0
10,betweenness,1,21,63,10,5,10,1.0,0.9999398909737949,1.0,1.0
10,betweenness,1,22,66,7,5,10,1.0,0.999978239317218,1.0,1.0
10,betweenness,1,23,69,4,5,10,1.0,0.9999919281105764,0.9999963367456772,1.0
10,betweenness,1,24,72,1,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,25,73,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,2,0,0,73,5,10,0.2164879712620976,0.3541850149497519,0.7572283374479716,0.8797814207650276
10,betweenness,2,1,3,70,5,10,0.6924280337448638,0.7876167528038167,0.7680265426214846,0.8797814207650276
10,betweenness,2,2,6,67,5,10,0.8021754821295848,0.792729549077563,0.7633785614564923,0.8797814207650276
10,betweenness,2,3,9,64,5,10,0.770127863782622,0.8054516294719061,0.7978743402045699,0.8797814207650276
10,betweenness,2,4,12,61,5,10,0.8240812514813631,0.8403662500248502,0.7661470597663834,0.8797814207650276
