damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,77,5,10,0.23985373139988575,0.594370445840415,0.8697776006847566,0.8916967509025261
10,betweenness,0,1,3,74,5,10,0.2557021213766339,0.6297424770378962,0.8605873908600011,0.8916967509025261
10,betweenness,0,2,6,71,5,10,0.6340895780862518,0.7257763550462276,0.8839206085050699,0.8628158844765333
10,betweenness,0,3,9,68,5,10,0.7139063342907552,0.7537084336955022,0.8762490255729392,0.8700361010830316
10,betweenness,0,4,12,65,5,10,0.685003722545025,0.7652757475167437,0.8877265038727271,0.8700361010830316
10,betweenness,0,5,15,62,5,10,0.7229328531405796,0.7982315040390173,0.8983656004608065,0.8411552346570388
10,betweenness,0,6,18,59,5,10,0.7547593035845771,0.8208829604675949,0.8930609398021362,0.8411552346570388
10,betweenness,0,7,21,56,5,10,0.7409701779579076,0.8557186302387596,0.9487460482532171,0.8411552346570388
10,betweenness,0,8,24,53,5,10,0.8198184857002833,0.8769916787653159,0.9313021088576019,0.8411552346570388
10,betweenness,0,9,27,50,5,10,0.8944340392250485,0.8961728369999045,0.9212561337762606,0.87725631768953
10,betweenness,0,10,30,47,5,10,0.8910164608180823,0.912791876789698,0.9359125430351307,0.8989169675090247
10,betweenness,0,11,33,44,5,10,0.9251564254161366,0.9211398924886381,0.9196123630937904,0.8989169675090247
10,betweenness,0,12,36,41,5,10,0.9358029407830852,0.9409178234175744,0.937129498933574,0.8700361010830318
10,betweenness,0,13,39,38,5,10,0.9457482191563779,0.9504250578447356,0.9533113298244693,0.8700361010830318
10,betweenness,0,14,42,35,5,10,0.9500788442758654,0.9568623302307747,0.9485715210516824,0.8700361010830318
10,betweenness,0,15,45,32,5,10,0.9447119681376831,0.960181133468528,0.9485501595883786,0.8916967509025265
10,betweenness,0,16,48,29,5,10,0.9530990103794587,0.9670728641697672,0.9496169380996619,0.9133574007220212
10,betweenness,0,17,51,26,5,10,0.9668497778037981,0.9720746078143913,0.9560887797648733,0.9783393501805052
10,betweenness,0,18,54,23,5,10,0.9700304352577338,0.9791805194481984,0.9702694471064461,1.0
10,betweenness,0,19,57,20,5,10,0.9717537071121609,0.9822015581151784,0.9738671482253172,1.0
10,betweenness,0,20,60,17,5,10,0.9799421232657384,0.9853838694827589,0.9740367950801515,1.0
10,betweenness,0,21,63,14,5,10,0.9860845463592367,0.9901848318524499,0.9753756867086572,1.0
10,betweenness,0,22,66,11,5,10,0.9892815236961907,0.9929382419414323,0.9784015526478386,1.0
10,betweenness,0,23,69,8,5,10,0.9976772270614083,0.9970851997185616,0.9946640580392169,1.0
10,betweenness,0,24,72,5,5,10,1.0,0.9984202645512911,0.9976896226994931,1.0
10,betweenness,0,25,75,2,5,10,1.0,1.0,1.0,1.0
10,betweenness,0,26,77,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,77,5,10,0.618101085748686,0.6492473938060792,0.7476834021341441,0.7906137184115513
10,betweenness,1,1,3,74,5,10,0.642725853291781,0.6962881538781225,0.8174584722125781,0.8122743682310459
10,betweenness,1,2,6,71,5,10,0.658187484366495,0.754619680481052,0.8549785640516926,0.8122743682310459
10,betweenness,1,3,9,68,5,10,0.6361851018452793,0.7786111707785529,0.8724796034676485,0.7978339350180494
10,betweenness,1,4,12,65,5,10,0.7395213719462943,0.8215584415960119,0.8937939651994458,0.7978339350180494
10,betweenness,1,5,15,62,5,10,0.725275760631416,0.8392449981935618,0.8943588005165959,0.8375451263537896
10,betweenness,1,6,18,59,5,10,0.7676972149718032,0.8514698378102328,0.9066262212850869,0.8231046931407933
10,betweenness,1,7,21,56,5,10,0.8111501226847442,0.8627875543083575,0.8958407698831026,0.8194945848375442
10,betweenness,1,8,24,53,5,10,0.8580980697061031,0.8814917558538621,0.8892938854284911,0.8411552346570389
10,betweenness,1,9,27,50,5,10,0.8496809034731027,0.8949800098491884,0.8800197183707169,0.8411552346570389
10,betweenness,1,10,30,47,5,10,0.9056187833166971,0.9038545758840183,0.8746058122216726,0.8628158844765337
10,betweenness,1,11,33,44,5,10,0.9001327606576823,0.9121605776796554,0.8753613248196571,0.8628158844765337
10,betweenness,1,12,36,41,5,10,0.9193178353001789,0.9295663201637615,0.901248865234583,0.9061371841155231
10,betweenness,1,13,39,38,5,10,0.9440800861372689,0.9485885080254813,0.934574759736224,0.8916967509025265
10,betweenness,1,14,42,35,5,10,0.9446224429359042,0.954183159610542,0.9402428420619678,0.9133574007220212
10,betweenness,1,15,45,32,5,10,0.9425952461834147,0.959758098207513,0.9415764770772651,0.9133574007220212
10,betweenness,1,16,48,29,5,10,0.9481558728803794,0.9657803412732977,0.941125550353224,0.9133574007220212
10,betweenness,1,17,51,26,5,10,0.9624781052755729,0.9740680192052859,0.9657730549243266,0.9783393501805052
10,betweenness,1,18,54,23,5,10,0.9641247113473994,0.9778634389506295,0.9687116340241724,0.9783393501805052
10,betweenness,1,19,57,20,5,10,0.9705101674909224,0.9819467622774322,0.9675615383747621,0.9783393501805052
10,betweenness,1,20,60,17,5,10,0.9809409761121839,0.9843545855509805,0.9678526157876642,0.9783393501805052
10,betweenness,1,21,63,14,5,10,0.989104558644702,0.9880929182327646,0.9799126276871558,0.9783393501805052
10,betweenness,1,22,66,11,5,10,1.0,0.9907383006833608,0.9862807938025857,0.9783393501805052
10,betweenness,1,23,69,8,5,10,1.0,0.9985396108946996,0.9987400710547365,0.9783393501805052
10,betweenness,1,24,72,5,5,10,1.0,0.9994208996641596,0.9994819462456399,0.9783393501805052
10,betweenness,1,25,75,2,5,10,1.0,0.9997453745104437,0.9995891100482703,0.9783393501805052
10,betweenness,1,26,77,0,5,10,1.0,0.9997453745104437,0.9995891100482703,1.0
10,betweenness,2,0,0,77,5,10,0.12815446687772136,0.5371738146693688,0.8422419363584515,0.7581227436823094
10,betweenness,2,1,3,74,5,10,0.2554437929208439,0.5852360714479663,0.7857960717744309,0.7581227436823094
10,betweenness,2,2,6,71,5,10,0.3911382968402771,0.6936889113482577,0.8649749289260271,0.7581227436823094
10,betweenness,2,3,9,68,5,10,0.6911601453107455,0.7922204580226146,0.9510801994697762,0.7581227436823094
10,betweenness,2,4,12,65,5,10,0.6408842376365035,0.8184824243643727,0.9592258148592139,0.7581227436823094
10,betweenness,2,5,15,62,5,10,0.582317498741234,0.835358424995247,0.9472843390902753,0.7725631768953058
10,betweenness,2,6,18,59,5,10,0.6397349140682242,0.8614004430063579,0.9204960836473839,0.8122743682310458
10,betweenness,2,7,21,56,5,10,0.6510192284112549,0.8669789116491298,0.9161173183194048,0.8339350180505405
10,betweenness,2,8,24,53,5,10,0.8313345906552504,0.8902480602271564,0.9261515484394809,0.8339350180505405
10,betweenness,2,9,27,50,5,10,0.8958918786972512,0.9065609564148245,0.9307243606741775,0.8519855595667861
10,betweenness,2,10,30,47,5,10,0.9420769893517682,0.9255436739371034,0.9286661058883616,0.8519855595667861
10,betweenness,2,11,33,44,5,10,0.9414837816433757,0.9333356290889323,0.929420936394179,0.8519855595667861
10,betweenness,2,12,36,41,5,10,0.9485996287348666,0.9445436821783293,0.9326119926768713,0.8519855595667861
10,betweenness,2,13,39,38,5,10,0.9465822763456447,0.9527334735541332,0.9390176904055643,0.8519855595667861
10,betweenness,2,14,42,35,5,10,0.9371907069048593,0.9566023850149986,0.9400867032961949,0.8736462093862808
10,betweenness,2,15,45,32,5,10,0.9348830647156651,0.9580504047673246,0.9388743154968561,0.8953068592057756
10,betweenness,2,16,48,29,5,10,0.9455054985158544,0.9677675093208045,0.9549720109569739,0.9386281588447649
10,betweenness,2,17,51,26,5,10,0.9623498711785162,0.9755767626658078,0.9678736029746523,0.9350180505415158
10,betweenness,2,18,54,23,5,10,0.9655114560799202,0.9809860752155651,0.9869309084858964,0.9566787003610105
10,betweenness,2,19,57,20,5,10,0.9743922408863765,0.9840412824711188,0.987059482154219,0.9566787003610105
10,betweenness,2,20,60,17,5,10,0.9820765104783097,0.9895766733094358,0.987096225598596,0.9566787003610105
10,betweenness,2,21,63,14,5,10,0.9888332921293246,0.9935097462027367,0.9921074586184673,0.9566787003610105
10,betweenness,2,22,66,11,5,10,0.9978235953130732,0.9971794930972799,1.0,0.9566787003610105
10,betweenness,2,23,69,8,5,10,1.0,0.9985716605937134,1.0,0.9566787003610105
10,betweenness,2,24,72,5,5,10,1.0,0.999090040580893,0.9992790085186771,0.9783393501805052
10,betweenness,2,25,75,2,5,10,1.0,1.0,1.0,1.0
10,betweenness,2,26,77,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,3,0,0,77,5,10,0.5784496450114268,0.5075133417905503,0.7038635190359631,0.9314079422382664
10,betweenness,3,1,3,74,5,10,0.5369119719198335,0.5599926620852699,0.6774409591598731,0.9277978339350174
10,betweenness,3,2,6,71,5,10,0.5413386310129767,0.5714951314988885,0.682729452871857,0.9277978339350174
10,betweenness,3,3,9,68,5,10,0.8376685952959912,0.6389360159006884,0.7283627311162426,0.9277978339350174
10,betweenness,3,4,12,65,5,10,0.8016588834810605,0.66603600503957,0.7642339001905794,0.9241877256317681
