damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,21,5,10,0.6089408642090024,0.7817638751340565,0.9635973508139761,0.9607843137254901
10,betweenness,0,1,1,20,5,10,0.771405029723841,0.8486811431271002,0.9355605949440579,0.9607843137254901
10,betweenness,0,2,2,19,5,10,0.7542783391757792,0.8568755140536204,0.9424666373927846,0.9607843137254901
10,betweenness,0,3,3,18,5,10,0.7730424538036322,0.8684372649957883,0.9404772061584411,0.9607843137254901
10,betweenness,0,4,4,17,5,10,0.8195209740836761,0.8875383165556556,0.9279949805396907,0.9607843137254901
10,betweenness,0,5,5,16,5,10,0.8860485231626368,0.9059918738347493,0.9498343081972265,0.9607843137254901
10,betweenness,0,6,6,15,5,10,0.8619054478862302,0.9216514676903438,0.9349043607340545,0.9607843137254901
10,betweenness,0,7,7,14,5,10,0.9149120534543749,0.925060705835947,0.9350597323261112,0.9607843137254901
10,betweenness,0,8,8,13,5,10,0.9416204812316327,0.9523317676600942,0.9325243032250398,0.9607843137254901
10,betweenness,0,9,9,12,5,10,0.9403377115798199,0.9538272680075291,0.9328521621531183,0.9607843137254901
10,betweenness,0,10,10,11,5,10,0.9359648846450868,0.9560273276606267,0.9324175793469442,0.9607843137254901
10,betweenness,0,11,11,10,5,10,0.9466496425504985,0.9629547816836047,0.9283170480474588,0.9607843137254901
10,betweenness,0,12,12,9,5,10,0.9564426981306023,0.9686448034555584,0.9254836509810168,0.9607843137254901
10,betweenness,0,13,13,8,5,10,0.9529089516466355,0.9786107767541401,0.955899508761383,1.0
10,betweenness,0,14,14,7,5,10,0.9667992886523931,0.9830555894709838,0.9633470284559885,1.0
10,betweenness,0,15,15,6,5,10,0.9788038999224238,0.9883276958138901,0.9769829523369443,1.0
10,betweenness,0,16,16,5,5,10,0.9942310238812981,0.991976469915046,0.9834361472237313,1.0
10,betweenness,0,17,17,4,5,10,1.0,0.99692222757513,0.9905724594529038,1.0
10,betweenness,0,18,18,3,5,10,1.0,0.9996409803296471,0.9991322123232153,1.0
10,betweenness,0,19,19,2,5,10,1.0,0.9996852180863217,0.9991883021462561,1.0
10,betweenness,0,20,20,1,5,10,1.0,0.9999202797200059,0.9997527480447091,1.0
10,betweenness,0,21,21,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,21,5,10,0.42669183711748043,0.5858906672503638,0.6186798409957286,0.6274509803921569
10,betweenness,1,1,1,20,5,10,0.6568137433376705,0.6645404657494168,0.8618730265288573,0.5490196078431373
10,betweenness,1,2,2,19,5,10,0.8753964639503744,0.7497301247641704,0.7488194299587259,0.5490196078431373
10,betweenness,1,3,3,18,5,10,0.8714859884846169,0.774360875430217,0.8488948392243029,0.6666666666666666
10,betweenness,1,4,4,17,5,10,0.9143530759999162,0.8003734514379648,0.8396200127105874,0.6666666666666666
10,betweenness,1,5,5,16,5,10,0.8641099198186689,0.8262017055753909,0.8787959316109885,0.784313725490196
10,betweenness,1,6,6,15,5,10,1.0,0.8925616296740753,0.9024031787392441,0.784313725490196
10,betweenness,1,7,7,14,5,10,0.9866830578404427,0.9021549261626876,0.9035040565199105,0.784313725490196
10,betweenness,1,8,8,13,5,10,0.9504268502211544,0.9151095677316323,0.9386659753910006,0.784313725490196
10,betweenness,1,9,9,12,5,10,0.9247321472738363,0.9319128411838116,0.924569367431772,0.784313725490196
10,betweenness,1,10,10,11,5,10,0.9203372065408236,0.93411105172904,0.9228233432855306,0.784313725490196
10,betweenness,1,11,11,10,5,10,0.9182460838929236,0.9595780024993747,0.9844282744472301,0.8823529411764705
10,betweenness,1,12,12,9,5,10,0.9324499160288531,0.9631161085283925,0.9909523687596782,0.8823529411764705
10,betweenness,1,13,13,8,5,10,0.9471695852225627,0.9666592390349568,0.9975348904732397,0.8823529411764705
10,betweenness,1,14,14,7,5,10,0.957677414075387,0.9713142776727909,0.9952736817593295,0.8823529411764705
10,betweenness,1,15,15,6,5,10,0.9665389717292645,0.9810575701120811,1.0,0.8823529411764705
10,betweenness,1,16,16,5,5,10,0.9754654469014876,0.9925796072294668,0.9991591645816729,0.8823529411764705
10,betweenness,1,17,17,4,5,10,0.9876042539243853,0.996527018965825,1.0,0.8823529411764705
10,betweenness,1,18,18,3,5,10,1.0,0.9997649383663159,0.9994352026213209,0.8823529411764705
10,betweenness,1,19,19,2,5,10,1.0,1.0,1.0,0.8823529411764705
10,betweenness,1,20,20,1,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,21,21,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,2,0,0,21,5,10,0.4551094983077296,0.6710249083092736,0.6387744774634956,0.9803921568627451
10,betweenness,2,1,1,20,5,10,0.6349707011234892,0.8143602479764076,0.9211593715930104,0.8235294117647056
10,betweenness,2,2,2,19,5,10,0.6418335402062465,0.820797594734765,0.9107141082481758,0.8235294117647056
10,betweenness,2,3,3,18,5,10,0.7405679992448464,0.8806306504679948,0.8338203162394431,0.8235294117647056
10,betweenness,2,4,4,17,5,10,0.8055083038244171,0.8991436374343511,0.8526715755766247,0.8235294117647056
10,betweenness,2,5,5,16,5,10,0.8388688432328338,0.9043309662118267,0.8543679843712186,0.8235294117647056
10,betweenness,2,6,6,15,5,10,0.8714134688653457,0.919217092106641,0.8684419161531596,0.8235294117647056
10,betweenness,2,7,7,14,5,10,0.9038289398062537,0.9309747460795045,0.8634602862463736,0.8235294117647056
