damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,101,5,10,0.7398303554162009,0.7573199931885234,0.8038871506837733,0.8064516129032258
10,betweenness,0,1,5,96,5,10,0.620225283948042,0.7930395988126782,0.7214060377067744,0.8064516129032258
10,betweenness,0,2,10,91,5,10,0.6073248383877252,0.8019983907657299,0.711724781353519,0.8064516129032258
10,betweenness,0,3,15,86,5,10,0.6686979879871815,0.8166052973835223,0.6985558355875539,0.8064516129032258
10,betweenness,0,4,20,81,5,10,0.7878424711515439,0.8298249484511985,0.6834781571263931,0.9139784946236559
10,betweenness,0,5,25,76,5,10,0.860794890074948,0.8555985361643804,0.6967470138118581,0.9139784946236559
10,betweenness,0,6,30,71,5,10,0.9038014628881945,0.8913787810529172,0.7469269709781733,0.9139784946236559
10,betweenness,0,7,35,66,5,10,0.9087152976015245,0.9092249171926896,0.7860389347797155,0.9139784946236559
10,betweenness,0,8,40,61,5,10,0.9257322634536121,0.9211576014556464,0.7835013149768195,0.9139784946236559
10,betweenness,0,9,45,56,5,10,0.9319633519903068,0.9285411002667102,0.7775501597585692,0.9139784946236559
10,betweenness,0,10,50,51,5,10,0.9331711730829758,0.936636353667408,0.7871508684929057,0.9139784946236559
10,betweenness,0,11,55,46,5,10,0.9322546666065578,0.9412469591297198,0.7994106653104782,0.9139784946236559
10,betweenness,0,12,60,41,5,10,0.9431710532589227,0.9450421551417939,0.8119078973936337,0.9139784946236559
10,betweenness,0,13,65,36,5,10,0.9469389174571702,0.9518962050682365,0.8424839923079209,0.9139784946236559
10,betweenness,0,14,70,31,5,10,0.9597914709026222,0.9610206779832684,0.8652480539677923,0.9139784946236559
10,betweenness,0,15,75,26,5,10,0.9737321375472638,0.971588645020917,0.8949222342790747,0.9139784946236559
10,betweenness,0,16,80,21,5,10,0.9856912086012931,0.9834436138197422,0.9659545610415474,0.9139784946236559
10,betweenness,0,17,85,16,5,10,0.9976173862063142,0.9947991184500528,0.9984349832295369,0.9139784946236559
10,betweenness,0,18,90,11,5,10,1.0,0.9978831634033873,0.9977846538940482,0.9784946236559141
10,betweenness,0,19,95,6,5,10,1.0,0.9997014841760832,0.9993414987773884,1.0
10,betweenness,0,20,100,1,5,10,1.0,1.0,1.0,1.0
10,betweenness,0,21,101,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,101,5,10,0.8428126428227428,0.8177617890836936,0.8318951522685217,1.0
10,betweenness,1,1,5,96,5,10,0.819091784238144,0.8305060228055285,0.8196647319489376,1.0
10,betweenness,1,2,10,91,5,10,0.8777034002430016,0.8466186688530055,0.8311522630155921,1.0
10,betweenness,1,3,15,86,5,10,0.8905126800777486,0.8778413799465368,0.8262679242169919,1.0
10,betweenness,1,4,20,81,5,10,0.8817712465468541,0.8870591818901066,0.8368397280645509,1.0
10,betweenness,1,5,25,76,5,10,0.8835815925604344,0.8972323482031326,0.836787105265616,1.0
10,betweenness,1,6,30,71,5,10,0.879927238864462,0.9056505516677057,0.8388840635634668,1.0
10,betweenness,1,7,35,66,5,10,0.9167898917713544,0.9256223961539856,0.8444756338674551,1.0
10,betweenness,1,8,40,61,5,10,0.9131489006386774,0.9303980409516561,0.8391065284846272,1.0
10,betweenness,1,9,45,56,5,10,0.9284693952564345,0.933998874577806,0.8420421339878744,1.0
10,betweenness,1,10,50,51,5,10,0.9265662019013964,0.9368120513274131,0.8403189825060162,1.0
10,betweenness,1,11,55,46,5,10,0.9304217007115418,0.9425400571089203,0.8325554352985263,1.0
10,betweenness,1,12,60,41,5,10,0.9422252636252907,0.9539512270033951,0.859063928557868,1.0
10,betweenness,1,13,65,36,5,10,0.9545795115533532,0.9646174511447031,0.9378424355243338,1.0
10,betweenness,1,14,70,31,5,10,0.9717705450344343,0.9731643380427604,0.9576619286664944,1.0
10,betweenness,1,15,75,26,5,10,0.985245782380162,0.9833515731104611,0.987169144105144,1.0
10,betweenness,1,16,80,21,5,10,0.998531059217483,0.9939894307911842,0.9943183556740097,1.0
10,betweenness,1,17,85,16,5,10,1.0,0.9966321016676947,0.9956567785198268,1.0
10,betweenness,1,18,90,11,5,10,1.0,0.9973554331819366,0.9964460751871005,1.0
10,betweenness,1,19,95,6,5,10,1.0,0.9996177256516895,0.9997615780562703,1.0
