damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,101,5,10,1.026567421982482,0.7841040791086067,0.8966569816741704,0.9482758620689653
10,betweenness,0,1,5,96,5,10,0.9179162169618076,0.8206333863081361,0.9000274589453293,0.9482758620689653
10,betweenness,0,2,10,91,5,10,0.9293825466633934,0.8653955522757691,0.8593278242597545,0.9482758620689653
10,betweenness,0,3,15,86,5,10,0.9077638919380117,0.8802628141217529,0.8469834429124636,0.9482758620689653
10,betweenness,0,4,20,81,5,10,0.89186156604008,0.8874832938051755,0.8444784948017847,0.9482758620689653
10,betweenness,0,5,25,76,5,10,0.8968623301063559,0.9036965319431736,0.826182231209296,0.9482758620689653
10,betweenness,0,6,30,71,5,10,0.9140371163691587,0.9087940937713137,0.8282139651398497,0.9482758620689653
10,betweenness,0,7,35,66,5,10,0.9228345935740946,0.9245642507299602,0.8388456698222864,0.9482758620689653
10,betweenness,0,8,40,61,5,10,0.9346211149122094,0.9365279902629176,0.8614542490955251,0.9482758620689653
10,betweenness,0,9,45,56,5,10,0.9428655905576511,0.9500123433101798,0.8882041172769818,0.9482758620689653
10,betweenness,0,10,50,51,5,10,0.9456762264086667,0.9558214801593949,0.9116035912289521,0.9482758620689653
10,betweenness,0,11,55,46,5,10,0.9512753748386054,0.9646110113051769,0.9156274851909485,0.9482758620689653
10,betweenness,0,12,60,41,5,10,0.9503174028968485,0.9662919832001041,0.911841157679359,0.9482758620689653
10,betweenness,0,13,65,36,5,10,0.9597756178263349,0.97204869868166,0.925427466481659,0.9482758620689653
10,betweenness,0,14,70,31,5,10,0.9721395001630296,0.9815963389741988,0.9615695785269668,0.9482758620689653
10,betweenness,0,15,75,26,5,10,0.9813514603435524,0.9896768707574718,0.9848783191778401,0.9482758620689653
10,betweenness,0,16,80,21,5,10,0.99666400774354,0.9958080164570222,0.9957765366754834,0.9482758620689653
10,betweenness,0,17,85,16,5,10,1.0,0.9979703942743481,0.9978181414363307,0.9482758620689653
10,betweenness,0,18,90,11,5,10,1.0,0.9987316554868184,0.9990344032353315,1.0
10,betweenness,0,19,95,6,5,10,1.0,0.9994349979688301,1.0,1.0
10,betweenness,0,20,100,1,5,10,1.0,1.0,1.0,1.0
10,betweenness,0,21,101,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,101,5,10,0.9111233894042686,0.7535100205983956,0.9846361941308355,1.0431034482758619
10,betweenness,1,1,5,96,5,10,0.8400542240768059,0.7922229516955611,0.9741648935870062,1.0
10,betweenness,1,2,10,91,5,10,0.9662016214061474,0.8569440741826901,0.913821245535631,1.0
10,betweenness,1,3,15,86,5,10,0.9578924122037367,0.8662196127335023,0.9173663737146874,1.0
10,betweenness,1,4,20,81,5,10,0.9072690786334947,0.8861001886549058,0.8727892802081176,1.0
10,betweenness,1,5,25,76,5,10,0.9179229703360534,0.9078431169313146,0.8612490934063938,1.0
10,betweenness,1,6,30,71,5,10,0.9113076793351755,0.9162106269524182,0.8536800687875186,1.0
10,betweenness,1,7,35,66,5,10,0.920682070160545,0.9259444438289262,0.8643835513617932,1.0
10,betweenness,1,8,40,61,5,10,0.9157529533204285,0.9280581456954017,0.8624601182420587,1.0
10,betweenness,1,9,45,56,5,10,0.9423237283551583,0.9386640290266504,0.8576093724807311,1.0
10,betweenness,1,10,50,51,5,10,0.9552429679882598,0.9527854651903546,0.8791744277876979,1.0
10,betweenness,1,11,55,46,5,10,0.9520370016407095,0.9572560525612671,0.8727987554235516,1.0
10,betweenness,1,12,60,41,5,10,0.951065993412134,0.960891944943882,0.8779361284418543,1.0
10,betweenness,1,13,65,36,5,10,0.9505324795526632,0.9636155185352253,0.8810111218659015,1.0
10,betweenness,1,14,70,31,5,10,0.9600486071134354,0.971494088082475,0.9058300059376817,1.0
10,betweenness,1,15,75,26,5,10,0.9719573945320029,0.9801715031003472,0.9337530219161093,1.0
10,betweenness,1,16,80,21,5,10,0.9863527642803053,0.9872712452229694,0.9520400497804467,1.0
10,betweenness,1,17,85,16,5,10,1.0,0.9955233951477274,0.9978764573967587,1.0
10,betweenness,1,18,90,11,5,10,1.0,0.9973466066697614,1.0,1.0
10,betweenness,1,19,95,6,5,10,1.0,0.9986757666217254,1.0,1.0
10,betweenness,1,20,100,1,5,10,1.0,0.9999645861518864,1.0,1.0
10,betweenness,1,21,101,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,2,0,0,101,5,10,1.2798612099164974,0.7516125770978406,0.7461631113529791,0.9827586206896552
10,betweenness,2,1,5,96,5,10,1.0,0.8345437586395565,0.7069850161763127,0.9482758620689657
10,betweenness,2,2,10,91,5,10,0.958105824537394,0.8559978983741687,0.7375408535685991,0.9482758620689657
10,betweenness,2,3,15,86,5,10,0.9369360023184413,0.8756695748187453,0.7428467888577147,0.9482758620689657
10,betweenness,2,4,20,81,5,10,0.9204052649234908,0.8861847762603173,0.742067033027333,0.9482758620689657
10,betweenness,2,5,25,76,5,10,0.9180482251073346,0.902806276704067,0.7912075634004395,0.9482758620689657
10,betweenness,2,6,30,71,5,10,0.9411890642126337,0.9180880719644062,0.817634044668777,0.9482758620689657
10,betweenness,2,7,35,66,5,10,0.9502473307219477,0.929352610816116,0.814896942709506,0.9482758620689657
10,betweenness,2,8,40,61,5,10,0.94957105747156,0.935322475750643,0.8284171311901736,0.9482758620689657
10,betweenness,2,9,45,56,5,10,0.9618299760649703,0.9442699905317076,0.8247868358449937,0.9482758620689657
10,betweenness,2,10,50,51,5,10,0.9593565089866531,0.951440887195594,0.8310319038991941,0.9482758620689657
10,betweenness,2,11,55,46,5,10,0.9568438527873206,0.9551983550066373,0.8255894402847641,0.9482758620689657
10,betweenness,2,12,60,41,5,10,0.9562810097381066,0.9566549079878569,0.8238327313769399,0.9482758620689657
10,betweenness,2,13,65,36,5,10,0.9557887459676974,0.9595851892093537,0.826090448989172,0.9482758620689657
10,betweenness,2,14,70,31,5,10,0.9624358767370236,0.9661822702825239,0.8483127782273108,0.9482758620689657
10,betweenness,2,15,75,26,5,10,0.9780821815494174,0.9736836216039441,0.8809306054117926,0.9482758620689657
10,betweenness,2,16,80,21,5,10,0.9885315139735479,0.9860630492049872,0.9637004478465276,0.9482758620689657
10,betweenness,2,17,85,16,5,10,1.0,0.9962424140757867,0.9918903748001192,0.9482758620689657
10,betweenness,2,18,90,11,5,10,1.0,0.998329874623817,0.9978102478971795,0.9482758620689657
10,betweenness,2,19,95,6,5,10,1.0,0.9997664191450059,0.9996071615494042,0.9482758620689657
10,betweenness,2,20,100,1,5,10,1.0,1.0,1.0,1.0
10,betweenness,2,21,101,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,3,0,0,101,5,10,1.2746586884494746,0.7791052149226373,0.7083149840799677,1.0
10,betweenness,3,1,5,96,5,10,1.0,0.8580968465278351,0.8269985416029864,1.0
10,betweenness,3,2,10,91,5,10,0.9663152442805351,0.8769794000810593,0.8131728440934726,1.0
10,betweenness,3,3,15,86,5,10,0.9598910149660589,0.883469903711508,0.8113239301867816,1.0
10,betweenness,3,4,20,81,5,10,0.9461532853421005,0.8885103184416538,0.8076149056544707,1.0
10,betweenness,3,5,25,76,5,10,0.9364180096579521,0.9013649045404151,0.8251013501995804,1.0
10,betweenness,3,6,30,71,5,10,0.9294543942620292,0.9151148546041465,0.8594880948642626,1.0
10,betweenness,3,7,35,66,5,10,0.9188320094151677,0.9217696839603086,0.864400298468293,1.0
10,betweenness,3,8,40,61,5,10,0.9145399203949737,0.9291231934298408,0.8720204060781803,1.0
10,betweenness,3,9,45,56,5,10,0.9275014109554648,0.9427551021573491,0.8633726201339159,1.0
10,betweenness,3,10,50,51,5,10,0.9340777523191975,0.948028857354575,0.859644116024786,1.0
10,betweenness,3,11,55,46,5,10,0.9381481930832422,0.9522094740409832,0.856051413526892,1.0
10,betweenness,3,12,60,41,5,10,0.9371478316233032,0.9559127589080955,0.8631708242561276,1.0
10,betweenness,3,13,65,36,5,10,0.9501007394942613,0.9649595318893657,0.9055855100258342,1.0
10,betweenness,3,14,70,31,5,10,0.962568465846355,0.9748315889557032,0.9452026369783308,1.0
10,betweenness,3,15,75,26,5,10,0.9754588027097247,0.9829722182547064,0.9686180152099387,1.0
10,betweenness,3,16,80,21,5,10,0.9897320369009074,0.9901387148292781,0.9800308035378245,1.0
10,betweenness,3,17,85,16,5,10,1.0,0.9966510006805377,1.0,1.0
10,betweenness,3,18,90,11,5,10,1.0,0.9978575086859554,1.0,1.0
10,betweenness,3,19,95,6,5,10,1.0,0.9994977193702173,1.0,1.0
10,betweenness,3,20,100,1,5,10,1.0,1.0,1.0,1.0
10,betweenness,3,21,101,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,4,0,0,101,5,10,0.9466505685367519,0.7895885094289911,0.900970413711638,1.0
10,betweenness,4,1,5,96,5,10,0.8371061451923699,0.8346638806016912,0.837593351136677,1.0
10,betweenness,4,2,10,91,5,10,0.8130015643583234,0.8478957063438626,0.8305461592347988,1.0
10,betweenness,4,3,15,86,5,10,0.8001854332689953,0.8613096637077541,0.8504923191069389,1.0
10,betweenness,4,4,20,81,5,10,0.887348429302162,0.8886653333973763,0.8382926673389977,1.0
10,betweenness,4,5,25,76,5,10,0.8775466354902381,0.8950059425325726,0.8396781582011493,1.0
10,betweenness,4,6,30,71,5,10,0.9083486531866812,0.9140854411840521,0.8345969920686477,1.0
10,betweenness,4,7,35,66,5,10,0.9059776966520381,0.91795138029618,0.8359897875229981,1.0
10,betweenness,4,8,40,61,5,10,0.9209760302231843,0.9312550508580087,0.8579882424976017,1.0
10,betweenness,4,9,45,56,5,10,0.9400807283703339,0.9427641200074831,0.8467055052836365,1.0
10,betweenness,4,10,50,51,5,10,0.9434204213994343,0.9533048143722842,0.8641521146064134,1.0
10,betweenness,4,11,55,46,5,10,0.9456320061029361,0.9565007284967908,0.8677904284629663,1.0
10,betweenness,4,12,60,41,5,10,0.945006140900565,0.9586423998309768,0.8665858630539424,1.0
10,betweenness,4,13,65,36,5,10,0.9465739200762758,0.9623034245378416,0.8644003810961299,1.0
10,betweenness,4,14,70,31,5,10,0.9593724059100033,0.9719022058266849,0.9217277344081516,1.0
10,betweenness,4,15,75,26,5,10,0.9726879299486284,0.979956127820345,0.9603470194437522,1.0
10,betweenness,4,16,80,21,5,10,0.9879328630701922,0.986787731584785,0.9799809419614425,1.0
10,betweenness,4,17,85,16,5,10,1.0,0.9958183568389202,0.9949534277814244,1.0
10,betweenness,4,18,90,11,5,10,1.0,0.9977655538366155,1.0,1.0
10,betweenness,4,19,95,6,5,10,1.0,0.9986020692071084,1.0,1.0
10,betweenness,4,20,100,1,5,10,1.0,1.0,1.0,1.0
10,betweenness,4,21,101,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,5,0,0,101,5,10,0.7103414521148633,0.7042734504860934,0.9783328843301686,0.9568965517241378
10,betweenness,5,1,5,96,5,10,1.0,0.8110234862584642,0.9212035969428688,0.9568965517241378
10,betweenness,5,2,10,91,5,10,0.9745955119269497,0.851952730749438,0.9300867188041095,0.9568965517241378
10,betweenness,5,3,15,86,5,10,0.9186655940760794,0.8717708458466957,0.9132855648425462,1.0
