damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,12,5,10,1.060051510978263,0.7883788218276505,0.9429532264041961,1.0
10,betweenness,0,1,1,11,5,10,1.0,0.7883788218276505,0.9429532264041961,1.0
10,betweenness,0,2,2,10,5,10,1.0,0.7883788218276505,0.9429532264041961,1.0
10,betweenness,0,3,3,9,5,10,1.0,0.7883788218276505,0.9429532264041961,1.0
10,betweenness,0,4,4,8,5,10,1.0,0.7883788218276505,0.9429532264041961,1.0
10,betweenness,0,5,5,7,5,10,1.0,0.7883788218276505,0.9429532264041961,1.0
10,betweenness,0,6,6,6,5,10,1.0,0.7883788218276505,0.9429532264041961,1.0
10,betweenness,0,7,7,5,5,10,1.0,0.7883788218276505,0.9429532264041961,1.0
10,betweenness,0,8,8,4,5,10,1.0,0.7883788218276505,0.9429532264041961,1.0
10,betweenness,0,9,9,3,5,10,1.0,0.7883788218276505,0.9429532264041961,1.0
10,betweenness,0,10,10,2,5,10,1.0,0.7883788218276505,0.9429532264041961,1.0
10,betweenness,0,11,11,1,5,10,1.0,0.7883788218276505,0.9429532264041961,1.0
10,betweenness,0,12,12,0,5,10,1.0,0.7883788218276505,0.9429532264041961,1.0
10,betweenness,1,0,0,12,5,10,1.120304124785254,0.8265998200676978,0.8404855252995356,1.0
10,betweenness,1,1,1,11,5,10,1.0,0.8265998200676978,0.8404855252995356,1.0
10,betweenness,1,2,2,10,5,10,1.0,0.8265998200676978,0.8404855252995356,1.0
10,betweenness,1,3,3,9,5,10,1.0,0.8265998200676978,0.8404855252995356,1.0
10,betweenness,1,4,4,8,5,10,1.0,0.8265998200676978,0.8404855252995356,1.0
10,betweenness,1,5,5,7,5,10,1.0,0.8265998200676978,0.8404855252995356,1.0
10,betweenness,1,6,6,6,5,10,1.0,0.8265998200676978,0.8404855252995356,1.0
10,betweenness,1,7,7,5,5,10,1.0,0.8265998200676978,0.8404855252995356,1.0
10,betweenness,1,8,8,4,5,10,1.0,0.8265998200676978,0.8404855252995356,1.0
10,betweenness,1,9,9,3,5,10,1.0,0.8265998200676978,0.8404855252995356,1.0
10,betweenness,1,10,10,2,5,10,1.0,0.8265998200676978,0.8404855252995356,1.0
10,betweenness,1,11,11,1,5,10,1.0,0.8265998200676978,0.8404855252995356,1.0
10,betweenness,1,12,12,0,5,10,1.0,0.8265998200676978,0.8404855252995356,1.0
10,betweenness,2,0,0,12,5,10,1.3034140173007256,0.8762594566784936,0.9565045993901026,1.0
10,betweenness,2,1,1,11,5,10,1.0,0.8762594566784936,0.9565045993901026,1.0
10,betweenness,2,2,2,10,5,10,1.0,0.8762594566784936,0.9565045993901026,1.0
10,betweenness,2,3,3,9,5,10,1.0,0.8762594566784936,0.9565045993901026,1.0
10,betweenness,2,4,4,8,5,10,1.0,0.8762594566784936,0.9565045993901026,1.0
10,betweenness,2,5,5,7,5,10,1.0,0.8762594566784936,0.9565045993901026,1.0
10,betweenness,2,6,6,6,5,10,1.0,0.8762594566784936,0.9565045993901026,1.0
10,betweenness,2,7,7,5,5,10,1.0,0.8762594566784936,0.9565045993901026,1.0
10,betweenness,2,8,8,4,5,10,1.0,0.8762594566784936,0.9565045993901026,1.0
10,betweenness,2,9,9,3,5,10,1.0,0.8762594566784936,0.9565045993901026,1.0
10,betweenness,2,10,10,2,5,10,1.0,0.8762594566784936,0.9565045993901026,1.0
10,betweenness,2,11,11,1,5,10,1.0,0.8762594566784936,0.9565045993901026,1.0
10,betweenness,2,12,12,0,5,10,1.0,0.8762594566784936,0.9565045993901026,1.0
10,betweenness,3,0,0,12,5,10,1.0503411987059952,0.7910870544698707,0.6723461398161387,1.0
10,betweenness,3,1,1,11,5,10,1.0,0.7910870544698707,0.6723461398161387,1.0
10,betweenness,3,2,2,10,5,10,1.0,0.7910870544698707,0.6723461398161387,1.0
10,betweenness,3,3,3,9,5,10,1.0,0.7910870544698707,0.6723461398161387,1.0
10,betweenness,3,4,4,8,5,10,1.0,0.7910870544698707,0.6723461398161387,1.0
10,betweenness,3,5,5,7,5,10,1.0,0.7910870544698707,0.6723461398161387,1.0
10,betweenness,3,6,6,6,5,10,1.0,0.7910870544698707,0.6723461398161387,1.0
10,betweenness,3,7,7,5,5,10,1.0,0.7910870544698707,0.6723461398161387,1.0
10,betweenness,3,8,8,4,5,10,1.0,0.7910870544698707,0.6723461398161387,1.0
10,betweenness,3,9,9,3,5,10,1.0,0.7910870544698707,0.6723461398161387,1.0
10,betweenness,3,10,10,2,5,10,1.0,0.7910870544698707,0.6723461398161387,1.0
10,betweenness,3,11,11,1,5,10,1.0,0.7910870544698707,0.6723461398161387,1.0
10,betweenness,3,12,12,0,5,10,1.0,0.7910870544698707,0.6723461398161387,1.0
10,betweenness,4,0,0,12,5,10,1.1240264548757561,0.8434168047229319,0.9130262195867561,1.0
10,betweenness,4,1,1,11,5,10,1.0,0.8434168047229319,0.9130262195867561,1.0
10,betweenness,4,2,2,10,5,10,1.0,0.8434168047229319,0.9130262195867561,1.0
10,betweenness,4,3,3,9,5,10,1.0,0.8434168047229319,0.9130262195867561,1.0
10,betweenness,4,4,4,8,5,10,1.0,0.8434168047229319,0.9130262195867561,1.0
10,betweenness,4,5,5,7,5,10,1.0,0.8434168047229319,0.9130262195867561,1.0
10,betweenness,4,6,6,6,5,10,1.0,0.8434168047229319,0.9130262195867561,1.0
10,betweenness,4,7,7,5,5,10,1.0,0.8434168047229319,0.9130262195867561,1.0
10,betweenness,4,8,8,4,5,10,1.0,0.8434168047229319,0.9130262195867561,1.0
10,betweenness,4,9,9,3,5,10,1.0,0.8434168047229319,0.9130262195867561,1.0
10,betweenness,4,10,10,2,5,10,1.0,0.8434168047229319,0.9130262195867561,1.0
10,betweenness,4,11,11,1,5,10,1.0,0.8434168047229319,0.9130262195867561,1.0
10,betweenness,4,12,12,0,5,10,1.0,0.8434168047229319,0.9130262195867561,1.0
10,betweenness,5,0,0,12,5,10,1.155021802996693,0.856239023066671,0.9077769971474697,1.0
10,betweenness,5,1,1,11,5,10,1.0,0.856239023066671,0.9077769971474697,1.0
10,betweenness,5,2,2,10,5,10,1.0,0.856239023066671,0.9077769971474697,1.0
10,betweenness,5,3,3,9,5,10,1.0,0.856239023066671,0.9077769971474697,1.0
10,betweenness,5,4,4,8,5,10,1.0,0.856239023066671,0.9077769971474697,1.0
10,betweenness,5,5,5,7,5,10,1.0,0.856239023066671,0.9077769971474697,1.0
10,betweenness,5,6,6,6,5,10,1.0,0.856239023066671,0.9077769971474697,1.0
10,betweenness,5,7,7,5,5,10,1.0,0.856239023066671,0.9077769971474697,1.0
10,betweenness,5,8,8,4,5,10,1.0,0.856239023066671,0.9077769971474697,1.0
10,betweenness,5,9,9,3,5,10,1.0,0.856239023066671,0.9077769971474697,1.0
10,betweenness,5,10,10,2,5,10,1.0,0.856239023066671,0.9077769971474697,1.0
10,betweenness,5,11,11,1,5,10,1.0,0.856239023066671,0.9077769971474697,1.0
10,betweenness,5,12,12,0,5,10,1.0,0.856239023066671,0.9077769971474697,1.0
10,betweenness,6,0,0,12,5,10,1.1875264774541348,0.8021084307797139,0.8563377930469016,1.0
10,betweenness,6,1,1,11,5,10,1.0,0.8021084307797139,0.8563377930469016,1.0
10,betweenness,6,2,2,10,5,10,1.0,0.8021084307797139,0.8563377930469016,1.0
10,betweenness,6,3,3,9,5,10,1.0,0.8021084307797139,0.8563377930469016,1.0
10,betweenness,6,4,4,8,5,10,1.0,0.8021084307797139,0.8563377930469016,1.0
