damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,7,5,10,0.7671731508650753,0.8489888816916015,0.6014311289441874,1.0
10,betweenness,0,1,1,6,5,10,0.7671731508650753,0.8489888816916015,0.6014311289441874,1.0
10,betweenness,0,2,2,5,5,10,0.7671731508650753,0.8489888816916015,0.6014311289441874,1.0
10,betweenness,0,3,3,4,5,10,0.7671731508650753,0.8489888816916015,0.6014311289441874,1.0
10,betweenness,0,4,4,3,5,10,0.7671731508650753,0.8489888816916015,0.6014311289441874,1.0
10,betweenness,0,5,5,2,5,10,0.7671731508650753,0.8489888816916015,0.6014311289441874,1.0
10,betweenness,0,6,6,1,5,10,0.7671731508650753,0.8489888816916015,0.6014311289441874,1.0
10,betweenness,0,7,7,0,5,10,1.0,0.9079994730785315,0.6243212054907324,1.0
10,betweenness,1,0,0,7,5,10,1.0792980462556714,0.8721568987661639,0.6045260180189721,1.0
10,betweenness,1,1,1,6,5,10,1.0,0.8721568987661639,0.6045260180189721,1.0
10,betweenness,1,2,2,5,5,10,1.0,0.8721568987661639,0.6045260180189721,1.0
10,betweenness,1,3,3,4,5,10,1.0,0.8721568987661639,0.6045260180189721,1.0
10,betweenness,1,4,4,3,5,10,1.0,0.8721568987661639,0.6045260180189721,1.0
10,betweenness,1,5,5,2,5,10,1.0,0.8721568987661639,0.6045260180189721,1.0
10,betweenness,1,6,6,1,5,10,1.0,0.8721568987661639,0.6045260180189721,1.0
10,betweenness,1,7,7,0,5,10,1.0,0.8902840294144361,0.6148688936473558,1.0
10,betweenness,2,0,0,7,5,10,0.6208280128872876,0.8324370743937585,0.6078281942418167,1.0
10,betweenness,2,1,1,6,5,10,0.6208280128872876,0.8324370743937585,0.6078281942418167,1.0
10,betweenness,2,2,2,5,5,10,0.6208280128872876,0.8324370743937585,0.6078281942418167,1.0
10,betweenness,2,3,3,4,5,10,0.6208280128872876,0.8324370743937585,0.6078281942418167,1.0
10,betweenness,2,4,4,3,5,10,0.6208280128872876,0.8324370743937585,0.6078281942418167,1.0
10,betweenness,2,5,5,2,5,10,0.6208280128872876,0.8324370743937585,0.6078281942418167,1.0
10,betweenness,2,6,6,1,5,10,0.6208280128872876,0.8324370743937585,0.6078281942418167,1.0
10,betweenness,2,7,7,0,5,10,0.9157315403243891,0.8951311832262997,0.6419813779953554,1.0
10,betweenness,3,0,0,7,5,10,0.4953571032007003,0.8752154008092934,1.0084888960295615,1.0
10,betweenness,3,1,1,6,5,10,0.4953571032007003,0.8752154008092934,1.0,1.0
10,betweenness,3,2,2,5,5,10,0.4953571032007003,0.8752154008092934,1.0,1.0
10,betweenness,3,3,3,4,5,10,0.4953571032007003,0.8752154008092934,1.0,1.0
10,betweenness,3,4,4,3,5,10,0.4953571032007003,0.8752154008092934,1.0,1.0
10,betweenness,3,5,5,2,5,10,0.4953571032007003,0.8752154008092934,1.0,1.0
10,betweenness,3,6,6,1,5,10,0.4953571032007003,0.8752154008092934,1.0,1.0
