damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,30,5,10,0.4557997188894453,0.8498595782746247,0.9257042523023842,1.0
10,betweenness,0,1,1,29,5,10,0.6872144386695899,0.8667817967546074,0.9238869042955231,1.0
10,betweenness,0,2,2,28,5,10,0.764401287977578,0.8704233698633104,0.9245710777042793,1.0
10,betweenness,0,3,3,27,5,10,0.7996656877631187,0.8777391698007553,0.9217570373910092,1.0
10,betweenness,0,4,4,26,5,10,0.793565978699343,0.8783459063305947,0.9215723060143985,1.0
10,betweenness,0,5,5,25,5,10,0.814044773946447,0.8832372594762783,0.9258680973771085,1.0
10,betweenness,0,6,6,24,5,10,0.8312943320298493,0.8876666777907546,0.924604735251325,1.0
10,betweenness,0,7,7,23,5,10,0.8605171581255247,0.8890750059731166,0.9243296808884711,1.0
10,betweenness,0,8,8,22,5,10,0.8750046093416173,0.9279729681154348,0.9989504813659228,1.0
10,betweenness,0,9,9,21,5,10,0.874957432336171,0.9299090152702199,0.9990281814925202,1.0
10,betweenness,0,10,10,20,5,10,0.8748759613091035,0.9366843272815146,1.0,1.0
10,betweenness,0,11,11,19,5,10,0.874794763265344,0.9437361157056182,1.0,1.0
10,betweenness,0,12,12,18,5,10,0.8953865729337358,0.9448814935397171,1.0,1.0
10,betweenness,0,13,13,17,5,10,0.8953627478787727,0.9468331499906276,1.0,1.0
10,betweenness,0,14,14,16,5,10,0.9022818814781818,0.9512334803742255,1.0,1.0
10,betweenness,0,15,15,15,5,10,0.9095844108371159,0.9551578706982726,1.0,1.0
10,betweenness,0,16,16,14,5,10,0.9195874585424723,0.9555699034791357,1.0,1.0
10,betweenness,0,17,17,13,5,10,0.9293643350814182,0.957056510977878,1.0,1.0
10,betweenness,0,18,18,12,5,10,0.9342837431661136,0.9817423963909091,1.0,1.0
10,betweenness,0,19,19,11,5,10,0.9411788591875455,0.98363592478369,1.0,1.0
10,betweenness,0,20,20,10,5,10,0.9511812035051995,0.9857171821686952,1.0,1.0
10,betweenness,0,21,21,9,5,10,0.96196351637685,0.9863399410173833,1.0,1.0
10,betweenness,0,22,22,8,5,10,0.9674538349603881,0.9908488526766714,0.9998522958953907,1.0
10,betweenness,0,23,23,7,5,10,0.979585572828886,0.9911540582101259,0.9998812630799563,1.0
10,betweenness,0,24,24,6,5,10,0.9867156919173314,0.9923561713813263,0.9996515242749067,1.0
10,betweenness,0,25,25,5,5,10,0.9938281340192421,0.9943418247289569,0.9984495447602315,1.0
10,betweenness,0,26,26,4,5,10,1.0,0.9965827317425359,1.0,1.0
10,betweenness,0,27,27,3,5,10,1.0,0.9972231778375616,1.0,1.0
10,betweenness,0,28,28,2,5,10,1.0,0.9993991915855651,0.9995824073747848,1.0
10,betweenness,0,29,29,1,5,10,1.0,1.0,1.0,1.0
10,betweenness,0,30,30,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,30,5,10,0.183195558512947,0.8007483990529954,0.9671383474564414,1.0
10,betweenness,1,1,1,29,5,10,0.33352359782042307,0.8134214802572415,0.9624895402507786,1.0
10,betweenness,1,2,2,28,5,10,0.5138126665284778,0.8288967794332316,0.9625252429165171,1.0
10,betweenness,1,3,3,27,5,10,0.5123454714511665,0.8503906084872342,0.9661961603911982,1.0
10,betweenness,1,4,4,26,5,10,0.5288049812434502,0.8528845860208196,0.9660690798297005,1.0
10,betweenness,1,5,5,25,5,10,0.5335088897710409,0.8538196035556586,0.9662573592881682,1.0
10,betweenness,1,6,6,24,5,10,0.679325540298891,0.8590475104468631,0.965706245728853,1.0
10,betweenness,1,7,7,23,5,10,0.6790043894665303,0.8843290418713242,0.9766841551825742,1.0
10,betweenness,1,8,8,22,5,10,0.6787309170267585,0.8898139195177126,0.9758157677137544,1.0
10,betweenness,1,9,9,21,5,10,0.6785240246266245,0.8950583910485189,0.9770764558880821,1.0
10,betweenness,1,10,10,20,5,10,0.7502293765110579,0.8994956627612931,0.9761905537113129,1.0
10,betweenness,1,11,11,19,5,10,0.7499029436436667,0.9086864220626035,0.9768575541028982,1.0
10,betweenness,1,12,12,18,5,10,0.8291792903946273,0.9137305617024405,0.9772650116912968,1.0
10,betweenness,1,13,13,17,5,10,0.8687919919815315,0.9187458691171484,0.9780347577034777,1.0
10,betweenness,1,14,14,16,5,10,0.9139173236397794,0.9220739481829716,0.9765594655817464,1.0
10,betweenness,1,15,15,15,5,10,0.9070117440729368,0.9229158850858677,0.9763135907102509,1.0
10,betweenness,1,16,16,14,5,10,0.9015799292124154,0.9234496213041775,0.9762228419175384,1.0
10,betweenness,1,17,17,13,5,10,0.901452010409165,0.9484754955346154,0.9964909975496404,1.0
10,betweenness,1,18,18,12,5,10,0.924232339139252,0.9595869894816917,0.9939546919842493,1.0
10,betweenness,1,19,19,11,5,10,0.945591121620687,0.9607539904851947,0.9940282451574443,1.0
10,betweenness,1,20,20,10,5,10,0.9455660083445674,0.9631259701980108,0.9942403192527343,1.0
10,betweenness,1,21,21,9,5,10,0.9563455890007061,0.976389929970766,0.9964201670091555,1.0
10,betweenness,1,22,22,8,5,10,0.963375441896112,0.9802133377005837,0.9958037652999782,1.0
10,betweenness,1,23,23,7,5,10,0.9732184500781654,0.9815338440519871,0.9953933178289229,1.0
10,betweenness,1,24,24,6,5,10,0.9808189860342582,0.9856158610862154,0.9944653733049219,1.0
10,betweenness,1,25,25,5,5,10,0.9938690438299521,0.9865210471522547,0.9945234083260732,1.0
10,betweenness,1,26,26,4,5,10,1.0,0.9887538973883765,0.996483187526911,1.0
10,betweenness,1,27,27,3,5,10,1.0,0.9935692992496539,0.9996283862023699,1.0
10,betweenness,1,28,28,2,5,10,1.0,0.9972231778375616,1.0,1.0
10,betweenness,1,29,29,1,5,10,1.0,0.9993991915855651,0.9995824073747848,1.0
10,betweenness,1,30,30,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,2,0,0,30,5,10,0.1650280228089898,0.7144590388575548,0.8303627540020848,1.0
10,betweenness,2,1,1,29,5,10,0.44753942818221737,0.7302990628816816,0.8327343977279832,1.0
10,betweenness,2,2,2,28,5,10,0.46800324037816976,0.7362758897256362,0.8297303348143237,1.0
10,betweenness,2,3,3,27,5,10,0.5512554823929343,0.7437468856337409,0.8303412317119354,1.0
10,betweenness,2,4,4,26,5,10,0.6925660197502144,0.7554630687697022,0.8257256949323066,1.0
10,betweenness,2,5,5,25,5,10,0.692391926943662,0.7623437226122403,0.8281350032926036,1.0
10,betweenness,2,6,6,24,5,10,0.7275718899063058,0.8023604748528407,0.8410430647354572,1.0
10,betweenness,2,7,7,23,5,10,0.7272086167025583,0.8315641143209038,0.8713048865174364,1.0
10,betweenness,2,8,8,22,5,10,0.7803647977031536,0.868930592135062,0.9069904927827862,1.0
10,betweenness,2,9,9,21,5,10,0.7612359518065437,0.8704268733531916,0.9066902248514161,1.0
10,betweenness,2,10,10,20,5,10,0.8151094760197456,0.8962722481367286,0.9095064639654643,1.0
10,betweenness,2,11,11,19,5,10,0.8342191632534964,0.8974783306862982,0.9094624391402263,1.0
10,betweenness,2,12,12,18,5,10,0.8430083375014497,0.9291153898598166,0.9665960885604927,1.0
10,betweenness,2,13,13,17,5,10,0.9039981214356214,0.9302452162875816,0.9666488943954877,1.0
10,betweenness,2,14,14,16,5,10,0.9038674672729414,0.955253125070591,0.9861582666652027,1.0
10,betweenness,2,15,15,15,5,10,0.9194611545349081,0.9634187697432217,0.9840261373703627,1.0
10,betweenness,2,16,16,14,5,10,0.9193875094957675,0.9686772499545593,0.990557286022831,1.0
10,betweenness,2,17,17,13,5,10,0.9284565300424809,0.9712006784016861,0.9889803314029104,1.0
10,betweenness,2,18,18,12,5,10,0.9395980852423463,0.9715525642003807,0.9889361394109988,1.0
