damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,87,5,10,0.9532608022824914,0.6837388644586632,0.774945727791641,0.9062499999999999
10,betweenness,0,1,4,83,5,10,0.8000982363196343,0.7612835536381535,0.8582917202495127,0.9062499999999999
10,betweenness,0,2,8,79,5,10,0.8832309222285095,0.84132449774079,0.8153952625921302,0.9062499999999999
10,betweenness,0,3,12,75,5,10,0.8580459462490089,0.8528581704548716,0.7898503577190225,0.9062499999999999
10,betweenness,0,4,16,71,5,10,0.8415491180447329,0.8658558426116184,0.7938246962822325,0.9062499999999999
10,betweenness,0,5,20,67,5,10,0.8886332448740061,0.8920726882487237,0.7816714917588456,0.9062499999999999
10,betweenness,0,6,24,63,5,10,0.8832620315017214,0.906588719634855,0.8178774899294389,0.9062499999999999
10,betweenness,0,7,28,59,5,10,0.9029693930946248,0.9197304295651569,0.7774317195140716,0.9062499999999999
10,betweenness,0,8,32,55,5,10,0.9273778162295627,0.9370159795969055,0.7643785214339289,0.9062499999999999
10,betweenness,0,9,36,51,5,10,0.92596137083296,0.9398592428840877,0.7691729878624699,0.9062499999999999
10,betweenness,0,10,40,47,5,10,0.9371146986536876,0.9494340300367631,0.7870291452376617,0.9062499999999999
10,betweenness,0,11,44,43,5,10,0.9359346920161593,0.9518464648425164,0.795603813048135,0.9062499999999999
10,betweenness,0,12,48,39,5,10,0.9454941248836108,0.9575558097993466,0.7990192000289403,0.9062499999999999
10,betweenness,0,13,52,35,5,10,0.9575226526381563,0.9659027775576403,0.8760598573843585,0.9062499999999999
10,betweenness,0,14,56,31,5,10,0.96954126538325,0.9726153127286545,0.886413966367747,0.9062499999999999
10,betweenness,0,15,60,27,5,10,0.9813653108186001,0.9804502489899075,0.935372142771283,0.9062499999999999
10,betweenness,0,16,64,23,5,10,0.9919781233979819,0.9899735792186695,0.9647305797340247,0.9062499999999999
10,betweenness,0,17,68,19,5,10,1.0,0.9958834552329429,0.990849124259957,1.0
10,betweenness,0,18,72,15,5,10,1.0,0.9980964697193552,0.9955345535182819,1.0
10,betweenness,0,19,76,11,5,10,1.0,0.9992784989027305,0.9982626878674654,1.0
10,betweenness,0,20,80,7,5,10,1.0,1.0,1.0,1.0
10,betweenness,0,21,84,3,5,10,1.0,1.0,1.0,1.0
10,betweenness,0,22,87,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,87,5,10,0.9511914261467708,0.7574076300762076,0.9777870355779924,1.0625
10,betweenness,1,1,4,83,5,10,0.8900531852040616,0.7915118749060348,0.9170281318290397,1.0
10,betweenness,1,2,8,79,5,10,0.938979991249438,0.8616203127544434,0.9358794516255369,1.0
10,betweenness,1,3,12,75,5,10,0.8984441804738853,0.8800430845946429,0.9141605892596931,1.0
10,betweenness,1,4,16,71,5,10,0.8869382075006687,0.8921621141399022,0.8998766335774621,1.0
10,betweenness,1,5,20,67,5,10,0.8811262767282538,0.8973847600425897,0.908380585630266,1.0
10,betweenness,1,6,24,63,5,10,0.9046001413887031,0.9134043295377408,0.8967339119054099,1.0
10,betweenness,1,7,28,59,5,10,0.917061550248864,0.9273323044902702,0.891061452431788,1.0
10,betweenness,1,8,32,55,5,10,0.9282000966107725,0.9362531847626291,0.8711608689087262,1.0
10,betweenness,1,9,36,51,5,10,0.9302390995825014,0.94487124687751,0.8836518999963142,1.0
10,betweenness,1,10,40,47,5,10,0.9377066891000613,0.9508701529498111,0.8750564913334675,1.0
10,betweenness,1,11,44,43,5,10,0.9350832451680776,0.9547960021568391,0.8847636397251861,1.0
10,betweenness,1,12,48,39,5,10,0.9465085662129985,0.9622694311126643,0.896058234737211,1.0
10,betweenness,1,13,52,35,5,10,0.9455774600072315,0.9640319691953029,0.901984706176676,1.0
10,betweenness,1,14,56,31,5,10,0.9586029449565401,0.9704852279120558,0.9325947427073015,1.0
10,betweenness,1,15,60,27,5,10,0.9712359868720832,0.9766142492873442,0.9298615734331949,1.0
10,betweenness,1,16,64,23,5,10,0.9824119434335226,0.9847969561707935,0.9386037285383722,1.0
10,betweenness,1,17,68,19,5,10,0.9945079567294067,0.992610572205348,0.9835044557934516,1.0
10,betweenness,1,18,72,15,5,10,1.0,0.9969540199704926,0.9916679776774359,1.0
10,betweenness,1,19,76,11,5,10,1.0,0.9989294032112288,0.9975809539586304,1.0
10,betweenness,1,20,80,7,5,10,1.0,0.9997589828577982,1.0,1.0
10,betweenness,1,21,84,3,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,22,87,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,2,0,0,87,5,10,0.7837197198786633,0.6524230119756441,1.0284487332740078,0.8437499999999998
10,betweenness,2,1,4,83,5,10,0.7191324550099019,0.6960628346475097,1.0,0.8437499999999998
10,betweenness,2,2,8,79,5,10,0.8397856203573881,0.7832333828943208,0.9248397561748658,0.8437499999999998
10,betweenness,2,3,12,75,5,10,0.8183910130278761,0.8007951018170404,0.9048875512191836,0.8437499999999998
10,betweenness,2,4,16,71,5,10,0.8321342756745853,0.8229902960668557,0.8157734505165524,0.8437499999999998
10,betweenness,2,5,20,67,5,10,0.8825346859128019,0.8528183072455015,0.804056045227493,0.8437499999999998
10,betweenness,2,6,24,63,5,10,0.8749131380468168,0.871901341367942,0.8336445322940266,0.8437499999999998
10,betweenness,2,7,28,59,5,10,0.8705229744531531,0.8773883285261287,0.820714444539812,0.8437499999999998
10,betweenness,2,8,32,55,5,10,0.8908655530313634,0.8972405633801009,0.8055884136319859,0.8437499999999998
10,betweenness,2,9,36,51,5,10,0.9032371052569199,0.9162729407365932,0.7714784375467855,0.8437499999999998
10,betweenness,2,10,40,47,5,10,0.9142025946475427,0.9327504824900651,0.8035205795321699,0.8437499999999998
10,betweenness,2,11,44,43,5,10,0.9244010015462087,0.9443499630977583,0.8361384392944358,0.8437499999999998
10,betweenness,2,12,48,39,5,10,0.9232169074116702,0.9458890797487183,0.8375389477023338,0.8437499999999998
10,betweenness,2,13,52,35,5,10,0.9297400657890604,0.9505120546843351,0.8473487167252963,0.8437499999999998
10,betweenness,2,14,56,31,5,10,0.9400523640497697,0.9599382680444704,0.8704799599376323,0.8437499999999998
10,betweenness,2,15,60,27,5,10,0.9515797159600943,0.96818073968695,0.8979906135623207,0.8437499999999998
10,betweenness,2,16,64,23,5,10,0.9639346678986351,0.9762525519902872,0.9162113052173279,0.8437499999999998
10,betweenness,2,17,68,19,5,10,0.9761623608975433,0.9838014095688349,0.9629449722700414,1.0
10,betweenness,2,18,72,15,5,10,0.9871976333949817,0.9923344826557525,0.9872174381159623,1.0
10,betweenness,2,19,76,11,5,10,1.0,0.9987203549788356,0.9952855967231607,1.0
10,betweenness,2,20,80,7,5,10,1.0,0.9990451510921035,0.9961723417746327,1.0
10,betweenness,2,21,84,3,5,10,1.0,1.0,1.0,1.0
10,betweenness,2,22,87,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,3,0,0,87,5,10,0.6137102767243224,0.6335679736139619,0.8771677405870595,1.0
10,betweenness,3,1,4,83,5,10,0.5840113585086111,0.6598364291920205,0.8628092549437398,1.0
10,betweenness,3,2,8,79,5,10,0.8341873310531019,0.7986454354000835,0.7383947325667457,1.0
10,betweenness,3,3,12,75,5,10,0.9474521250556218,0.8442310658487648,0.7108162216191646,1.0
10,betweenness,3,4,16,71,5,10,0.9156358564411657,0.862677177739464,0.6926248768686082,1.0
10,betweenness,3,5,20,67,5,10,0.9012643604758459,0.8715473529474107,0.6646803210480728,1.0
10,betweenness,3,6,24,63,5,10,0.8907039018141956,0.8816383236839134,0.669558976827998,1.0
10,betweenness,3,7,28,59,5,10,0.8791661188055605,0.8878895867318822,0.6686703088367812,1.0
10,betweenness,3,8,32,55,5,10,0.8654312971951896,0.895064666498601,0.654299149105265,1.0
10,betweenness,3,9,36,51,5,10,0.884391143392327,0.912587496784305,0.7436901563758699,1.0
10,betweenness,3,10,40,47,5,10,0.9016214950095426,0.9255030380638304,0.7291541031571896,1.0
10,betweenness,3,11,44,43,5,10,0.9082482290612822,0.9332667843368334,0.724896436804651,1.0
10,betweenness,3,12,48,39,5,10,0.9157708282082616,0.9419273192852122,0.7886646416626854,1.0
10,betweenness,3,13,52,35,5,10,0.925026487846648,0.948632885017202,0.8222750006229125,1.0
10,betweenness,3,14,56,31,5,10,0.9331787290728362,0.9552664902530029,0.8281777707264703,1.0
10,betweenness,3,15,60,27,5,10,0.9460969468436876,0.9628320349422377,0.8846060981797822,1.0
10,betweenness,3,16,64,23,5,10,0.9587434815757079,0.9695107066955204,0.9119945295703745,1.0
10,betweenness,3,17,68,19,5,10,0.9679571067310144,0.9752760991568712,0.9252422433701885,1.0
10,betweenness,3,18,72,15,5,10,0.9804476836340327,0.982611531766531,0.9769036207123016,1.0
10,betweenness,3,19,76,11,5,10,0.9913968722030195,0.9914947729017544,0.9780816318351144,1.0
10,betweenness,3,20,80,7,5,10,1.0,0.9988589878345033,0.9959228952153278,1.0
10,betweenness,3,21,84,3,5,10,1.0,1.0,1.0,1.0
10,betweenness,3,22,87,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,4,0,0,87,5,10,0.9184124029104282,0.7339577341967941,0.7952514470645414,1.0625
10,betweenness,4,1,4,83,5,10,0.98956775873559,0.7966781854372551,0.768402060314154,1.0
10,betweenness,4,2,8,79,5,10,0.9418230008784402,0.828035403689208,0.6947947984533048,1.0
10,betweenness,4,3,12,75,5,10,0.907707160961188,0.8465798835366951,0.684518919513489,1.0
10,betweenness,4,4,16,71,5,10,0.8912168222021556,0.8712180176408908,0.7156646180911911,1.0
10,betweenness,4,5,20,67,5,10,0.9111799752057482,0.8910001983930529,0.6921014519711196,1.0
10,betweenness,4,6,24,63,5,10,0.8948899712618315,0.9006409184700951,0.6950830519053631,1.0
10,betweenness,4,7,28,59,5,10,0.8878042655922616,0.9100497136675431,0.7083373043722367,1.0
10,betweenness,4,8,32,55,5,10,0.8824040393202799,0.914936830498292,0.7018204342930365,1.0
10,betweenness,4,9,36,51,5,10,0.8989999927499429,0.9288390260711518,0.7706001299780486,1.0
10,betweenness,4,10,40,47,5,10,0.9065345236074399,0.934920593428181,0.7865772449630922,1.0
10,betweenness,4,11,44,43,5,10,0.9297915420957765,0.9443808868529194,0.797648126787457,1.0
10,betweenness,4,12,48,39,5,10,0.9285302435006867,0.9460672100705722,0.8021117556867614,1.0
10,betweenness,4,13,52,35,5,10,0.9367467485935251,0.9521915129937077,0.8119884820168176,1.0
10,betweenness,4,14,56,31,5,10,0.9482890316142871,0.9588378396239999,0.8108890392666857,1.0
10,betweenness,4,15,60,27,5,10,0.959130238384138,0.9681551179133553,0.857683697333215,1.0
10,betweenness,4,16,64,23,5,10,0.9711092165186821,0.975553783568383,0.8721384296061429,1.0
10,betweenness,4,17,68,19,5,10,0.9835122419033957,0.9840345799702942,0.934745975116792,1.0
10,betweenness,4,18,72,15,5,10,0.9954835825249004,0.9915627373983726,0.9659739767438489,1.0
10,betweenness,4,19,76,11,5,10,1.0,0.9956293779154972,0.9733002381849531,1.0
10,betweenness,4,20,80,7,5,10,1.0,0.9993649383801665,0.9992638224851721,1.0
10,betweenness,4,21,84,3,5,10,1.0,1.0,1.0,1.0
10,betweenness,4,22,87,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,5,0,0,87,5,10,1.0015245489031832,0.6852940744256368,0.6468832473578398,1.0
10,betweenness,5,1,4,83,5,10,0.9368688752597102,0.7206602350795166,0.7256407127140012,1.0
10,betweenness,5,2,8,79,5,10,0.850391958921258,0.7624674963868028,0.7746425602973955,1.0
10,betweenness,5,3,12,75,5,10,0.8826850459579597,0.8144148910172206,0.7795883094835291,1.0
10,betweenness,5,4,16,71,5,10,0.8384066914352014,0.8335544881930421,0.7383013591298896,1.0
10,betweenness,5,5,20,67,5,10,0.8634517962351509,0.8669077705306044,0.7485079606728384,1.0
10,betweenness,5,6,24,63,5,10,0.8703866561453119,0.8767004545898502,0.7455934164058877,1.0
