damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,65,5,10,0.9161366971874153,0.8333994223466186,0.8729542075245901,1.0634920634920637
10,betweenness,0,1,3,62,5,10,0.8988306978797778,0.8538438751437968,0.8583474823223616,1.0
10,betweenness,0,2,6,59,5,10,0.8726524914827102,0.8653262439720347,0.8675977169246115,1.0
10,betweenness,0,3,9,56,5,10,0.8365458771930965,0.8743550856624895,0.8739579121416166,1.0
10,betweenness,0,4,12,53,5,10,0.9134723295953475,0.8973153443248163,0.8628957779803507,1.0
10,betweenness,0,5,15,50,5,10,0.9104590498584646,0.9085166189428822,0.8880329287949715,1.0
10,betweenness,0,6,18,47,5,10,0.9078994344857156,0.9168479942605682,0.8947733786526789,1.0
10,betweenness,0,7,21,44,5,10,0.9079800702677481,0.9223027490371114,0.8893417664845128,1.0
10,betweenness,0,8,24,41,5,10,0.9180522765076685,0.9343814608065469,0.8717499399283459,1.0
10,betweenness,0,9,27,38,5,10,0.917480196738654,0.9357812781789435,0.8732064741968734,1.0
10,betweenness,0,10,30,35,5,10,0.9163413749321836,0.938748275755811,0.8738593837517573,1.0
10,betweenness,0,11,33,32,5,10,0.9156136290322513,0.9399041846824296,0.875005356009382,1.0
10,betweenness,0,12,36,29,5,10,0.9153575368353601,0.9411390195220235,0.875086308628434,1.0
10,betweenness,0,13,39,26,5,10,0.9127317446882889,0.9436086823230955,0.8756748571904133,1.0
10,betweenness,0,14,42,23,5,10,0.9123704074057833,0.9449502377956167,0.8740146977748249,1.0
10,betweenness,0,15,45,20,5,10,0.9232877704281763,0.9528510764849895,0.870434273285021,1.0
10,betweenness,0,16,48,17,5,10,0.9506753152433832,0.9606714455870679,0.8915660577917965,1.0
10,betweenness,0,17,51,14,5,10,0.9588489006823278,0.972692244156494,0.9724278749575217,1.0
10,betweenness,0,18,54,11,5,10,0.9756458383967974,0.9798666959144153,0.9791084560042208,1.0
