damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,140,5,10,0.9633900313317998,0.6523693445907057,0.8085496104524084,0.8445945945945952
10,betweenness,0,1,7,133,5,10,0.8681466482169223,0.7161245621065536,0.8455359765829898,0.8445945945945952
10,betweenness,0,2,14,126,5,10,0.9350638054601487,0.7823659312117349,0.7940607537164728,0.9189189189189193
10,betweenness,0,3,21,119,5,10,0.8934189773706321,0.8099626182219994,0.8142839940940733,0.9189189189189193
10,betweenness,0,4,28,112,5,10,0.8797700915134395,0.8404661169799836,0.860970262043549,0.9189189189189193
10,betweenness,0,5,35,105,5,10,0.8536140424784457,0.8601291986590325,0.8595302377008582,0.9189189189189193
10,betweenness,0,6,42,98,5,10,0.8623358955061073,0.8712299462109584,0.8515114586877611,0.9189189189189193
10,betweenness,0,7,49,91,5,10,0.8703996968639317,0.9100232064264898,0.8853141650773352,0.9189189189189193
10,betweenness,0,8,56,84,5,10,0.8899229708965224,0.9215696686182968,0.8765009973711935,0.9189189189189193
10,betweenness,0,9,63,77,5,10,0.9023356480412671,0.9310074614714481,0.8883920665316088,0.9189189189189193
10,betweenness,0,10,70,70,5,10,0.9286083042173583,0.948300316117444,0.8897791644283031,0.9189189189189193
10,betweenness,0,11,77,63,5,10,0.9317976653055976,0.9548577731510681,0.9033417530947262,0.9189189189189193
10,betweenness,0,12,84,56,5,10,0.9314104987450716,0.9563835396973884,0.9040653062476062,1.0
10,betweenness,0,13,91,49,5,10,0.943482226822991,0.96360006480472,0.9172166871669898,1.0
10,betweenness,0,14,98,42,5,10,0.9549512350339185,0.9727160471300028,0.950303725323869,1.0
10,betweenness,0,15,105,35,5,10,0.9678954932829272,0.9798688490344465,0.9571997887858986,1.0
10,betweenness,0,16,112,28,5,10,0.9825302929551184,0.9879001472610476,0.9747936978159728,1.0
10,betweenness,0,17,119,21,5,10,0.9943557549737401,0.995155974737346,0.9998416351051149,1.0
