damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,7,5,10,0.6680519245899627,0.7868826367787973,1.3077503936776829,1.0
10,betweenness,0,1,1,6,5,10,0.6680519245899627,0.7868826367787973,1.0,1.0
10,betweenness,0,2,2,5,5,10,0.6680519245899627,0.7868826367787973,1.0,1.0
10,betweenness,0,3,3,4,5,10,0.6680519245899627,0.7868826367787973,1.0,1.0
10,betweenness,0,4,4,3,5,10,0.6680519245899627,0.7868826367787973,1.0,1.0
10,betweenness,0,5,5,2,5,10,0.6680519245899627,0.7868826367787973,1.0,1.0
10,betweenness,0,6,6,1,5,10,0.6680519245899627,0.7868826367787973,1.0,1.0
10,betweenness,0,7,7,0,5,10,0.8051337463931065,0.8446744153587423,0.7822204787906282,1.0
10,betweenness,1,0,0,7,5,10,1.079672056636356,0.9610715592143184,0.9443725042227143,1.0
10,betweenness,1,1,1,6,5,10,1.0,0.9610715592143184,0.9443725042227143,1.0
10,betweenness,1,2,2,5,5,10,1.0,0.9610715592143184,0.9443725042227143,1.0
10,betweenness,1,3,3,4,5,10,1.0,0.9610715592143184,0.9443725042227143,1.0
10,betweenness,1,4,4,3,5,10,1.0,0.9610715592143184,0.9443725042227143,1.0
10,betweenness,1,5,5,2,5,10,1.0,0.9610715592143184,0.9443725042227143,1.0
10,betweenness,1,6,6,1,5,10,1.0,0.9610715592143184,0.9443725042227143,1.0
10,betweenness,1,7,7,0,5,10,1.0,0.9669094841815012,0.9432713031442947,1.0
10,betweenness,2,0,0,7,5,10,0.9838871435400519,0.9110372326661121,1.1411552663952582,1.0
10,betweenness,2,1,1,6,5,10,0.9838871435400519,0.9110372326661121,1.0,1.0
10,betweenness,2,2,2,5,5,10,0.9838871435400519,0.9110372326661121,1.0,1.0
10,betweenness,2,3,3,4,5,10,0.9838871435400519,0.9110372326661121,1.0,1.0
10,betweenness,2,4,4,3,5,10,0.9838871435400519,0.9110372326661121,1.0,1.0
10,betweenness,2,5,5,2,5,10,0.9838871435400519,0.9110372326661121,1.0,1.0
10,betweenness,2,6,6,1,5,10,0.9838871435400519,0.9110372326661121,1.0,1.0
10,betweenness,2,7,7,0,5,10,0.9643553714056429,0.9255544751485639,1.0,1.0
10,betweenness,3,0,0,7,5,10,1.1624621923699587,0.8356060795198127,0.7109758120260732,0.5625
10,betweenness,3,1,1,6,5,10,1.0,0.8356060795198127,0.7109758120260732,0.5625
10,betweenness,3,2,2,5,5,10,1.0,0.8356060795198127,0.7109758120260732,0.5625
10,betweenness,3,3,3,4,5,10,1.0,0.8356060795198127,0.7109758120260732,0.5625
10,betweenness,3,4,4,3,5,10,1.0,0.8356060795198127,0.7109758120260732,0.5625
10,betweenness,3,5,5,2,5,10,1.0,0.8356060795198127,0.7109758120260732,0.5625
10,betweenness,3,6,6,1,5,10,1.0,0.8356060795198127,0.7109758120260732,0.5625
10,betweenness,3,7,7,0,5,10,0.9712792922696079,0.9211396681057642,0.9688588111025589,0.5625
10,betweenness,4,0,0,7,5,10,0.974042566965794,0.8279737086171091,0.9761905352066005,1.125
10,betweenness,4,1,1,6,5,10,0.974042566965794,0.8279737086171091,0.9761905352066005,1.0
10,betweenness,4,2,2,5,5,10,0.974042566965794,0.8279737086171091,0.9761905352066005,1.0
10,betweenness,4,3,3,4,5,10,0.974042566965794,0.8279737086171091,0.9761905352066005,1.0
10,betweenness,4,4,4,3,5,10,0.974042566965794,0.8279737086171091,0.9761905352066005,1.0
10,betweenness,4,5,5,2,5,10,0.974042566965794,0.8279737086171091,0.9761905352066005,1.0
10,betweenness,4,6,6,1,5,10,0.974042566965794,0.8279737086171091,0.9761905352066005,1.0
10,betweenness,4,7,7,0,5,10,0.9344077787673185,0.8534508779153481,0.8846113626081072,1.0
10,betweenness,5,0,0,7,5,10,0.8364447411339924,0.901875935630108,1.528262747310223,0.5625
10,betweenness,5,1,1,6,5,10,0.8364447411339924,0.901875935630108,1.0,0.5625
10,betweenness,5,2,2,5,5,10,0.8364447411339924,0.901875935630108,1.0,0.5625
10,betweenness,5,3,3,4,5,10,0.8364447411339924,0.901875935630108,1.0,0.5625
10,betweenness,5,4,4,3,5,10,0.8364447411339924,0.901875935630108,1.0,0.5625
10,betweenness,5,5,5,2,5,10,0.8364447411339924,0.901875935630108,1.0,0.5625
10,betweenness,5,6,6,1,5,10,0.8364447411339924,0.901875935630108,1.0,0.5625
10,betweenness,5,7,7,0,5,10,0.8189292773151171,0.9196506259738373,1.0,0.5625
10,betweenness,6,0,0,7,5,10,1.076316244319687,0.8871054786383572,0.9254398116054723,1.1249999999999998
10,betweenness,6,1,1,6,5,10,1.0,0.8871054786383572,0.9254398116054723,1.0
10,betweenness,6,2,2,5,5,10,1.0,0.8871054786383572,0.9254398116054723,1.0
10,betweenness,6,3,3,4,5,10,1.0,0.8871054786383572,0.9254398116054723,1.0
10,betweenness,6,4,4,3,5,10,1.0,0.8871054786383572,0.9254398116054723,1.0
10,betweenness,6,5,5,2,5,10,1.0,0.8871054786383572,0.9254398116054723,1.0
10,betweenness,6,6,6,1,5,10,1.0,0.8871054786383572,0.9254398116054723,1.0
10,betweenness,6,7,7,0,5,10,1.0,0.8993612990313574,0.9394869220989746,1.0
