damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,30,5,10,0.5921475346027962,0.6095129863500582,0.9354287559270236,0.9687499999999997
10,betweenness,0,1,1,29,5,10,0.678346934113815,0.6585693067901176,0.940913736709401,0.9687499999999997
10,betweenness,0,2,2,28,5,10,0.7011317314862102,0.6819296120370827,0.9519469047673811,0.9687499999999997
10,betweenness,0,3,3,27,5,10,0.6822052797493328,0.6955093172657532,0.9657518551083591,0.9687499999999997
10,betweenness,0,4,4,26,5,10,0.9613313306408672,0.7574098234206477,0.850699506644795,0.9687499999999997
10,betweenness,0,5,5,25,5,10,0.7425188869798844,0.8027316941727304,0.8587347324643196,0.9270833333333331
10,betweenness,0,6,6,24,5,10,0.7041353098316901,0.8225742058099974,0.8455506009698565,0.9270833333333331
10,betweenness,0,7,7,23,5,10,0.767200188563784,0.8763849784305541,0.9085186305612702,0.9270833333333331
10,betweenness,0,8,8,22,5,10,0.7515085192649981,0.8842678979709496,0.9132050349444056,0.9270833333333331
10,betweenness,0,9,9,21,5,10,0.8265677657529366,0.8999138849870774,0.9096968564036488,0.9270833333333331
10,betweenness,0,10,10,20,5,10,0.8221200822827436,0.9111708880599649,0.9413148331737602,0.9270833333333331
10,betweenness,0,11,11,19,5,10,0.820679066728681,0.9128457663149373,0.940051960134698,0.9270833333333331
10,betweenness,0,12,12,18,5,10,0.8828383236459082,0.9211593675608603,0.9337895514941215,0.8854166666666665
10,betweenness,0,13,13,17,5,10,0.9036405078557925,0.9490173765286443,0.9251066507671468,0.8854166666666665
10,betweenness,0,14,14,16,5,10,0.9300197786995675,0.9604705931089987,0.9255526839181096,0.8854166666666665
10,betweenness,0,15,15,15,5,10,0.9271531928374076,0.9607694341958073,0.9252812280263691,0.8854166666666665
10,betweenness,0,16,16,14,5,10,0.9434234922790299,0.9658731298835482,0.9329013575914833,0.8854166666666665
10,betweenness,0,17,17,13,5,10,0.943149344352125,0.9685450930965966,0.9407518840113597,0.9374999999999998
10,betweenness,0,18,18,12,5,10,0.9430191434646317,0.9694309171884594,0.9416365010459355,1.0
10,betweenness,0,19,19,11,5,10,0.9321202986316686,0.9698539275111341,0.941381063395789,1.0
10,betweenness,0,20,20,10,5,10,0.9310837474757568,0.9710848898802547,0.9424127792227002,1.0
10,betweenness,0,21,21,9,5,10,0.9446891300505034,0.9710848898802547,0.9424127792227002,1.0
10,betweenness,0,22,22,8,5,10,0.9503492357967982,0.9781097491929863,0.9350223957456957,1.0
10,betweenness,0,23,23,7,5,10,0.958858409924074,0.9799676596658322,0.9351552165455573,1.0
10,betweenness,0,24,24,6,5,10,0.9694493088883918,0.9816409919460324,0.9351566620689885,1.0
10,betweenness,0,25,25,5,5,10,0.9745551151094475,0.9875444617772204,0.9382653734698806,1.0
10,betweenness,0,26,26,4,5,10,0.9808836732841693,0.9918896308967021,0.9664660307316971,1.0
10,betweenness,0,27,27,3,5,10,0.986327067940471,0.9981106752934463,0.9969495700582762,1.0
10,betweenness,0,28,28,2,5,10,1.0,0.9995568182629128,1.0,1.0
10,betweenness,0,29,29,1,5,10,1.0,0.9996249560804136,1.0,1.0
10,betweenness,0,30,30,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,30,5,10,1.1993334278723544,0.6326570038732838,0.8283656928888967,1.083333333333333
10,betweenness,1,1,1,29,5,10,1.0,0.6665550208716561,0.7556186723357513,1.0
10,betweenness,1,2,2,28,5,10,0.6522247745018995,0.7264199542426583,0.9523801744262975,1.0
10,betweenness,1,3,3,27,5,10,0.6635636641471379,0.7632400030179255,0.9429811956798473,1.0
10,betweenness,1,4,4,26,5,10,0.6693327116298805,0.7692799090456401,0.9350111109243797,1.0
10,betweenness,1,5,5,25,5,10,1.0,0.829636253873529,0.8881789580165684,1.0
10,betweenness,1,6,6,24,5,10,0.9730377857043769,0.8455154242247289,0.8968843464929159,1.0
10,betweenness,1,7,7,23,5,10,0.9017976391818604,0.8880054287476867,0.8573032009147076,1.0
10,betweenness,1,8,8,22,5,10,0.9051402113447807,0.8965358008207195,0.8941327682751344,1.0
10,betweenness,1,9,9,21,5,10,0.9017709260645262,0.8977220181184664,0.891151779310305,1.0
10,betweenness,1,10,10,20,5,10,0.9005175812140269,0.9038413103953246,0.8877638656472752,1.0
10,betweenness,1,11,11,19,5,10,0.8994854077941485,0.9052069608567778,0.8874735195394678,1.0
10,betweenness,1,12,12,18,5,10,0.9559508689027758,0.9181076529417164,0.8556837542074668,1.0
10,betweenness,1,13,13,17,5,10,0.9525789565164353,0.9246463157038957,0.8592374169494621,1.0
10,betweenness,1,14,14,16,5,10,0.9456029979162102,0.9280662530679933,0.8507812156106268,1.0
10,betweenness,1,15,15,15,5,10,0.9428323260351594,0.9328206334385248,0.8476668449744035,1.0
10,betweenness,1,16,16,14,5,10,0.9422375966961621,0.9349506877994227,0.8487575000093438,1.0
10,betweenness,1,17,17,13,5,10,0.9464103474680887,0.9498089059630281,0.9779436580636036,1.0
10,betweenness,1,18,18,12,5,10,0.9394932695969991,0.9586734984723275,0.9875272815767407,1.0
10,betweenness,1,19,19,11,5,10,0.9505516158099994,0.9706201481966982,0.9993744124984797,1.0
10,betweenness,1,20,20,10,5,10,0.9675645637342035,0.9741431073470712,0.9997208694167125,1.0
10,betweenness,1,21,21,9,5,10,0.9652430997263509,0.9769324517663625,1.0,1.0
10,betweenness,1,22,22,8,5,10,0.9719048337955025,0.9802729207847892,1.0,1.0
10,betweenness,1,23,23,7,5,10,0.9782070702845688,0.9845317515100493,1.0,1.0
10,betweenness,1,24,24,6,5,10,0.9839981212023412,0.9916766417139987,1.0,1.0
10,betweenness,1,25,25,5,5,10,0.9959362897490511,0.9927092246351011,1.0,1.0
10,betweenness,1,26,26,4,5,10,1.0,0.9981569665967193,1.0,1.0
10,betweenness,1,27,27,3,5,10,1.0,0.9981957974863426,1.0,1.0
10,betweenness,1,28,28,2,5,10,1.0,0.9981957974863426,1.0,1.0
10,betweenness,1,29,29,1,5,10,1.0,0.9986755496018304,0.9995285130655389,1.0
10,betweenness,1,30,30,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,2,0,0,30,5,10,1.1250522671678134,0.6322663237221758,0.8494988008306333,0.8749999999999999
10,betweenness,2,1,1,29,5,10,0.9583612877005535,0.6724427840021521,0.8698724599215139,0.8749999999999999
10,betweenness,2,2,2,28,5,10,0.9575205267936115,0.68209693781975,0.8983009071023625,0.8749999999999999
10,betweenness,2,3,3,27,5,10,0.6411191506734145,0.7331952392843749,0.914506816413034,0.8749999999999999
10,betweenness,2,4,4,26,5,10,0.7054299938811484,0.7882356899022098,0.9042530003086808,0.8749999999999999
10,betweenness,2,5,5,25,5,10,0.7286824394744343,0.8308807524488222,0.9458084519095046,0.8749999999999999
10,betweenness,2,6,6,24,5,10,0.7273695841198223,0.8330875730546278,0.9472459104912668,0.8749999999999999
10,betweenness,2,7,7,23,5,10,0.8543949030571306,0.8571876421678484,0.9539139875015046,0.8333333333333331
10,betweenness,2,8,8,22,5,10,0.882921483445337,0.8904054914352205,0.9561621288081262,0.8958333333333333
10,betweenness,2,9,9,21,5,10,0.8736435253656721,0.8936004321910539,0.950171374536895,0.8958333333333333
10,betweenness,2,10,10,20,5,10,0.8709515457831885,0.8968646890908829,0.9414677439216229,0.8958333333333333
10,betweenness,2,11,11,19,5,10,0.8686375734450865,0.904887693706145,0.9511549582396054,0.8958333333333333
10,betweenness,2,12,12,18,5,10,0.8658750149466208,0.9118203810477564,0.9512454692402744,0.8958333333333333
10,betweenness,2,13,13,17,5,10,0.8651142444597016,0.9150841570943381,0.9538823185101967,0.8958333333333333
10,betweenness,2,14,14,16,5,10,0.861878727636472,0.9235786627540254,0.971262315129823,0.8958333333333333
10,betweenness,2,15,15,15,5,10,0.9027937644502195,0.9308912324455042,0.9151226158157114,0.8958333333333333
10,betweenness,2,16,16,14,5,10,0.9017269667023591,0.9323199904189271,0.914971099825673,0.8958333333333333
10,betweenness,2,17,17,13,5,10,0.9235702891923302,0.941117079172918,0.928035490013062,0.8958333333333333
10,betweenness,2,18,18,12,5,10,0.9317444966829549,0.9557930876874929,0.9341437578104822,0.8958333333333333
10,betweenness,2,19,19,11,5,10,0.9423177661438653,0.9675300718251624,0.9438707410262971,0.8958333333333333
10,betweenness,2,20,20,10,5,10,0.9585839467197288,0.972981604893015,0.9675417318375177,0.8958333333333333
10,betweenness,2,21,21,9,5,10,0.9686830998128283,0.9837372642542105,0.9965922553298648,0.8958333333333333
10,betweenness,2,22,22,8,5,10,0.9678359596402013,0.9852740822771839,0.9965920436736947,0.8958333333333333
10,betweenness,2,23,23,7,5,10,0.973325082814033,0.9903060916779592,0.9988001155898505,0.8958333333333333
10,betweenness,2,24,24,6,5,10,0.9813221845137707,0.9927897169012307,0.9977963872884442,0.8958333333333333
10,betweenness,2,25,25,5,5,10,0.9888090737749431,0.9962019554200643,0.9938738644677493,1.0
10,betweenness,2,26,26,4,5,10,1.0,0.9980758871734311,0.9982155506928302,1.0
10,betweenness,2,27,27,3,5,10,1.0,0.9981440249909319,0.9982804245585285,1.0
10,betweenness,2,28,28,2,5,10,1.0,0.9981440249909319,0.9982804245585285,1.0
10,betweenness,2,29,29,1,5,10,1.0,0.9992567723418702,0.9982340322107968,1.0
10,betweenness,2,30,30,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,3,0,0,30,5,10,0.56042532345286,0.7149267062299558,0.9445316610896866,0.677083333333333
10,betweenness,3,1,1,29,5,10,0.5642988814541448,0.7207843614487869,0.9334280700869385,0.677083333333333
10,betweenness,3,2,2,28,5,10,0.9225503207522044,0.8082934824945426,0.9744242181145089,0.739583333333333
10,betweenness,3,3,3,27,5,10,0.8800167184792386,0.8262926938585615,0.952475690957978,0.739583333333333
10,betweenness,3,4,4,26,5,10,0.8636224371222974,0.8339622818886437,0.957838600994903,0.739583333333333
10,betweenness,3,5,5,25,5,10,0.8489955851805409,0.8413363806154392,0.9498271503244257,0.739583333333333
10,betweenness,3,6,6,24,5,10,0.8904230340421764,0.8481761784410603,0.9390030871607012,0.739583333333333
10,betweenness,3,7,7,23,5,10,0.8751263464387862,0.8652749892837641,0.9696148192086647,0.739583333333333
10,betweenness,3,8,8,22,5,10,0.8737777396736244,0.866912632677174,0.9686369561584924,0.739583333333333
10,betweenness,3,9,9,21,5,10,0.9096799888782542,0.876287974110113,0.9424000232999324,0.6979166666666665
10,betweenness,3,10,10,20,5,10,0.9076931911450757,0.8796526860085806,0.9450669346205287,0.6979166666666665
10,betweenness,3,11,11,19,5,10,0.9201575278084384,0.8902020642995147,0.9187122097304449,0.6979166666666665
10,betweenness,3,12,12,18,5,10,0.9541629449467284,0.9053055865037887,0.938166838937249,0.6979166666666665
10,betweenness,3,13,13,17,5,10,0.9611990627917125,0.9090164519252124,0.9428379087326897,0.6979166666666665
10,betweenness,3,14,14,16,5,10,0.9765096973140636,0.9325446747183536,0.9474707718513443,0.6979166666666665
10,betweenness,3,15,15,15,5,10,0.9673947159226237,0.9371257273397177,0.9361129155322316,0.6979166666666665
10,betweenness,3,16,16,14,5,10,0.96377481326766,0.9406722717670261,0.9406579636956699,0.6979166666666665
10,betweenness,3,17,17,13,5,10,0.9626173695528953,0.9447075777249727,0.9398408875441859,0.6979166666666665
10,betweenness,3,18,18,12,5,10,0.9618810107962256,0.9456185338000554,0.9378476100914064,0.7499999999999999
10,betweenness,3,19,19,11,5,10,0.970084509806715,0.9605658716908073,0.9462799201630914,0.7499999999999999
10,betweenness,3,20,20,10,5,10,0.9923387168281883,0.9643038329431556,0.9470287555877601,0.7499999999999999
10,betweenness,3,21,21,9,5,10,0.9899336966295722,0.9743789811535071,0.9833234263143908,0.7499999999999999
10,betweenness,3,22,22,8,5,10,0.9759505875147171,0.9754759963014845,0.9828048458400994,0.7499999999999999
10,betweenness,3,23,23,7,5,10,0.981498213434116,0.9820736192652552,0.9890423599946043,0.8541666666666664
10,betweenness,3,24,24,6,5,10,0.9872982946531718,0.9890909094320623,0.9834298079634622,0.8541666666666664
10,betweenness,3,25,25,5,5,10,0.9934721513637529,0.9944998658068286,0.9833308871889618,0.8541666666666664
10,betweenness,3,26,26,4,5,10,1.0,0.9984184478789768,1.0,0.8541666666666664
10,betweenness,3,27,27,3,5,10,1.0,0.9984184478789768,1.0,0.8541666666666664
10,betweenness,3,28,28,2,5,10,1.0,0.9997428982771467,1.0,0.8541666666666664
10,betweenness,3,29,29,1,5,10,0.9999980444741107,0.9997793161101706,1.0,0.8541666666666664
10,betweenness,3,30,30,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,4,0,0,30,5,10,1.1328850195877453,0.639357438055025,0.9132951887207635,0.96875
10,betweenness,4,1,1,29,5,10,0.990834961539031,0.6871814123346413,0.9281732131202493,1.0
