damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,142,5,10,0.4238494128741317,0.0536919707082047,10.402309704168673,0.8777777777777779
10,betweenness,0,1,7,135,5,10,0.5415380343703425,0.05771217087587426,1.0,0.9
10,betweenness,0,2,14,128,5,10,0.6538965160584295,0.06618280220590592,1.0,0.9
10,betweenness,0,3,21,121,5,10,0.8060725239996429,0.07159579889864003,1.0,0.9
10,betweenness,0,4,28,114,5,10,0.8248263316967791,0.0743261522781253,1.0,0.9
10,betweenness,0,5,35,107,5,10,0.8557590201643163,0.07712809128404634,1.0,0.9
10,betweenness,0,6,42,100,5,10,0.8857526156354746,0.07835075608464818,1.0,0.9
10,betweenness,0,7,49,93,5,10,0.8907980001480144,0.07941743540398445,1.0,0.9
10,betweenness,0,8,56,86,5,10,0.9156482337455321,0.08086175609568806,1.0,0.9
10,betweenness,0,9,63,79,5,10,0.9150705564457414,0.08188525696704259,1.0,0.9
10,betweenness,0,10,70,72,5,10,0.931587695907859,0.08271358268955419,1.0,0.9
10,betweenness,0,11,77,65,5,10,0.9396474539329073,0.9790694291131178,1.0,0.9555555555555555
10,betweenness,0,12,84,58,5,10,0.9391592848945751,0.979242720490487,1.0,0.9555555555555555
10,betweenness,0,13,91,51,5,10,0.9389289723341147,0.9793972932360226,1.0,0.9555555555555555
10,betweenness,0,14,98,44,5,10,0.9446311054670858,0.9843454883628926,1.0,0.9555555555555555
10,betweenness,0,15,105,37,5,10,0.9558237500561392,0.9925215228077067,0.9962493767779185,0.9777777777777776
10,betweenness,0,16,112,30,5,10,0.9688415925468838,0.9983709797086384,1.0,0.9777777777777776
10,betweenness,0,17,119,23,5,10,0.9822605129337292,0.9989570025752658,1.0,0.9777777777777776
10,betweenness,0,18,126,16,5,10,0.995548299250521,0.9994627998710537,1.0,0.9777777777777776
10,betweenness,0,19,133,9,5,10,1.0,0.99996719236518,0.9999580195181821,0.9777777777777776
10,betweenness,0,20,140,2,5,10,1.0,0.9999874331891789,1.0,1.0
10,betweenness,0,21,142,0,5,10,1.0,0.9999874331891789,1.0,1.0
10,betweenness,1,0,0,142,5,10,0.3808025790587085,0.7105162091083774,1.947811496229224,0.9555555555555556
10,betweenness,1,1,7,135,5,10,0.36333377328701083,0.735428926592056,1.0,0.9555555555555556
10,betweenness,1,2,14,128,5,10,0.8475464318437151,0.8678601997669727,1.0,0.9555555555555556
10,betweenness,1,3,21,121,5,10,0.8556227218856597,0.9059692132947409,1.0,0.9555555555555556
10,betweenness,1,4,28,114,5,10,0.926002197655384,0.9362217744460112,0.9462220648350708,0.9555555555555556
10,betweenness,1,5,35,107,5,10,0.8836142230936526,0.9383380133029063,0.9481688236992799,0.9555555555555556
10,betweenness,1,6,42,100,5,10,0.9034691629907476,0.9616127933107194,0.9448515302487052,0.9777777777777776
10,betweenness,1,7,49,93,5,10,0.8965428489533862,0.96286916572429,0.9454249169764007,0.9777777777777776
10,betweenness,1,8,56,86,5,10,0.9082499393524834,0.9649318722164604,0.9365583317986418,0.9777777777777776
10,betweenness,1,9,63,79,5,10,0.9153760755104431,0.9688908219062984,0.9707330400268174,0.9777777777777776
10,betweenness,1,10,70,72,5,10,0.9359773915507535,0.9755155954417352,0.9364480774634664,0.9777777777777776
10,betweenness,1,11,77,65,5,10,0.938443979239692,0.9761688756982664,0.9388616634880137,0.9777777777777776
10,betweenness,1,12,84,58,5,10,0.9448139217748215,0.9768361889347309,0.9401996395610732,0.9777777777777776
10,betweenness,1,13,91,51,5,10,0.9442865789181534,0.9771218533185824,0.9412719358356015,0.9777777777777776
10,betweenness,1,14,98,44,5,10,0.9536431732880959,0.9863049991010504,0.9605514201928265,0.9777777777777776
10,betweenness,1,15,105,37,5,10,0.9647057296146735,0.9975673929535462,0.9953990558564096,0.9777777777777776
10,betweenness,1,16,112,30,5,10,0.9778569121650884,0.9984588036948695,0.9984453867714813,0.9777777777777776
10,betweenness,1,17,119,23,5,10,0.9898498153972316,0.9990553566508599,0.9965849832819209,0.9777777777777776
10,betweenness,1,18,126,16,5,10,1.0,0.9998219627878211,0.9985209822701495,0.9777777777777776
10,betweenness,1,19,133,9,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,20,140,2,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,21,142,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,2,0,0,142,5,10,0.32399858738749876,0.5912257413796286,3.00690934921629,0.9407407407407409
10,betweenness,2,1,7,135,5,10,0.3956761813618179,0.7395141781390175,1.0,0.9407407407407409
10,betweenness,2,2,14,128,5,10,0.3801761257685226,0.759323086636462,1.0,0.9407407407407409
10,betweenness,2,3,21,121,5,10,0.6624731686637115,0.8112353113268842,1.0,0.9407407407407409
10,betweenness,2,4,28,114,5,10,0.7891789788373197,0.8974964034037617,1.0,0.9407407407407409
10,betweenness,2,5,35,107,5,10,0.8547941405554206,0.9331116728629943,1.0,0.9407407407407409
10,betweenness,2,6,42,100,5,10,0.8523529545848662,0.9393632807430021,1.0,0.962962962962963
10,betweenness,2,7,49,93,5,10,0.8953996714102651,0.949556873159463,0.9752059797509596,0.9851851851851852
10,betweenness,2,8,56,86,5,10,0.90283466051034,0.9590946733988793,0.9792794347999164,0.9851851851851852
10,betweenness,2,9,63,79,5,10,0.9167385881156764,0.9640714316958632,0.9759641268126377,1.0
10,betweenness,2,10,70,72,5,10,0.9341752532807142,0.9694355023651249,0.9464694337775665,1.0
10,betweenness,2,11,77,65,5,10,0.9323342403411052,0.9699054549790488,0.9456389021393931,1.0
10,betweenness,2,12,84,58,5,10,0.9318895075760273,0.9727187372172671,0.9591364430738133,1.0
10,betweenness,2,13,91,51,5,10,0.9314669831964091,0.9730057092254831,0.9612475169288562,1.0
10,betweenness,2,14,98,44,5,10,0.9432801926521732,0.9831130282401542,0.9720574066588789,1.0
10,betweenness,2,15,105,37,5,10,0.9543470967604529,0.9931261465485726,0.9906598580051444,1.0
10,betweenness,2,16,112,30,5,10,0.9659370283069572,0.9978916314450345,0.9980536275064297,1.0
10,betweenness,2,17,119,23,5,10,0.9766628081923799,0.9987219954724081,0.9982604838349441,1.0
10,betweenness,2,18,126,16,5,10,0.9914911866608617,0.9993139093220625,1.0,1.0
10,betweenness,2,19,133,9,5,10,1.0,0.9998553629264524,0.999422413049493,1.0
10,betweenness,2,20,140,2,5,10,1.0,0.9999558412553856,1.0,1.0
10,betweenness,2,21,142,0,5,10,1.0,0.9999558412553856,1.0,1.0
10,betweenness,3,0,0,142,5,10,0.46668522290937814,0.7764748569306476,1.3293647749631634,0.9111111111111111
10,betweenness,3,1,7,135,5,10,0.5417698186181382,0.7877956313861545,1.0,0.9111111111111111
10,betweenness,3,2,14,128,5,10,0.827449275968117,0.844362401567813,1.0,0.9111111111111111
10,betweenness,3,3,21,121,5,10,0.7602956971083324,0.8550955656208539,1.0,0.9111111111111111
10,betweenness,3,4,28,114,5,10,0.7481973197143404,0.8892500985926403,1.0,0.9111111111111111
10,betweenness,3,5,35,107,5,10,0.81389799937005,0.906528761833693,1.0,0.9111111111111111
10,betweenness,3,6,42,100,5,10,0.8383970299256182,0.9303429699515168,1.0,0.9333333333333332
10,betweenness,3,7,49,93,5,10,0.8764577256011932,0.9384544282018907,1.0,0.9333333333333332
10,betweenness,3,8,56,86,5,10,0.8986020028848102,0.9488044593334578,1.0,0.9407407407407409
10,betweenness,3,9,63,79,5,10,0.9006926738537152,0.953278827237144,1.0,0.9407407407407409
10,betweenness,3,10,70,72,5,10,0.9236777616645542,0.9754117278963468,1.0,0.9407407407407409
10,betweenness,3,11,77,65,5,10,0.9332335775096433,0.9759852035974657,1.0,0.9407407407407409
10,betweenness,3,12,84,58,5,10,0.9391106607840185,0.9788181957902647,0.9976541588662132,0.9777777777777776
10,betweenness,3,13,91,51,5,10,0.9489229888426435,0.985224489958821,0.9984583910139166,0.9777777777777776
10,betweenness,3,14,98,44,5,10,0.960102120709324,0.9944722738018235,0.990705640903435,0.9777777777777776
10,betweenness,3,15,105,37,5,10,0.9713798333305389,0.9979026287168246,0.9955425976895952,0.9777777777777776
10,betweenness,3,16,112,30,5,10,0.98199948739559,0.9988634519218752,0.9976983008060801,0.9777777777777776
10,betweenness,3,17,119,23,5,10,0.9969177641266768,0.9996159546150636,0.9988130796554636,0.9777777777777776
10,betweenness,3,18,126,16,5,10,1.0,0.9998869499746412,0.9990616995255028,0.9777777777777776
10,betweenness,3,19,133,9,5,10,1.0,1.0,1.0,1.0
10,betweenness,3,20,140,2,5,10,1.0,1.0,1.0,1.0
10,betweenness,3,21,142,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,4,0,0,142,5,10,0.32344405852842273,0.6302264299340129,2.7428810251739817,0.9481481481481481
10,betweenness,4,1,7,135,5,10,0.6054524498719398,0.699776423517406,1.0,0.9481481481481481
10,betweenness,4,2,14,128,5,10,0.9367021296697572,0.9121974512311307,0.915461651299426,0.9481481481481481
10,betweenness,4,3,21,121,5,10,0.8690024160252959,0.9243507967301512,0.858141967920258,0.9481481481481481
10,betweenness,4,4,28,114,5,10,0.8588140653892892,0.9267682621742427,0.8525824632468495,0.9481481481481481
10,betweenness,4,5,35,107,5,10,0.8794457830386601,0.9294327078151196,0.856949145351012,0.9481481481481481
10,betweenness,4,6,42,100,5,10,0.8729544903775281,0.9308665457644253,0.868723021772152,0.9481481481481481
10,betweenness,4,7,49,93,5,10,0.885188541186369,0.9369985587526025,0.8014523488814908,0.9481481481481481
10,betweenness,4,8,56,86,5,10,0.881860680274214,0.9402178583828148,0.8142169588262796,0.9481481481481481
10,betweenness,4,9,63,79,5,10,0.9105801636903835,0.9670766894805447,0.9372342780821038,0.962962962962963
10,betweenness,4,10,70,72,5,10,0.9277511335049982,0.967839656929175,0.9359187959569709,0.962962962962963
10,betweenness,4,11,77,65,5,10,0.9369209635102884,0.9687483332014649,0.93927519894843,1.0
10,betweenness,4,12,84,58,5,10,0.9364483917138114,0.9715753411371914,0.952257862330206,1.0
10,betweenness,4,13,91,51,5,10,0.9467897847531295,0.9797634488359325,0.9506195327317732,1.0
10,betweenness,4,14,98,44,5,10,0.9606500726830645,0.9910097891522637,0.9892229173423346,1.0
10,betweenness,4,15,105,37,5,10,0.9728141365304425,0.9980149567208921,0.9968551679187299,1.0
10,betweenness,4,16,112,30,5,10,0.9847648542334869,0.9986522368502294,0.9963539180077408,1.0
10,betweenness,4,17,119,23,5,10,0.9967671988457921,0.9995244740182018,0.9966847888190149,1.0
10,betweenness,4,18,126,16,5,10,1.0,0.9998561160858656,0.9988699003705289,1.0
10,betweenness,4,19,133,9,5,10,1.0,0.9999953372904105,1.0,1.0
10,betweenness,4,20,140,2,5,10,1.0,0.9999953372904105,1.0,1.0
10,betweenness,4,21,142,0,5,10,1.0,0.9999953372904105,1.0,1.0
10,betweenness,5,0,0,142,5,10,1.139051282770348,0.7515618873800306,1.5566759577853757,0.937037037037037
10,betweenness,5,1,7,135,5,10,0.8685639281388032,0.8340719945684427,1.0,0.937037037037037
10,betweenness,5,2,14,128,5,10,0.7405729387130803,0.8575832649296685,1.0,0.937037037037037
10,betweenness,5,3,21,121,5,10,0.778617822807546,0.8679346388725449,1.0,0.9481481481481482
10,betweenness,5,4,28,114,5,10,0.8493814615298583,0.8861503891953109,0.9868963679228304,0.9481481481481482
10,betweenness,5,5,35,107,5,10,0.8512398078921054,0.8877676441368156,0.9901393652490961,0.9481481481481482
10,betweenness,5,6,42,100,5,10,0.8578157493976337,0.935672116946307,1.0,0.9555555555555556
10,betweenness,5,7,49,93,5,10,0.8619737679913592,0.9408769971529249,1.0,0.9555555555555556
10,betweenness,5,8,56,86,5,10,0.8885008523229163,0.9567132495092465,1.0,0.9555555555555556
10,betweenness,5,9,63,79,5,10,0.9030238928120522,0.9649164677632377,0.9935310480404548,0.9555555555555556
10,betweenness,5,10,70,72,5,10,0.9187707584578487,0.9658568678331284,0.9937720007484665,0.9555555555555556
10,betweenness,5,11,77,65,5,10,0.9300164237513954,0.970687755887581,1.0,0.9555555555555556
