damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,136,5,10,0.48484997275244723,0.4322254966083443,0.8681794408517379,0.8793466807165434
10,betweenness,0,1,6,130,5,10,0.6816296588411445,0.7358235460868731,0.8534601854891544,0.8846153846153842
10,betweenness,0,2,12,124,5,10,0.7298584217386109,0.7517359914786474,0.8551524542156266,0.8925184404636456
10,betweenness,0,3,18,118,5,10,0.7775808052803359,0.8094543809305017,0.7900099180068721,0.881981032665964
10,betweenness,0,4,24,112,5,10,0.8312219043768577,0.8995000142744952,0.753242591287595,0.8898840885142252
10,betweenness,0,5,30,106,5,10,0.8843368923451261,0.932634628350579,0.7818779385136156,0.9030558482613273
10,betweenness,0,6,36,100,5,10,0.9296550752024619,0.9675715911208352,0.9388006970384932,0.9030558482613273
10,betweenness,0,7,42,94,5,10,0.9457653241100517,0.9787242420643073,0.9728444705218549,0.9425711275026339
10,betweenness,0,8,48,88,5,10,0.961660695040573,0.9810432607727722,0.9845866537462246,0.9425711275026339
10,betweenness,0,9,54,82,5,10,0.9685195130890766,0.9815093450775423,0.9842148789095996,0.9288724973656477
10,betweenness,0,10,60,76,5,10,0.9678143884647579,0.9842871327328943,0.9863255505575348,0.9288724973656477
10,betweenness,0,11,66,70,5,10,0.9722233386701884,0.9860558088261108,0.9976425826978914,0.9288724973656477
10,betweenness,0,12,72,64,5,10,0.97943945737414,0.9865632873794824,0.9990085866844489,0.9446786090621704
10,betweenness,0,13,78,58,5,10,0.9789287396218942,0.986680928786189,0.9990425591118518,0.9604847207586932
10,betweenness,0,14,84,52,5,10,0.9799668700256707,0.988095846980077,0.9984272701108782,0.9604847207586932
10,betweenness,0,15,90,46,5,10,0.9808403372644746,0.9882470607117259,0.9983508858167187,0.971022128556375
10,betweenness,0,16,96,40,5,10,0.9823559890785386,0.9897333818511607,0.99605771263787,0.971022128556375
10,betweenness,0,17,102,34,5,10,0.9898264994933793,0.9952527884800902,1.0,0.971022128556375
10,betweenness,0,18,108,28,5,10,0.9987251077164557,0.9953732166804009,1.0,0.971022128556375
10,betweenness,0,19,114,22,5,10,1.0,0.9954886222177656,1.0,0.971022128556375
10,betweenness,0,20,120,16,5,10,1.0,0.9955242970565816,1.0,0.9868282402528978
10,betweenness,0,21,126,10,5,10,1.0,0.9955480262246215,1.0,0.9868282402528978
10,betweenness,0,22,132,4,5,10,1.0,0.9999891638299754,1.0,0.9868282402528978
