damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,177,5,10,0.8245067777390437,0.19625286803952183,1.0898152483407122,0.815684029765312
10,betweenness,0,1,8,169,5,10,0.8101414330922497,0.20104803969955226,1.0,0.8362907842014884
10,betweenness,0,2,16,161,5,10,0.8335455847558583,0.20741362607835795,1.0,0.8860904407555813
10,betweenness,0,3,24,153,5,10,0.8334039061971478,0.2126255496856085,1.0,0.8975386376645681
10,betweenness,0,4,32,145,5,10,0.9072299896957291,0.21961398164285828,1.0,0.8935317687464226
10,betweenness,0,5,40,137,5,10,0.9399823920897358,0.22807061616552973,1.0,0.900973096737264
10,betweenness,0,6,48,129,5,10,0.8827992265889135,0.23406942477918036,1.0,0.900973096737264
10,betweenness,0,7,56,121,5,10,0.9087498330563023,0.23859444625526005,1.0,0.9181453921007442
10,betweenness,0,8,64,113,5,10,0.9072640739648002,0.24140145090316056,1.0,0.9152833428734973
10,betweenness,0,9,72,105,5,10,0.9063934147514101,0.24235831978680916,1.0,0.9152833428734973
10,betweenness,0,10,80,97,5,10,0.9243509594475272,0.24405384793287033,1.0,0.9152833428734973
10,betweenness,0,11,88,89,5,10,0.9336195277526959,0.24499061722066823,1.0,0.9152833428734973
10,betweenness,0,12,96,81,5,10,0.945657499765597,0.24870636240654537,1.0,0.9152833428734973
10,betweenness,0,13,104,73,5,10,0.9555607880232014,0.25072996184479834,1.0,0.9152833428734973
10,betweenness,0,14,112,65,5,10,0.9573669390456286,0.25168585705565605,1.0,0.9524899828277045
10,betweenness,0,15,120,57,5,10,0.9563810349420908,0.2522450959821203,1.0,0.9524899828277045
10,betweenness,0,16,128,49,5,10,0.9716976902991127,0.9204829707419383,1.0,0.9524899828277045
10,betweenness,0,17,136,41,5,10,0.9830732236657703,0.9252545818781329,1.0,0.9524899828277045
10,betweenness,0,18,144,33,5,10,0.9966537111381404,0.9303594614620458,1.0,0.9524899828277045
10,betweenness,0,19,152,25,5,10,1.0,0.9996088633207956,0.9998486245747096,0.9696622781911849
10,betweenness,0,20,160,17,5,10,1.0,0.9998300659356127,0.999886920117286,0.9696622781911849
10,betweenness,0,21,168,9,5,10,1.0,0.9999516832243899,1.0,0.9696622781911849
10,betweenness,0,22,176,1,5,10,1.0,0.9999516832243899,1.0,1.0
10,betweenness,0,23,177,0,5,10,1.0,0.9999516832243899,1.0,1.0
