damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,211,5,10,1.156012190164676,0.7039134985095427,0.92374193749558,1.0057803468208093
10,betweenness,0,1,10,201,5,10,0.9525384463791765,0.8237604252648527,0.954388038081907,1.0
10,betweenness,0,2,20,191,5,10,0.894392999505079,0.8451520242498632,0.948968059977927,1.0
10,betweenness,0,3,30,181,5,10,0.8791611574666176,0.872353180448542,0.9690554020810691,1.0
10,betweenness,0,4,40,171,5,10,0.8271211426574825,0.9058027633227064,0.9741575538703416,1.0
10,betweenness,0,5,50,161,5,10,0.8989690287372634,0.9159811933860739,0.9721762611017967,1.0
10,betweenness,0,6,60,151,5,10,0.9196954666558669,0.9367187225934981,0.9560637431918505,1.0
10,betweenness,0,7,70,141,5,10,0.9218494291532869,0.9436245055922421,0.9609534071060275,1.0
10,betweenness,0,8,80,131,5,10,0.9245958503783362,0.9523646917738794,0.969012383976202,1.0
10,betweenness,0,9,90,121,5,10,0.9481428655989849,0.9620014403605525,0.9643221085258825,1.0
10,betweenness,0,10,100,111,5,10,0.9455878441017598,0.9663754011702643,0.9688903003863597,1.0
10,betweenness,0,11,110,101,5,10,0.9524404824471118,0.9700742236977838,0.970712809169303,1.0
10,betweenness,0,12,120,91,5,10,0.9513780441846709,0.9727450132262525,0.9736164386786994,1.0
10,betweenness,0,13,130,81,5,10,0.9505770688200345,0.9734932469242098,0.974052286099321,1.0
10,betweenness,0,14,140,71,5,10,0.9617401328467795,0.9781527347271438,0.980268702110727,1.0
10,betweenness,0,15,150,61,5,10,0.9735639566594987,0.9864899831841123,0.9882398276185825,1.0
10,betweenness,0,16,160,51,5,10,0.9889768448268788,0.9929801328655977,0.9907615495240076,1.0
10,betweenness,0,17,170,41,5,10,1.0,0.9980473239653105,0.9988856803677453,1.0
10,betweenness,0,18,180,31,5,10,1.0,0.9995518088433346,0.9998861101426755,1.0
10,betweenness,0,19,190,21,5,10,1.0,0.999800910705788,0.9998526404987387,1.0
10,betweenness,0,20,200,11,5,10,1.0,1.0,1.0,1.0
10,betweenness,0,21,210,1,5,10,1.0,1.0,1.0,1.0
10,betweenness,0,22,211,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,211,5,10,1.4332276794895653,0.6739797042450503,0.903866939893218,1.0057803468208093
10,betweenness,1,1,10,201,5,10,1.0,0.8007797193268642,0.8993345264369857,1.0
10,betweenness,1,2,20,191,5,10,0.9348253901942807,0.8369530464749378,0.8876211238953687,1.0
10,betweenness,1,3,30,181,5,10,0.935184157081755,0.8693823566727403,0.9264567005867703,1.0
10,betweenness,1,4,40,171,5,10,0.9183085424857453,0.8786103273941497,0.9202149435700441,1.0
10,betweenness,1,5,50,161,5,10,0.9165321485605561,0.8854321899835227,0.9276765863672577,1.0
10,betweenness,1,6,60,151,5,10,0.9229566887097969,0.8933061256997614,0.9313928234070188,1.0
10,betweenness,1,7,70,141,5,10,0.9555681256241306,0.9047528317679673,0.9388270868431249,1.0
10,betweenness,1,8,80,131,5,10,0.9538530497729335,0.9079505079486586,0.9383815375021639,1.0
10,betweenness,1,9,90,121,5,10,0.9493777737102498,0.911652577449963,0.9404616182594946,1.0
10,betweenness,1,10,100,111,5,10,0.9536635692795886,0.9174426208927827,0.9428841129624406,1.0
10,betweenness,1,11,110,101,5,10,0.9574450621737737,0.9214367035797983,0.9465348296160219,1.0
10,betweenness,1,12,120,91,5,10,0.9602451380327385,0.9267767116716209,0.9471851765581836,1.0
10,betweenness,1,13,130,81,5,10,0.9619688238673411,0.9290155523493159,0.9492211337056662,1.0
10,betweenness,1,14,140,71,5,10,0.9778680377643596,0.9354118708837408,0.9614595466600726,1.0
10,betweenness,1,15,150,61,5,10,0.9880100419312311,0.9445659983384683,0.9669543203358748,1.0
10,betweenness,1,16,160,51,5,10,0.9996752522709291,0.9550426156309245,0.9794524881456638,1.0
10,betweenness,1,17,170,41,5,10,1.0,0.9611896657203316,0.9840030293569405,1.0
10,betweenness,1,18,180,31,5,10,1.0,0.9630455102616612,0.986352385390128,1.0
10,betweenness,1,19,190,21,5,10,1.0,0.9638719527458303,0.9863629451655128,1.0
10,betweenness,1,20,200,11,5,10,1.0,0.9644228326700299,0.9867561530533757,1.0
10,betweenness,1,21,210,1,5,10,1.0,0.9644628657967798,0.9867474585095243,1.0
10,betweenness,1,22,211,0,5,10,1.0,0.9644628657967798,0.9867474585095243,1.0
10,betweenness,2,0,0,211,5,10,1.0506576491334345,0.6815559006604343,0.7537954657685471,0.9306358381502893
10,betweenness,2,1,10,201,5,10,0.8987869641510894,0.7707129027140236,0.8667345905617649,0.9306358381502893
10,betweenness,2,2,20,191,5,10,0.8572567393501237,0.7988975438406168,0.8752844763506359,0.9306358381502893
10,betweenness,2,3,30,181,5,10,0.8463587961708963,0.8399883554605165,0.8819075833797388,0.9306358381502893
10,betweenness,2,4,40,171,5,10,0.8726176162052525,0.8770851263781809,0.9005392571415188,0.9306358381502893
10,betweenness,2,5,50,161,5,10,0.8982042466307111,0.8895335245678373,0.9093144008542933,0.9306358381502893
10,betweenness,2,6,60,151,5,10,0.888495428046901,0.9152261651512639,0.9281748690640363,0.9306358381502893
10,betweenness,2,7,70,141,5,10,0.9173813442916696,0.9221574676996998,0.9309329572510326,0.9306358381502893
10,betweenness,2,8,80,131,5,10,0.9192098465578896,0.9355955565084337,0.9513227254612033,0.9306358381502893
10,betweenness,2,9,90,121,5,10,0.9245856049292799,0.9478396160086048,0.9519464053174439,0.9306358381502893
