damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,79,5,10,1.166404900471238,0.6925077637292905,1.1222216427520102,1.0
10,betweenness,0,1,3,76,5,10,1.0,0.7164747399851192,1.0,1.0
10,betweenness,0,2,6,73,5,10,1.0,0.7653706308530244,1.0,1.0
10,betweenness,0,3,9,70,5,10,1.0,0.7943855159032485,1.0,1.0
10,betweenness,0,4,12,67,5,10,1.0,0.8712380091626042,1.0,1.0
10,betweenness,0,5,15,64,5,10,1.0,0.8866740345668981,0.9969814741759025,1.0
10,betweenness,0,6,18,61,5,10,1.0,0.8989862068210606,1.0,1.0
10,betweenness,0,7,21,58,5,10,0.8743164408360695,0.9124527364252235,0.9971859731768044,1.0
10,betweenness,0,8,24,55,5,10,0.9126504418716401,0.9247960019834639,0.9872326138058598,1.0
10,betweenness,0,9,27,52,5,10,0.9075800180547705,0.9313892028407542,0.9956877336859217,1.0
10,betweenness,0,10,30,49,5,10,0.9291943661279851,0.9452125205251376,0.9741967055171259,1.0
10,betweenness,0,11,33,46,5,10,0.9328069458882927,0.9514960806082552,0.9620688568655882,1.0
10,betweenness,0,12,36,43,5,10,0.9761379930296252,0.957140721311755,0.962167926346186,1.0
10,betweenness,0,13,39,40,5,10,0.9735680716862033,0.9618037276153871,0.9567349075669688,1.0
10,betweenness,0,14,42,37,5,10,0.9719073049226404,0.9640977520599066,0.9591502064272516,1.0
10,betweenness,0,15,45,34,5,10,0.9765246574466372,0.9728484810802144,0.968654101648494,1.0
10,betweenness,0,16,48,31,5,10,0.9730171779365302,0.979821791453031,0.9724542818207772,1.0
10,betweenness,0,17,51,28,5,10,0.9718916857850406,0.9823990003177918,0.9770224288414153,1.0
10,betweenness,0,18,54,25,5,10,0.9711784014360375,0.9838568175829681,0.9750541965003212,1.0
10,betweenness,0,19,57,22,5,10,0.9766751116760598,0.985571692716034,0.9736596482202321,1.0
10,betweenness,0,20,60,19,5,10,0.9830546906182245,0.9901287807998577,0.9903001691299416,1.0
10,betweenness,0,21,63,16,5,10,0.9942252202885948,0.9967747634243775,1.0,1.0
10,betweenness,0,22,66,13,5,10,1.0,0.9981327828584505,1.0,1.0
10,betweenness,0,23,69,10,5,10,1.0,0.9993852123471766,1.0,1.0
10,betweenness,0,24,72,7,5,10,1.0,0.9996838791101454,1.0,1.0
10,betweenness,0,25,75,4,5,10,1.0,0.9998581939019087,1.0,1.0
10,betweenness,0,26,78,1,5,10,1.0,0.9998884792990788,1.0,1.0
10,betweenness,0,27,79,0,5,10,1.0,0.9998884792990788,1.0,1.0
10,betweenness,1,0,0,79,5,10,1.1967854170578378,0.7853489166689098,0.8620967660552457,1.0
10,betweenness,1,1,3,76,5,10,1.0,0.7995597994394462,0.8614113898427301,1.0
10,betweenness,1,2,6,73,5,10,1.0,0.8569773826102671,0.9058999988836637,1.0
