damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,66,5,10,0.6042341312326402,0.8305235122447725,0.909613361336921,0.9657142857142857
10,betweenness,0,1,3,63,5,10,0.5866609770413044,0.8482112639795765,0.9116860462399172,0.9657142857142857
10,betweenness,0,2,6,60,5,10,0.7859015330319884,0.8701680012739422,0.9154162662677777,0.9657142857142857
10,betweenness,0,3,9,57,5,10,0.7881950734423161,0.8888567432674908,0.923305460714023,0.9657142857142857
10,betweenness,0,4,12,54,5,10,0.9076282506674658,0.9031718559213688,0.9262707913201051,0.9657142857142857
10,betweenness,0,5,15,51,5,10,0.9024189206532925,0.9195712910314584,0.9337641304033272,0.9657142857142857
10,betweenness,0,6,18,48,5,10,0.9021330913704938,0.935393596265978,0.9403304725895297,0.9657142857142857
10,betweenness,0,7,21,45,5,10,0.9365792634142938,0.9364845369531165,0.9401930987100439,0.9657142857142857
10,betweenness,0,8,24,42,5,10,0.9237761325964052,0.9374414883139361,0.9398773891937233,0.9657142857142857
10,betweenness,0,9,27,39,5,10,0.9278625723264053,0.9428807410130631,0.9425320982258762,0.9657142857142857
10,betweenness,0,10,30,36,5,10,0.9374104757719744,0.9611231983120494,0.973347382223775,0.9657142857142857
10,betweenness,0,11,33,33,5,10,0.941910325319097,0.9615449911837337,0.9733038890051858,0.9657142857142857
10,betweenness,0,12,36,30,5,10,0.9492726729381075,0.9719558506128715,0.9863007571052507,0.9657142857142857
10,betweenness,0,13,39,27,5,10,0.9673487138251834,0.973525394991559,0.9853677561090155,0.9657142857142857
10,betweenness,0,14,42,24,5,10,0.9819194646310323,0.9744778585927864,0.9854119447502867,0.9657142857142857
10,betweenness,0,15,45,21,5,10,0.9976589634860499,0.9753833272003235,0.9856892580659378,0.9657142857142857
10,betweenness,0,16,48,18,5,10,1.0,0.9778424281943421,0.9892417543565921,0.9657142857142857
10,betweenness,0,17,51,15,5,10,1.0,0.99255924838861,0.9987993552395527,0.9657142857142857
10,betweenness,0,18,54,12,5,10,1.0,0.9945217066848002,0.9994541752628829,0.9657142857142857
10,betweenness,0,19,57,9,5,10,1.0,0.995587295780365,1.0,0.9657142857142857
10,betweenness,0,20,60,6,5,10,1.0,0.9958968116233656,0.9998331736691566,0.9657142857142857
10,betweenness,0,21,63,3,5,10,1.0,0.9972005942941858,0.9999569380583078,1.0
10,betweenness,0,22,66,0,5,10,1.0,0.9972005942941858,0.9999569380583078,1.0
10,betweenness,1,0,0,66,5,10,0.7066123893605604,0.8341506250839305,0.9105006007548232,1.0
10,betweenness,1,1,3,63,5,10,0.7605147963580249,0.8390118214167773,0.9097741615661495,1.0
10,betweenness,1,2,6,60,5,10,0.7276068316532309,0.8537423659663523,0.9153122221344858,1.0
10,betweenness,1,3,9,57,5,10,0.856240389259585,0.8577072016936128,0.915192968001738,1.0
10,betweenness,1,4,12,54,5,10,0.8527264063693413,0.8776951605733462,0.9410033308877398,1.0
10,betweenness,1,5,15,51,5,10,0.9117232611806285,0.8864933883291412,0.9390417359593696,1.0
10,betweenness,1,6,18,48,5,10,0.9428282323541308,0.9015520152827475,0.9436772529412764,1.0
10,betweenness,1,7,21,45,5,10,0.9455427405589788,0.922969486507505,0.9612181203198478,1.0
10,betweenness,1,8,24,42,5,10,0.9424487726311885,0.9424545883336609,0.9967984903202588,1.0
10,betweenness,1,9,27,39,5,10,0.9500895178546841,0.9465693142254653,1.0,1.0
10,betweenness,1,10,30,36,5,10,0.9488244198200959,0.9488842647560854,1.0,1.0
10,betweenness,1,11,33,33,5,10,0.9486277424478612,0.9581442737492133,0.9997840637951529,1.0
10,betweenness,1,12,36,30,5,10,0.9525785095558104,0.9586411594869413,0.9997543219480978,1.0
10,betweenness,1,13,39,27,5,10,0.9677977621481368,0.9600314840185097,0.9989635232104016,1.0
10,betweenness,1,14,42,24,5,10,0.9812649890973013,0.9630197691674175,0.9973234405000929,1.0
10,betweenness,1,15,45,21,5,10,0.9972366950122054,0.9656281807275617,0.9975987949910632,1.0
10,betweenness,1,16,48,18,5,10,1.0,0.9734174131119935,0.9979067514187643,1.0
10,betweenness,1,17,51,15,5,10,1.0,0.9875364144371658,0.9965506792200617,1.0
10,betweenness,1,18,54,12,5,10,1.0,0.9945629083291493,0.9994624565309279,1.0
10,betweenness,1,19,57,9,5,10,1.0,0.9980142721175103,1.0,1.0
10,betweenness,1,20,60,6,5,10,1.0,0.998048180882294,1.0,1.0
10,betweenness,1,21,63,3,5,10,1.0,0.9989666099510517,0.9994180888221988,1.0
10,betweenness,1,22,66,0,5,10,1.0,0.9989666099510517,0.9994180888221988,1.0
10,betweenness,2,0,0,66,5,10,0.7769644868230298,0.8717899129853571,0.9542128280462894,0.9885714285714287
10,betweenness,2,1,3,63,5,10,0.7625842859307616,0.8962804412000566,0.9606933306650421,0.9885714285714287
10,betweenness,2,2,6,60,5,10,0.749614506199769,0.9090395093663599,0.9640762589561775,0.9885714285714287
10,betweenness,2,3,9,57,5,10,0.8160388071475687,0.914747486285548,0.964951797531935,0.9885714285714287
10,betweenness,2,4,12,54,5,10,0.8984016080034918,0.9180970040353659,0.9656155873139993,0.9885714285714287
10,betweenness,2,5,15,51,5,10,0.9316309316509324,0.9372441672089318,0.9684923735729677,0.9885714285714287
10,betweenness,2,6,18,48,5,10,0.9242701686395162,0.9510781218010617,0.9754819068592807,0.9885714285714287
10,betweenness,2,7,21,45,5,10,0.9381457545627838,0.9521614626672177,0.9750761871668717,0.9657142857142859
10,betweenness,2,8,24,42,5,10,0.9544329659669257,0.9611599240640186,0.9797305905798599,0.9657142857142859
10,betweenness,2,9,27,39,5,10,0.9541827287402952,0.9701283117897337,0.98512645601357,0.9657142857142859
10,betweenness,2,10,30,36,5,10,0.953710028055745,0.9706671229038772,0.9847274401456686,1.0
10,betweenness,2,11,33,33,5,10,0.955532200858935,0.9721554247411777,0.9855027763288278,1.0
10,betweenness,2,12,36,30,5,10,0.9751937451632725,0.9728691872301928,0.9854592987750319,1.0
10,betweenness,2,13,39,27,5,10,0.9860678354880489,0.9880803125917466,0.9983151937445727,1.0
10,betweenness,2,14,42,24,5,10,1.0,0.9898317020761329,0.9981852330346199,1.0
10,betweenness,2,15,45,21,5,10,1.0,0.9900911712027919,0.9980729738833372,1.0
10,betweenness,2,16,48,18,5,10,1.0,0.9939560169131113,0.9990767756110376,1.0
10,betweenness,2,17,51,15,5,10,1.0,0.9971726175613558,0.999856947569283,1.0
10,betweenness,2,18,54,12,5,10,1.0,0.9995222301663662,1.0,1.0
10,betweenness,2,19,57,9,5,10,1.0,0.9999440052912629,1.0,1.0
10,betweenness,2,20,60,6,5,10,1.0,0.9999440052912629,1.0,1.0
10,betweenness,2,21,63,3,5,10,1.0,0.9999440052912629,1.0,1.0
10,betweenness,2,22,66,0,5,10,1.0,0.9999440052912629,1.0,1.0
10,betweenness,3,0,0,66,5,10,0.29840960516123305,0.8406394770861971,0.9168991562334416,0.9657142857142859
10,betweenness,3,1,3,63,5,10,0.40015152115858654,0.8509422351345689,0.9201364795333208,0.9657142857142859
10,betweenness,3,2,6,60,5,10,1.0,0.8675707531820733,0.91863404563428,0.9657142857142859
10,betweenness,3,3,9,57,5,10,1.0,0.8855920655244431,0.9249311753240614,0.9657142857142859
10,betweenness,3,4,12,54,5,10,0.9667327951196472,0.8875716815194551,0.924735929762107,0.9657142857142859
10,betweenness,3,5,15,51,5,10,0.9844931920387537,0.8898706514781779,0.9243020169071994,0.9657142857142859
10,betweenness,3,6,18,48,5,10,0.9841433256627916,0.9143474692622747,0.938225590753744,0.9657142857142859
10,betweenness,3,7,21,45,5,10,0.9579916384392508,0.915192052583679,0.938236507706691,0.9657142857142859
10,betweenness,3,8,24,42,5,10,0.9540464155499366,0.921384234414581,0.9412141013700629,0.9657142857142859
10,betweenness,3,9,27,39,5,10,0.9769185226537653,0.9229392038811829,0.9411648362806078,0.9657142857142859
10,betweenness,3,10,30,36,5,10,0.9760167710126811,0.9272242376322437,0.9417190212374916,0.9657142857142859
10,betweenness,3,11,33,33,5,10,0.9758614244721417,0.9486138199818018,0.9435739043074858,0.9657142857142859
10,betweenness,3,12,36,30,5,10,0.9701723297498598,0.961173639544284,0.9736322148957277,0.9657142857142859
10,betweenness,3,13,39,27,5,10,0.9679131131448822,0.9626424259073458,0.9738025924395669,0.9657142857142859
10,betweenness,3,14,42,24,5,10,0.967497040922354,0.9711599263721612,0.9798269272732862,0.9657142857142859
10,betweenness,3,15,45,21,5,10,0.973213609475283,0.9881587315158319,0.9992397407855289,0.9657142857142859
10,betweenness,3,16,48,18,5,10,0.9868201412903836,0.989455178951071,1.0,0.9657142857142859
10,betweenness,3,17,51,15,5,10,1.0,0.9916075746966477,0.9985505232947038,0.9657142857142859
10,betweenness,3,18,54,12,5,10,1.0,0.9917410168941644,0.998542424764454,0.9657142857142859
10,betweenness,3,19,57,9,5,10,1.0,0.9964456840885275,0.9991497650612391,0.9657142857142859
10,betweenness,3,20,60,6,5,10,1.0,0.9997805810416056,1.0,1.0
10,betweenness,3,21,63,3,5,10,1.0,0.9999509710256667,1.0,1.0
10,betweenness,3,22,66,0,5,10,1.0,0.9999509710256667,1.0,1.0
10,betweenness,4,0,0,66,5,10,0.9512400572928642,0.9171452900265307,0.9835764756813773,1.022857142857143
10,betweenness,4,1,3,63,5,10,0.7505170264545034,0.9219248957477346,0.9847991490193921,1.0
10,betweenness,4,2,6,60,5,10,0.9302032005976174,0.9273981788692216,0.9854317131082391,1.0
10,betweenness,4,3,9,57,5,10,0.8916057429440861,0.932749609203225,0.9856402422682466,1.0
10,betweenness,4,4,12,54,5,10,0.8544537093871308,0.9382933808046701,0.985770716715519,1.0
10,betweenness,4,5,15,51,5,10,0.911869921689628,0.9412428067279591,0.9849079254086047,1.0
10,betweenness,4,6,18,48,5,10,0.9216969376009375,0.9430018627562433,0.9846859228675916,1.0
10,betweenness,4,7,21,45,5,10,0.9465028702004923,0.9490363845730823,0.9868962117084323,1.0
10,betweenness,4,8,24,42,5,10,0.9449877067215208,0.9504340693951592,0.9872095509716016,1.0
10,betweenness,4,9,27,39,5,10,0.9445784236301039,0.9601711249455894,0.9888769411799007,1.0
10,betweenness,4,10,30,36,5,10,0.95721615142686,0.9741475572180178,0.9951703216132156,1.0
10,betweenness,4,11,33,33,5,10,0.95698201221024,0.9846449712883507,0.9994255724981919,1.0
10,betweenness,4,12,36,30,5,10,0.9563831075290895,0.9851931931214747,0.9995964279216056,1.0
10,betweenness,4,13,39,27,5,10,0.9659218066845462,0.9883979023549131,0.9976313971208789,1.0
10,betweenness,4,14,42,24,5,10,0.9773947043462551,0.9890286985369967,0.997632747831504,1.0
10,betweenness,4,15,45,21,5,10,0.9971205149458742,0.9901241126178001,0.9967231465508717,1.0
10,betweenness,4,16,48,18,5,10,1.0,0.9906774301619978,0.9964909461497501,1.0
10,betweenness,4,17,51,15,5,10,1.0,0.9985453679506862,1.0,1.0
10,betweenness,4,18,54,12,5,10,1.0,0.9992358485755269,1.0,1.0
10,betweenness,4,19,57,9,5,10,1.0,0.9992781089575761,1.0,1.0
10,betweenness,4,20,60,6,5,10,1.0,0.999594276971823,0.9997456774394897,1.0
10,betweenness,4,21,63,3,5,10,1.0,0.999594276971823,0.9997456774394897,1.0
10,betweenness,4,22,66,0,5,10,1.0,0.999594276971823,0.9997456774394897,1.0
10,betweenness,5,0,0,66,5,10,0.8412642918107394,0.8836628846832952,0.9846545841296693,0.9657142857142857
10,betweenness,5,1,3,63,5,10,0.8327258266805762,0.8854544423632346,0.9843305742388373,0.9657142857142857
10,betweenness,5,2,6,60,5,10,0.8312426562692634,0.9124614062365513,0.9897722393508211,0.9657142857142857
10,betweenness,5,3,9,57,5,10,0.7809281853837802,0.9145005382642724,0.9892446870763356,0.9657142857142857
10,betweenness,5,4,12,54,5,10,0.9222908879818751,0.9336407042116555,0.9872120042937984,0.9657142857142857
10,betweenness,5,5,15,51,5,10,0.9146345170074964,0.9360550051292691,0.9877353785192144,0.9657142857142857
10,betweenness,5,6,18,48,5,10,0.9297965949648362,0.9432204570120202,0.9875127061017654,0.9657142857142857
10,betweenness,5,7,21,45,5,10,0.9476329415516632,0.9477422132259913,0.9884156090657399,0.9657142857142857
10,betweenness,5,8,24,42,5,10,0.9476060102850936,0.9557980942116924,0.9931384465236288,0.9657142857142857
10,betweenness,5,9,27,39,5,10,0.9474146399670066,0.962986457104094,0.9943261575857464,0.9657142857142857
10,betweenness,5,10,30,36,5,10,0.9473490328729373,0.964054159724897,0.9934328311229644,0.9657142857142857
10,betweenness,5,11,33,33,5,10,0.9450993465187542,0.9665925160029165,0.9933977052087781,0.9657142857142857
10,betweenness,5,12,36,30,5,10,0.9439913309363449,0.9719984971138838,0.9944754355027923,0.9657142857142857
10,betweenness,5,13,39,27,5,10,0.9468510975846779,0.9788720853122272,0.995431459144325,1.0
10,betweenness,5,14,42,24,5,10,0.9607078829568881,0.9800046016173057,0.9952178443784571,1.0
10,betweenness,5,15,45,21,5,10,0.9753972822945058,0.9829792702904981,0.9955080229820232,1.0
10,betweenness,5,16,48,18,5,10,0.9900860308599678,0.983850943146992,0.9957996927492907,1.0
10,betweenness,5,17,51,15,5,10,1.0,0.9887363775649077,1.0,1.0
10,betweenness,5,18,54,12,5,10,1.0,0.990083053876971,1.0,1.0
10,betweenness,5,19,57,9,5,10,1.0,0.9982180889365121,0.9994667471223577,1.0
10,betweenness,5,20,60,6,5,10,1.0,0.9984876683507983,0.999601899503779,1.0
10,betweenness,5,21,63,3,5,10,1.0,0.9987891182628544,0.999339671477473,1.0
10,betweenness,5,22,66,0,5,10,1.0,0.9987891182628544,0.999339671477473,1.0
10,betweenness,6,0,0,66,5,10,0.17223316129437785,0.8060834351406309,0.9078146268232467,0.9885714285714285
10,betweenness,6,1,3,63,5,10,0.25680476652734435,0.8194673002534854,0.9117932208729532,1.0
10,betweenness,6,2,6,60,5,10,0.7104166041421069,0.8314974141740974,0.9096578837742032,1.0
10,betweenness,6,3,9,57,5,10,0.7793113945126404,0.8486467754071071,0.9130964597126492,1.0
10,betweenness,6,4,12,54,5,10,0.8414278175777494,0.8572466420087274,0.9131621518254942,1.0
10,betweenness,6,5,15,51,5,10,0.8153382434270465,0.8685735316640177,0.9160765360750383,1.0
10,betweenness,6,6,18,48,5,10,0.9242489799687984,0.8707911201811624,0.916301264636057,1.0
10,betweenness,6,7,21,45,5,10,0.9236109040216635,0.8993269022105996,0.9287775159109892,1.0
10,betweenness,6,8,24,42,5,10,0.9091227357281216,0.9119598742661825,0.9311299162190284,1.0
10,betweenness,6,9,27,39,5,10,0.9696017140825164,0.9147622825100158,0.9313693179517981,1.0
10,betweenness,6,10,30,36,5,10,0.9690193547622185,0.9240481601814727,0.9364963850579237,1.0
10,betweenness,6,11,33,33,5,10,0.9688389956600272,0.9372977476238771,0.9410444348943544,1.0
10,betweenness,6,12,36,30,5,10,0.9657469252504326,0.9506553245013711,0.9734346674496708,1.0
10,betweenness,6,13,39,27,5,10,0.9700585649772878,0.9544448551075687,0.9734194009440634,1.0
10,betweenness,6,14,42,24,5,10,0.9794421279983634,0.9724817979751537,0.9875043958585638,1.0
10,betweenness,6,15,45,21,5,10,0.9939170003103354,0.980094278314284,0.9885725323492393,1.0
