damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,168,5,10,0.2438181248891374,0.640275985685622,0.9805708956737547,0.8932584269662922
10,betweenness,0,1,8,160,5,10,0.8023027362316282,0.7521428373546479,0.8587602520448617,0.9157303370786518
10,betweenness,0,2,16,152,5,10,0.9148024686731082,0.8423165914992222,0.8421601308889518,0.9494382022471911
10,betweenness,0,3,24,144,5,10,0.9043427243714303,0.8719636488478656,0.8722454679225263,0.9494382022471911
10,betweenness,0,4,32,136,5,10,0.9281110808588634,0.8964377026613024,0.8582490868105548,0.9494382022471911
10,betweenness,0,5,40,128,5,10,0.9201256539699171,0.9132956011738851,0.8681817815003606,0.9494382022471911
10,betweenness,0,6,48,120,5,10,0.9346952373168663,0.9286153175791957,0.8653587202624499,0.9494382022471911
10,betweenness,0,7,56,112,5,10,0.932411900106958,0.9397969298812113,0.8666332604904377,0.9494382022471911
10,betweenness,0,8,64,104,5,10,0.9293401327443936,0.9446111706755844,0.8728925969119781,0.9494382022471911
10,betweenness,0,9,72,96,5,10,0.9372379069928365,0.9488588144797759,0.8754677523857917,0.9494382022471911
10,betweenness,0,10,80,88,5,10,0.9485317987622977,0.9551819834748364,0.8723356999537814,0.9719101123595505
10,betweenness,0,11,88,80,5,10,0.9518687006636989,0.9622393184447955,0.9177334472901231,0.9719101123595505
10,betweenness,0,12,96,72,5,10,0.9511891232394721,0.9641118780613778,0.9181794858419597,0.9719101123595505
10,betweenness,0,13,104,64,5,10,0.9620868716331625,0.9706239514046526,0.9245950065829809,0.9719101123595505
10,betweenness,0,14,112,56,5,10,0.9733802759157932,0.9782986316709782,0.9328668197833687,0.9719101123595505
10,betweenness,0,15,120,48,5,10,0.9841683824079953,0.9857347260560755,0.9655381939296679,0.9719101123595505
10,betweenness,0,16,128,40,5,10,0.9954878889369647,0.9926600571979305,0.9969145125584337,0.9719101123595505
10,betweenness,0,17,136,32,5,10,0.9991382578181431,0.9949705538665137,1.0,1.0
10,betweenness,0,18,144,24,5,10,1.0,0.9974855200509664,1.0,1.0
10,betweenness,0,19,152,16,5,10,1.0,0.9985840949415754,1.0,1.0
10,betweenness,0,20,160,8,5,10,1.0,0.9995059873529807,0.9999995498035293,1.0
10,betweenness,0,21,168,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,168,5,10,0.8610445096758309,0.6879179371197719,0.9354192475559576,0.9662921348314608
10,betweenness,1,1,8,160,5,10,0.9648749176514179,0.822088196032026,0.8472926007367136,0.9662921348314608
10,betweenness,1,2,16,152,5,10,0.9719598100541204,0.8564672344556221,0.8304476076784456,1.0
10,betweenness,1,3,24,144,5,10,0.948865097294932,0.8847682554485172,0.8122248803982517,0.9775280898876404
10,betweenness,1,4,32,136,5,10,0.9510942635672489,0.8989972928962121,0.8325531408981659,0.9775280898876404
10,betweenness,1,5,40,128,5,10,0.9411802154859586,0.9124488790327342,0.8437304515725181,0.9775280898876404
10,betweenness,1,6,48,120,5,10,0.9374622852832586,0.9246275224452428,0.8493850870031766,0.9775280898876404
10,betweenness,1,7,56,112,5,10,0.9316876056989039,0.9304042400236056,0.8453651228517801,0.9775280898876404
10,betweenness,1,8,64,104,5,10,0.9362337530979934,0.9471739467907534,0.878362476433999,0.9775280898876404
10,betweenness,1,9,72,96,5,10,0.9434784350911847,0.9525122973720003,0.8809042829062074,0.9775280898876404
10,betweenness,1,10,80,88,5,10,0.9561219998088999,0.9617581727892462,0.8940813880992661,1.0
10,betweenness,1,11,88,80,5,10,0.9551054717628795,0.9632818536870913,0.8938771765342146,1.0
10,betweenness,1,12,96,72,5,10,0.961978013573729,0.9671709661060716,0.9073129406371184,1.0
10,betweenness,1,13,104,64,5,10,0.9612713382898072,0.9694717038210268,0.9095733200890433,1.0
10,betweenness,1,14,112,56,5,10,0.9683921183499086,0.9722175286117292,0.9076122463885222,1.0
10,betweenness,1,15,120,48,5,10,0.9821428373316722,0.9795117353360717,0.904860223833923,1.0
10,betweenness,1,16,128,40,5,10,0.9921397647250509,0.9897457561817492,0.973464777512315,1.0
10,betweenness,1,17,136,32,5,10,1.0,0.9947690209655902,1.0,1.0
10,betweenness,1,18,144,24,5,10,1.0,0.9964622335715712,1.0,1.0
10,betweenness,1,19,152,16,5,10,1.0,0.9983128536680179,0.9998717971475265,1.0
10,betweenness,1,20,160,8,5,10,1.0,0.9993113853850731,1.0,1.0
10,betweenness,1,21,168,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,2,0,0,168,5,10,0.29647460269460985,0.6721531033220268,0.8725171720460019,0.8820224719101126
10,betweenness,2,1,8,160,5,10,0.8911036378468445,0.796804724306658,0.814905639145619,0.8876404494382025
10,betweenness,2,2,16,152,5,10,0.8505641660010619,0.8207771565266556,0.796164436993304,0.8651685393258429
10,betweenness,2,3,24,144,5,10,0.8803582659372456,0.8558738706075774,0.7839735773555497,0.8651685393258429
10,betweenness,2,4,32,136,5,10,0.867969864602207,0.8793591170191679,0.8419590778518493,0.8988764044943821
10,betweenness,2,5,40,128,5,10,0.8725240466012493,0.9010944117839913,0.8871738062027503,0.9325842696629216
10,betweenness,2,6,48,120,5,10,0.900986593945354,0.9149510778829472,0.885978490625758,0.9101123595505619
10,betweenness,2,7,56,112,5,10,0.8974288556400755,0.9238299379140753,0.8814156938903716,0.9438202247191012
10,betweenness,2,8,64,104,5,10,0.9115320075505481,0.940540805249403,0.9209364692052303,0.9438202247191012
10,betweenness,2,9,72,96,5,10,0.949759212844154,0.954234454518978,0.9251297670033695,0.9438202247191012
10,betweenness,2,10,80,88,5,10,0.9565920767340956,0.9613395953509237,0.9352682662042369,0.9438202247191012
10,betweenness,2,11,88,80,5,10,0.9582125770800327,0.9691431220927343,0.9390660528838084,0.9438202247191012
10,betweenness,2,12,96,72,5,10,0.9576795712497453,0.971136525583106,0.9392823362035944,0.9438202247191012
10,betweenness,2,13,104,64,5,10,0.9656748964973836,0.9737120806922264,0.9410055767757552,0.9438202247191012
10,betweenness,2,14,112,56,5,10,0.9649572528883484,0.9770013241800445,0.9475100716147863,0.9438202247191012
10,betweenness,2,15,120,48,5,10,0.9736333616685152,0.9806755516401804,0.9431262711922425,0.9438202247191012
10,betweenness,2,16,128,40,5,10,0.9856707329886779,0.988382192318558,0.9450009211707391,0.9438202247191012
10,betweenness,2,17,136,32,5,10,0.9963915218930856,0.9933321822878904,0.9659567755909111,0.9438202247191012
10,betweenness,2,18,144,24,5,10,1.0,0.9981945522122574,0.9994181528880239,0.9719101123595505
10,betweenness,2,19,152,16,5,10,1.0,0.9991725192377592,0.9997822553234123,1.0
10,betweenness,2,20,160,8,5,10,1.0,0.9994978513960485,0.9999371291749294,1.0
10,betweenness,2,21,168,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,3,0,0,168,5,10,0.2526602575647707,0.6484952502771264,1.037712421560355,0.9662921348314607
10,betweenness,3,1,8,160,5,10,0.7362043918258501,0.7494628200825274,0.977514012497971,0.9662921348314607
10,betweenness,3,2,16,152,5,10,0.8092700963308542,0.8080540011145056,0.9395234323310196,0.9438202247191012
10,betweenness,3,3,24,144,5,10,0.9212445050620535,0.8696718002831654,0.8884119979623262,0.9438202247191012
10,betweenness,3,4,32,136,5,10,0.9198233997856837,0.8896742264477344,0.894986406631256,0.9438202247191012
10,betweenness,3,5,40,128,5,10,0.9071669827758065,0.9092541322851492,0.9103762836959891,0.9438202247191012
10,betweenness,3,6,48,120,5,10,0.912470256640364,0.9201638368059657,0.9041013304970797,0.9438202247191012
10,betweenness,3,7,56,112,5,10,0.9093618625957552,0.9281470876796601,0.9044348232797584,0.9438202247191012
10,betweenness,3,8,64,104,5,10,0.9206631415952938,0.9390584684366908,0.8966894134342159,0.9438202247191012
10,betweenness,3,9,72,96,5,10,0.9430274624614607,0.9508478883257219,0.9218136155539518,0.9775280898876404
10,betweenness,3,10,80,88,5,10,0.9487826939546987,0.9551226790735806,0.927616987300603,0.9775280898876404
10,betweenness,3,11,88,80,5,10,0.9524353368700252,0.9581649577208773,0.9254035143078426,0.9775280898876404
10,betweenness,3,12,96,72,5,10,0.951912721186459,0.9604989097899179,0.9266982736365803,1.0
10,betweenness,3,13,104,64,5,10,0.9545426891871243,0.9641146002225194,0.9292693275504129,1.0
10,betweenness,3,14,112,56,5,10,0.9671731712749422,0.9712878365281918,0.9343231751190408,1.0
10,betweenness,3,15,120,48,5,10,0.9785710144947782,0.9769690302661347,0.9320180679610442,1.0
10,betweenness,3,16,128,40,5,10,0.9884923269565219,0.985015785941995,0.9690733499822685,1.0
10,betweenness,3,17,136,32,5,10,1.0,0.9927135603953722,1.0,1.0
10,betweenness,3,18,144,24,5,10,1.0,0.9961719867062618,1.0,1.0
10,betweenness,3,19,152,16,5,10,1.0,0.9984846593310036,1.0,1.0
10,betweenness,3,20,160,8,5,10,1.0,0.9997200311400898,0.9998016023658017,1.0
10,betweenness,3,21,168,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,4,0,0,168,5,10,0.25332197986855787,0.6392275553713824,0.9897461716183489,0.9101123595505619
10,betweenness,4,1,8,160,5,10,0.856753489194273,0.7993492976476192,0.8424275335234602,0.9719101123595505
10,betweenness,4,2,16,152,5,10,0.8803346444497501,0.8500450934921949,0.8613031482070669,0.9719101123595505
10,betweenness,4,3,24,144,5,10,0.8699099409173847,0.8628933332507223,0.86626392188307,0.9719101123595505
10,betweenness,4,4,32,136,5,10,0.9040357598616285,0.8875816128520828,0.8768539575374091,0.9719101123595505
10,betweenness,4,5,40,128,5,10,0.9179640613840904,0.9125080764278289,0.8835484864053251,0.9719101123595505
10,betweenness,4,6,48,120,5,10,0.9189680232725608,0.9199643490685034,0.879532027929306,0.9719101123595505
10,betweenness,4,7,56,112,5,10,0.91041688325432,0.9267534349560013,0.8860351889081874,0.9719101123595505
10,betweenness,4,8,64,104,5,10,0.915321473690757,0.9339608147641497,0.8809753389650783,0.9719101123595505
10,betweenness,4,9,72,96,5,10,0.9243136242574279,0.9446224475838991,0.8875235914157341,0.9719101123595505
10,betweenness,4,10,80,88,5,10,0.9404394624665535,0.9572779356839359,0.9301824763189755,0.9719101123595505
10,betweenness,4,11,88,80,5,10,0.9399745279017088,0.9595074292638728,0.9334016339902128,0.9719101123595505
10,betweenness,4,12,96,72,5,10,0.9448607158317305,0.962674111769446,0.9344930621262376,0.9719101123595505
10,betweenness,4,13,104,64,5,10,0.9567358473301981,0.9698142274539184,0.9323346531732787,0.9719101123595505
10,betweenness,4,14,112,56,5,10,0.968496116019486,0.9787164536589047,0.9343454591448195,0.9719101123595505
10,betweenness,4,15,120,48,5,10,0.9805349372700811,0.9853054615190838,0.9645167519538936,0.9719101123595505
10,betweenness,4,16,128,40,5,10,0.9942998135782134,0.9924123909910573,0.9827122992832258,0.9719101123595505
10,betweenness,4,17,136,32,5,10,1.0,0.9965286264036871,0.9976693855231952,0.9719101123595505
10,betweenness,4,18,144,24,5,10,1.0,0.9982709884727113,1.0,0.9719101123595505
10,betweenness,4,19,152,16,5,10,1.0,0.999513791323679,1.0,0.9719101123595505
10,betweenness,4,20,160,8,5,10,1.0,0.9999223218310697,1.0,0.9719101123595505
10,betweenness,4,21,168,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,5,0,0,168,5,10,0.42585643927380473,0.648972299592732,0.8201549778826641,0.8932584269662924
10,betweenness,5,1,8,160,5,10,0.8820689933078053,0.7995667490457335,0.809856570196969,0.8707865168539328
10,betweenness,5,2,16,152,5,10,0.9051547051103542,0.8426782541024476,0.7755452518895734,0.8707865168539328
10,betweenness,5,3,24,144,5,10,0.9015849932348553,0.8796769633664359,0.8288825768899731,0.8707865168539328
10,betweenness,5,4,32,136,5,10,0.8956850273501499,0.8939008352623843,0.8477337832918901,0.9382022471910113
10,betweenness,5,5,40,128,5,10,0.9018471142060485,0.9141573897526828,0.86903586524036,0.9382022471910113
10,betweenness,5,6,48,120,5,10,0.916153833997111,0.9225710019869626,0.8651191912523588,0.9382022471910113
10,betweenness,5,7,56,112,5,10,0.9215401672365369,0.9320617554852915,0.8683939113907885,0.9382022471910113
10,betweenness,5,8,64,104,5,10,0.9343746215385185,0.9439753153241083,0.8818568018584177,0.9325842696629215
10,betweenness,5,9,72,96,5,10,0.9508796143421465,0.9515698766953682,0.8921567819962269,0.9662921348314607
10,betweenness,5,10,80,88,5,10,0.961184432511335,0.9600091943241773,0.9152426358193037,0.9662921348314607
10,betweenness,5,11,88,80,5,10,0.9587654407352663,0.9642411472885017,0.9218580933012951,1.0
10,betweenness,5,12,96,72,5,10,0.962388006229612,0.9662687839429764,0.9182183796449008,1.0
10,betweenness,5,13,104,64,5,10,0.964803725829987,0.9701668183092131,0.9300776707940602,1.0
10,betweenness,5,14,112,56,5,10,0.9733256393597384,0.9764177844334776,0.9310543170357874,1.0
10,betweenness,5,15,120,48,5,10,0.9787541908262939,0.9814615652210864,0.9390400871393529,1.0
10,betweenness,5,16,128,40,5,10,0.9884173908353109,0.9875513677258789,0.968193109101817,1.0
10,betweenness,5,17,136,32,5,10,1.0,0.9950824698266076,1.0,1.0
10,betweenness,5,18,144,24,5,10,1.0,0.9977507744712933,1.0,1.0
10,betweenness,5,19,152,16,5,10,1.0,0.9989174053926015,1.0,1.0
10,betweenness,5,20,160,8,5,10,1.0,0.9994996534748901,1.0,1.0
10,betweenness,5,21,168,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,6,0,0,168,5,10,0.6812309068569117,0.6581143561226694,0.6698353504812506,0.8314606741573036
10,betweenness,6,1,8,160,5,10,0.8770448955911465,0.7646398711929746,0.6875643256098741,0.8314606741573036
10,betweenness,6,2,16,152,5,10,0.9634562607799025,0.8031633270745264,0.6507501021834973,0.8314606741573036
10,betweenness,6,3,24,144,5,10,0.9371831254738812,0.8489251658210754,0.7047493565075793,0.8314606741573036
10,betweenness,6,4,32,136,5,10,0.9292988568733699,0.8826256523579022,0.8262505854980254,0.8314606741573036
10,betweenness,6,5,40,128,5,10,0.9424327772757319,0.9200601154721256,0.9112762221265995,0.8651685393258428
10,betweenness,6,6,48,120,5,10,0.9386353111136055,0.9292220259386207,0.9273704132868443,0.8651685393258428
10,betweenness,6,7,56,112,5,10,0.941321624892033,0.9425484578603752,0.9352555662981108,0.8651685393258428
10,betweenness,6,8,64,104,5,10,0.9561634352694963,0.9542128445116258,0.9403571067390633,0.8651685393258428
10,betweenness,6,9,72,96,5,10,0.957512240428465,0.9617594190181008,0.9442280375629741,0.8988764044943821
10,betweenness,6,10,80,88,5,10,0.9621732062318983,0.9678611260192544,0.9449410339008164,0.8988764044943821
10,betweenness,6,11,88,80,5,10,0.9611642471816365,0.9709176544264091,0.9485840027335185,0.8988764044943821
10,betweenness,6,12,96,72,5,10,0.964342429083142,0.9752235130393725,0.9460293743215409,0.8988764044943821
10,betweenness,6,13,104,64,5,10,0.9639022434041823,0.9776901957042622,0.9517633045947443,0.8988764044943821
10,betweenness,6,14,112,56,5,10,0.9736774977577727,0.9814360635823656,0.950338488956777,0.8988764044943821
10,betweenness,6,15,120,48,5,10,0.985903711291388,0.9867948907794721,0.9600377550212164,0.8988764044943821
10,betweenness,6,16,128,40,5,10,0.9978934874283559,0.9917991582929084,0.9812225024339122,0.8988764044943821
10,betweenness,6,17,136,32,5,10,1.0,0.9955959943366717,1.0,0.9382022471910112
10,betweenness,6,18,144,24,5,10,1.0,0.9977249628356195,1.0,0.9662921348314607
10,betweenness,6,19,152,16,5,10,1.0,0.9986474006014183,0.9999114850022012,0.9662921348314607
10,betweenness,6,20,160,8,5,10,1.0,0.9997173135523147,0.9999676411867312,1.0
10,betweenness,6,21,168,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,7,0,0,168,5,10,0.8087168040563317,0.68517349714063,0.8466560327335095,0.9438202247191012
10,betweenness,7,1,8,160,5,10,0.9316874630037545,0.7750679654750863,0.8824293409867758,0.9157303370786518
10,betweenness,7,2,16,152,5,10,0.9171311957651355,0.8474490965697893,0.8180200491458754,0.9157303370786518
10,betweenness,7,3,24,144,5,10,0.8953200428291898,0.8749943725582203,0.8729879435077293,0.8932584269662922
10,betweenness,7,4,32,136,5,10,0.8874025156548411,0.8883945733061537,0.8859477087812574,0.9269662921348316
10,betweenness,7,5,40,128,5,10,0.8893313404011319,0.9064536531430767,0.9071804002419857,0.9269662921348316
10,betweenness,7,6,48,120,5,10,0.9074954546352341,0.9217022090565268,0.8972669355605475,0.9269662921348316
10,betweenness,7,7,56,112,5,10,0.9270456083254747,0.9323064705262238,0.8955491392076806,0.9269662921348316
10,betweenness,7,8,64,104,5,10,0.9444666404443827,0.9426293821067726,0.8892161326959787,0.9269662921348316
10,betweenness,7,9,72,96,5,10,0.9591332777999788,0.948927133093989,0.889899076522584,0.9269662921348316
10,betweenness,7,10,80,88,5,10,0.9547907476680882,0.9528045758485839,0.8935712976769941,0.9269662921348316
10,betweenness,7,11,88,80,5,10,0.9569050831363322,0.9563370402809588,0.9103074155275125,0.9606741573033708
10,betweenness,7,12,96,72,5,10,0.9566107085975644,0.9595877763161351,0.9143467380814335,0.9606741573033708
10,betweenness,7,13,104,64,5,10,0.959001775177218,0.9657632374328832,0.9232945186205801,0.9606741573033708
10,betweenness,7,14,112,56,5,10,0.9708408424442069,0.9730039964865829,0.9255423890635862,0.9606741573033708
10,betweenness,7,15,120,48,5,10,0.982267955734795,0.9819943480293711,0.9425611222173865,0.9606741573033708
10,betweenness,7,16,128,40,5,10,0.9949490461258796,0.9904640510029488,0.9772581462479687,1.0
10,betweenness,7,17,136,32,5,10,1.0,0.9952232432843844,1.0,1.0
10,betweenness,7,18,144,24,5,10,1.0,0.9970316565750742,1.0,1.0
10,betweenness,7,19,152,16,5,10,1.0,0.9982935433765855,1.0,1.0
10,betweenness,7,20,160,8,5,10,1.0,0.9990221909583401,1.0,1.0
10,betweenness,7,21,168,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,8,0,0,168,5,10,0.28286051700622894,0.632888895377095,0.8150279494830518,0.9325842696629215
