damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,47,5,10,0.7246240657574988,0.8144765621346763,0.8309877301455086,0.8225806451612899
10,betweenness,0,1,2,45,5,10,0.7009089161775405,0.8523400886459743,0.8644609083147792,0.8225806451612899
10,betweenness,0,2,4,43,5,10,0.6939005057490498,0.8598320073050268,0.8741083299621177,0.8225806451612899
10,betweenness,0,3,6,41,5,10,0.7037462819895607,0.8698288312334358,0.8616774133929872,0.8225806451612899
10,betweenness,0,4,8,39,5,10,0.6990044307823547,0.8804784420535876,0.8607676314291499,0.8225806451612899
10,betweenness,0,5,10,37,5,10,0.6944624539927323,0.8851865185452295,0.8466980258187321,0.8225806451612899
10,betweenness,0,6,12,35,5,10,0.7152752674633572,0.9034399843646201,0.8089453284807391,0.8225806451612899
10,betweenness,0,7,14,33,5,10,0.8047528875574399,0.9090077074343595,0.8024306354842407,0.8225806451612899
10,betweenness,0,8,16,31,5,10,0.8287784406650067,0.9207544322425167,0.8098067295459563,0.8225806451612899
10,betweenness,0,9,18,29,5,10,0.8309586517478027,0.9305540965394363,0.8873159007452,0.9193548387096772
10,betweenness,0,10,20,27,5,10,0.8389701100465806,0.9371123498268863,0.8828498802850945,0.9193548387096772
10,betweenness,0,11,22,25,5,10,0.8447570616216241,0.9416545526140606,0.8894184321451971,0.9193548387096772
10,betweenness,0,12,24,23,5,10,0.8527318250556232,0.949888493313398,0.8894639035925759,0.9193548387096772
10,betweenness,0,13,26,21,5,10,0.9194418310515653,0.9522839441657076,0.8900983347409991,0.9193548387096772
10,betweenness,0,14,28,19,5,10,0.9614499098695397,0.9551061096597879,0.8860884150766694,0.9193548387096772
10,betweenness,0,15,30,17,5,10,0.970639760714506,0.9640252591723035,0.8834325699737355,0.9193548387096772
10,betweenness,0,16,32,15,5,10,0.9777886294528313,0.9740864982204718,0.9473054361003137,0.9193548387096772
