damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,26,5,10,1.018848402427722,0.8388057235177717,0.736283736051267,1.03125
10,betweenness,0,1,1,25,5,10,0.9707512275152608,0.8502332822341235,0.732007001928077,1.0
10,betweenness,0,2,2,24,5,10,0.951050457234618,0.8664947072996392,0.7228028800854746,1.0
10,betweenness,0,3,3,23,5,10,0.9300927681650227,0.8906851248903974,0.7641784598769262,1.0
10,betweenness,0,4,4,22,5,10,0.9196371569701107,0.9022754396496088,0.8263776381839221,1.0
10,betweenness,0,5,5,21,5,10,0.9092188215867198,0.9101001639448446,0.823752500527981,1.0
10,betweenness,0,6,6,20,5,10,0.9068436588198573,0.9120712170266481,0.8241043466404273,1.0
10,betweenness,0,7,7,19,5,10,0.93901405498038,0.9244106949753993,0.8141635259587242,1.0
10,betweenness,0,8,8,18,5,10,0.9379456332065863,0.9315796689965563,0.8413296594595084,1.0
10,betweenness,0,9,9,17,5,10,0.9301446579863389,0.9350043439836675,0.8420032582787691,1.0
10,betweenness,0,10,10,16,5,10,0.9229141083627574,0.9373180427623298,0.8361506981742923,1.0
10,betweenness,0,11,11,15,5,10,0.9168911760203724,0.9399470043402538,0.8280002705832209,1.0
10,betweenness,0,12,12,14,5,10,0.9152240311988408,0.9437033771178629,0.8308438451042262,1.0
10,betweenness,0,13,13,13,5,10,0.9416922209051188,0.952823034543572,0.8582765493640688,1.0
10,betweenness,0,14,14,12,5,10,0.9696154504792793,0.9631221634291347,0.845868356526879,1.0
10,betweenness,0,15,15,11,5,10,0.9612135099938585,0.9652583035929152,0.8436334427439254,1.0
10,betweenness,0,16,16,10,5,10,0.9573037574174977,0.9674038029157592,0.8379020946412435,1.0
10,betweenness,0,17,17,9,5,10,0.9563609875795485,0.9691735321974195,0.8339701000761797,1.0
10,betweenness,0,18,18,8,5,10,0.9558463073339477,0.9707187426154024,0.8379363160238731,1.0
10,betweenness,0,19,19,7,5,10,0.9554170047817788,0.9715213484231298,0.83855780986985,1.0
10,betweenness,0,20,20,6,5,10,0.9648328473824996,0.9822779866595708,0.9000494647883223,1.0
10,betweenness,0,21,21,5,5,10,0.9797230807544273,0.9867708967226427,0.9012324348825121,1.0
10,betweenness,0,22,22,4,5,10,0.9877281028788937,0.9964090610175095,1.0,1.0
10,betweenness,0,23,23,3,5,10,1.0,0.9994257167999223,1.0,1.0
10,betweenness,0,24,24,2,5,10,1.0,0.9996895175306872,0.9999695845717715,1.0
10,betweenness,0,25,25,1,5,10,1.0,0.999738995177498,0.9998299564670395,1.0
10,betweenness,0,26,26,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,26,5,10,1.1311813066951897,0.8315134596683614,0.7974205990675604,1.1249999999999998
10,betweenness,1,1,1,25,5,10,1.0,0.836718163284387,0.811265622011934,1.0
10,betweenness,1,2,2,24,5,10,1.0,0.8668264207524486,0.8670890669462158,1.0
10,betweenness,1,3,3,23,5,10,1.0,0.8758816779597369,0.8853686396512875,1.0
10,betweenness,1,4,4,22,5,10,0.9927466931852694,0.8970070623226085,0.8855921545147019,1.0
10,betweenness,1,5,5,21,5,10,0.9471941226678107,0.9073507266103471,0.8827243926463606,1.0
10,betweenness,1,6,6,20,5,10,0.9637598046875134,0.9225601173856814,0.9268993821211563,1.0
10,betweenness,1,7,7,19,5,10,0.9459319950372357,0.9287461472351483,0.9161448957520261,1.0
10,betweenness,1,8,8,18,5,10,0.9402004360532894,0.9329765366911859,0.9195886335702509,1.0
10,betweenness,1,9,9,17,5,10,0.9378735320325936,0.935511145425051,0.9244184297968914,1.0
10,betweenness,1,10,10,16,5,10,0.9563760310908498,0.9528047055862563,0.9175809682162638,1.0
10,betweenness,1,11,11,15,5,10,0.9511797716121999,0.9546011079622228,0.9124376395548295,1.0
10,betweenness,1,12,12,14,5,10,0.9444031873265528,0.9575443044648888,0.9044600290951187,1.0
10,betweenness,1,13,13,13,5,10,0.9401426681870696,0.9603624418399453,0.9066614077659841,1.0
10,betweenness,1,14,14,12,5,10,0.9391349260909425,0.961874657835516,0.9064209855408025,1.0
10,betweenness,1,15,15,11,5,10,0.9359298943354911,0.963675761562868,0.906397002208851,1.0
10,betweenness,1,16,16,10,5,10,0.9326869712223966,0.9658526361418673,0.905247463539974,1.0
10,betweenness,1,17,17,9,5,10,0.932181201404381,0.9673914170890398,0.9091602420068763,1.0
10,betweenness,1,18,18,8,5,10,0.941974596598938,0.9732566979899412,0.9046431206313702,1.0
10,betweenness,1,19,19,7,5,10,0.9517839122488123,0.9800315726675304,0.9600453482341706,1.0
10,betweenness,1,20,20,6,5,10,0.9616395328057473,0.9862942046773746,1.0,1.0
10,betweenness,1,21,21,5,5,10,0.9718323655734991,0.9930357891316395,1.0,1.0
10,betweenness,1,22,22,4,5,10,0.9846880561167338,0.997032181222946,1.0,1.0
10,betweenness,1,23,23,3,5,10,1.0,0.9994162016263728,1.0,1.0
10,betweenness,1,24,24,2,5,10,1.0,0.9997630370987582,0.9995010923657702,1.0
10,betweenness,1,25,25,1,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,26,26,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,2,0,0,26,5,10,0.9307170942670194,0.8288999696695679,0.9031364294891255,1.1249999999999998
10,betweenness,2,1,1,25,5,10,0.9069752929648296,0.8370648641992715,0.9102640910557604,1.0
10,betweenness,2,2,2,24,5,10,0.8855105306833662,0.8460795037677813,0.904616527220154,1.0
10,betweenness,2,3,3,23,5,10,0.8393497780931503,0.8590270429374081,0.8770666186014179,1.0
10,betweenness,2,4,4,22,5,10,0.8300520418957362,0.8641999847004489,0.8639528524413587,1.0
10,betweenness,2,5,5,21,5,10,0.8168621693426809,0.8714389608108323,0.8572976718678992,1.0
10,betweenness,2,6,6,20,5,10,0.8150393844611094,0.8724201590999751,0.8561802805358383,1.0
10,betweenness,2,7,7,19,5,10,0.8969780070150831,0.8960556164283539,0.8108620117386678,1.0
10,betweenness,2,8,8,18,5,10,0.8929533146667312,0.9050413885185459,0.823820110817732,1.0
10,betweenness,2,9,9,17,5,10,0.8830514680472132,0.9123838847462507,0.8213463160159703,1.0
10,betweenness,2,10,10,16,5,10,0.881256730867681,0.913701170585023,0.8191030123200064,1.0
10,betweenness,2,11,11,15,5,10,0.87660504737906,0.9194190301373978,0.810328311346686,1.0
10,betweenness,2,12,12,14,5,10,0.8678025479643338,0.924979012570398,0.8151753219443829,1.0
10,betweenness,2,13,13,13,5,10,0.9010117727755537,0.9416032672978755,0.8753588709820577,1.0
10,betweenness,2,14,14,12,5,10,0.9431758803570361,0.949022648454206,0.8691263482547795,1.0
10,betweenness,2,15,15,11,5,10,0.9422943843404299,0.9534663812534353,0.8769712860831785,1.0
10,betweenness,2,16,16,10,5,10,0.9363962062103313,0.9561929781740401,0.8683687739872658,1.0
10,betweenness,2,17,17,9,5,10,0.935453436372382,0.957908910676186,0.8655278603407723,1.0
10,betweenness,2,18,18,8,5,10,0.9508612533981303,0.9616253485327321,0.8696309599000115,1.0
10,betweenness,2,19,19,7,5,10,0.9605767291504994,0.9674047726809522,0.8649089521427058,1.0
10,betweenness,2,20,20,6,5,10,0.969063969376622,0.9762388114411236,0.9187513666352961,1.0
10,betweenness,2,21,21,5,5,10,0.979213853770817,0.9830517373226727,0.9766206327762949,1.0
10,betweenness,2,22,22,4,5,10,0.9886527002908438,0.9933433903787076,0.9657201137940981,1.0
10,betweenness,2,23,23,3,5,10,1.0,0.998447807831109,0.9978644391824469,1.0
10,betweenness,2,24,24,2,5,10,1.0,0.9985923391928226,0.9982639217149205,1.0
