damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,192,5,10,0.9618137258736527,0.8527644811788249,1.003203534893519,0.9659574468085104
10,betweenness,0,1,9,183,5,10,1.0,0.8951866594375312,0.9382206340621069,0.9659574468085104
10,betweenness,0,2,18,174,5,10,1.0,0.9117808527035951,0.9483233513288966,0.9659574468085104
10,betweenness,0,3,27,165,5,10,1.0,0.9200254830237286,0.9432070806800578,0.9659574468085104
10,betweenness,0,4,36,156,5,10,0.9976391246502297,0.9314181197689582,0.9483134995600159,0.9659574468085104
10,betweenness,0,5,45,147,5,10,0.9934539522295452,0.9371130104728403,0.9464156301845704,0.9659574468085104
10,betweenness,0,6,54,138,5,10,0.9842501037594552,0.9436972700391376,0.9493815841736112,0.9659574468085104
10,betweenness,0,7,63,129,5,10,0.9826947666807099,0.9504751729455047,0.9560171784824819,0.9787234042553189
10,betweenness,0,8,72,120,5,10,0.9781068391003508,0.9559450091285582,0.9579083876872782,0.9787234042553189
10,betweenness,0,9,81,111,5,10,0.9748845716845427,0.9607533733379688,0.9593249504165153,0.9787234042553189
10,betweenness,0,10,90,102,5,10,0.9730058034814043,0.9648302800579353,0.9618617988210987,0.9787234042553189
10,betweenness,0,11,99,93,5,10,0.9800722095496532,0.9752190050715045,0.9880663185096143,0.9787234042553189
10,betweenness,0,12,108,84,5,10,0.9786535942977742,0.9782987756630894,0.9937446137858044,0.9787234042553189
10,betweenness,0,13,117,75,5,10,0.9767309668721839,0.9805933958803618,0.9940222328576113,0.9787234042553189
10,betweenness,0,14,126,66,5,10,0.9786059242752569,0.9840682237594962,0.9958716113191429,0.9787234042553189
10,betweenness,0,15,135,57,5,10,0.9776879508886819,0.985453662498668,0.9966312979392059,0.9787234042553189
10,betweenness,0,16,144,48,5,10,0.9771171720506058,0.9873152683310099,0.9977062921260942,0.9787234042553189
10,betweenness,0,17,153,39,5,10,0.9888303298411245,0.9909423991508536,0.99684662060932,0.9787234042553189
10,betweenness,0,18,162,30,5,10,1.0,0.9974246192458254,0.9990246032997493,0.9787234042553189
10,betweenness,0,19,171,21,5,10,1.0,0.9985185941719481,0.9997134813575943,0.9787234042553189
10,betweenness,0,20,180,12,5,10,1.0,0.9996166218190754,0.9998184396393427,0.9787234042553189
10,betweenness,0,21,189,3,5,10,1.0,0.9998080029199432,1.0,1.0
10,betweenness,0,22,192,0,5,10,1.0,0.9998080029199432,1.0,1.0
10,betweenness,1,0,0,192,5,10,0.9557496773511671,0.8225234809878899,0.9016330633969936,1.0382978723404257
10,betweenness,1,1,9,183,5,10,0.9772555220247255,0.886764328495126,0.8713108079446357,1.0
10,betweenness,1,2,18,174,5,10,0.9550735806445058,0.9049980262388264,0.8731931341631437,1.0
10,betweenness,1,3,27,165,5,10,0.9434372516462715,0.9157378692333482,0.878787600066263,1.0
10,betweenness,1,4,36,156,5,10,0.9366355840527768,0.9256607242305221,0.8869108303589849,1.0
10,betweenness,1,5,45,147,5,10,0.9334012112018727,0.9322674200986483,0.8937498707815094,1.0
10,betweenness,1,6,54,138,5,10,0.9297336685167611,0.9400071795884657,0.8995710094479238,1.0
10,betweenness,1,7,63,129,5,10,0.9363446558903901,0.9488080610522281,0.9059291883813226,1.0
10,betweenness,1,8,72,120,5,10,0.949968492316374,0.9574534736726176,0.8916630860649659,1.0
10,betweenness,1,9,81,111,5,10,0.9478683250878626,0.9626941870976207,0.894176275880979,1.0
10,betweenness,1,10,90,102,5,10,0.9679709458274627,0.967862649064459,0.8991272223971607,1.0
10,betweenness,1,11,99,93,5,10,0.970263860931237,0.9746720024286811,0.926273429982247,1.0
10,betweenness,1,12,108,84,5,10,0.9772798317487361,0.978758332990118,0.9293740741091859,1.0
10,betweenness,1,13,117,75,5,10,0.9760956570180448,0.9808591906667472,0.9323427706558598,1.0
10,betweenness,1,14,126,66,5,10,0.9821995836799139,0.9830368089383198,0.9302211130202706,1.0
10,betweenness,1,15,135,57,5,10,0.9814448010123534,0.9847006670941876,0.9326901095335999,1.0
10,betweenness,1,16,144,48,5,10,0.9808187352809988,0.9863922673476873,0.9337131506753625,1.0
10,betweenness,1,17,153,39,5,10,0.9944333136035043,0.9948396118075074,0.9748055104110152,1.0
10,betweenness,1,18,162,30,5,10,1.0,0.9982358681185179,0.9980385112608707,1.0
10,betweenness,1,19,171,21,5,10,1.0,0.9992131618487105,0.9986970815648349,1.0
10,betweenness,1,20,180,12,5,10,1.0,0.99982874011913,0.9996881416243885,1.0
10,betweenness,1,21,189,3,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,22,192,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,2,0,0,192,5,10,0.7148803175826094,0.8266072640449931,0.9807606297884877,0.9021276595744675
