damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,75,5,10,0.4444914264218824,0.8639187828475546,0.9401813494020504,0.9547920433996382
10,betweenness,0,1,3,72,5,10,0.4449696512482062,0.873717134194833,0.9428311646779831,1.0
10,betweenness,0,2,6,69,5,10,0.795721320283292,0.8918304226348849,0.9450437850137167,0.9638336347197108
10,betweenness,0,3,9,66,5,10,0.7940490623344375,0.8973497763658838,0.9466665096722666,1.0
10,betweenness,0,4,12,63,5,10,0.7933112315366871,0.9110965319819095,0.9507202094202024,1.0
10,betweenness,0,5,15,60,5,10,0.7930056899769952,0.9158909139326734,0.9512611157744358,1.0
10,betweenness,0,6,18,57,5,10,0.7929378896403837,0.9188534656858154,0.9510328689954538,1.0
10,betweenness,0,7,21,54,5,10,0.8616405910236502,0.9337516229194333,0.9535180513379016,1.0
10,betweenness,0,8,24,51,5,10,0.8614768470676152,0.938612135578095,0.954823004939607,1.0
10,betweenness,0,9,27,48,5,10,0.8613031766506493,0.9408361146592359,0.9558278886495173,1.0
10,betweenness,0,10,30,45,5,10,0.8648939843425963,0.9515196036101331,0.9562261112915428,1.0
10,betweenness,0,11,33,42,5,10,0.9153233985065924,0.9557440798484018,0.957037033346044,1.0
10,betweenness,0,12,36,39,5,10,0.9151626138543788,0.9630142267658169,0.961952989339221,1.0
10,betweenness,0,13,39,36,5,10,0.9599181334494846,0.9640024915130986,0.9596713168334561,1.0
10,betweenness,0,14,42,33,5,10,0.9618162852969343,0.9701197392113693,0.9753279019487241,1.0
10,betweenness,0,15,45,30,5,10,0.9617915423355204,0.9723649795993312,0.9763376731410863,1.0
10,betweenness,0,16,48,27,5,10,0.9638812259179813,0.9750522355493749,0.9764838012535063,1.0
10,betweenness,0,17,51,24,5,10,0.9678375442885805,0.9828874868733346,0.9951135060091909,1.0
10,betweenness,0,18,54,21,5,10,0.9801944572463194,0.9878809027697671,0.9980082806339858,1.0
10,betweenness,0,19,57,18,5,10,0.9927490959794333,0.9905001666847271,0.999275916091711,1.0
10,betweenness,0,20,60,15,5,10,1.0,0.9922997482978213,1.0,1.0
10,betweenness,0,21,63,12,5,10,1.0,0.9961902509618914,0.9995618243452865,1.0
10,betweenness,0,22,66,9,5,10,1.0,0.9984729166300088,1.0,1.0
10,betweenness,0,23,69,6,5,10,1.0,0.9998536904440497,0.9999283321140314,1.0
10,betweenness,0,24,72,3,5,10,1.0,1.0,1.0,1.0
10,betweenness,0,25,75,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,75,5,10,0.37020771204053915,0.860285025654941,0.9245425855667966,1.0
10,betweenness,1,1,3,72,5,10,0.485173772139639,0.8748305716334787,0.93411776993535,1.0
10,betweenness,1,2,6,69,5,10,0.7008984349029815,0.8883564302958634,0.9357507222746849,1.0
10,betweenness,1,3,9,66,5,10,0.7956578796656004,0.8968870093799854,0.9425865133497464,1.0
10,betweenness,1,4,12,63,5,10,0.8259538009481817,0.9005082319309747,0.939091755137473,1.0
10,betweenness,1,5,15,60,5,10,0.825411262680992,0.9125024205020057,0.939709751365895,1.0
10,betweenness,1,6,18,57,5,10,0.825280847740357,0.918188680912935,0.9422831480233499,1.0
10,betweenness,1,7,21,54,5,10,0.825051366312482,0.9251624678894521,0.9427237169000019,1.0
10,betweenness,1,8,24,51,5,10,0.8931846922199992,0.9316053832566858,0.9508275129668766,1.0
10,betweenness,1,9,27,48,5,10,0.8930656791497119,0.93460069203426,0.9517337550831223,1.0
10,betweenness,1,10,30,45,5,10,0.8928960409316739,0.9394601233484974,0.9505530352901408,1.0
10,betweenness,1,11,33,42,5,10,0.9401446058976398,0.9520278991413744,0.9512797812852926,1.0
10,betweenness,1,12,36,39,5,10,0.9400654887442262,0.954594870484681,0.9515363189794693,1.0
10,betweenness,1,13,39,36,5,10,0.9399623799800523,0.9602937836247669,0.9528759153925798,1.0
10,betweenness,1,14,42,33,5,10,0.9399181106640645,0.962257104406022,0.9532317162887417,1.0
