damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,206,5,10,0.7606925319412761,0.6328203550080864,0.5582089831614618,0.9084194977843423
10,betweenness,0,1,10,196,5,10,1.0,0.7346063676492139,0.630211728802564,0.9084194977843423
10,betweenness,0,2,20,186,5,10,1.0,0.8271315162224321,0.7006074913637739,0.9231905465288033
10,betweenness,0,3,30,176,5,10,0.9830387129744453,0.8497198958135038,0.7262945022368351,0.9231905465288033
10,betweenness,0,4,40,166,5,10,0.9481296040319072,0.8774396367872747,0.7365023856377025,0.9416543574593793
10,betweenness,0,5,50,156,5,10,0.9337686425009563,0.8945553577722035,0.7986892457803741,0.9638109305760708
10,betweenness,0,6,60,146,5,10,0.9195842681371456,0.9051137558736526,0.8139831887689155,0.9638109305760708
10,betweenness,0,7,70,136,5,10,0.9342738829891212,0.9211937839731712,0.8238316126109791,0.9741506646971935
10,betweenness,0,8,80,126,5,10,0.9361809678972263,0.9333230727514706,0.8347887823254795,0.9593796159527325
10,betweenness,0,9,90,116,5,10,0.9433440692948474,0.9438652922466964,0.8387667939400887,0.9593796159527325
10,betweenness,0,10,100,106,5,10,0.9634085798257039,0.9584170291758058,0.847704375055718,0.9593796159527325
10,betweenness,0,11,110,96,5,10,0.9611551157000583,0.9622759806143745,0.8593225491423723,0.9593796159527325
10,betweenness,0,12,120,86,5,10,0.9614955536824682,0.9658987876492827,0.8644898573250814,0.981536189069424
10,betweenness,0,13,130,76,5,10,0.9619183784017197,0.9688308443458787,0.8668933186404796,0.981536189069424
10,betweenness,0,14,140,66,5,10,0.9749611861049173,0.9754968885804751,0.8618798708436993,0.981536189069424
10,betweenness,0,15,150,56,5,10,0.9874911716612248,0.9856955176136739,0.9112766437718807,0.981536189069424
10,betweenness,0,16,160,46,5,10,0.9995819151850446,0.9954095592777258,0.9890079099958982,0.981536189069424
10,betweenness,0,17,170,36,5,10,1.0,0.9974568881842638,1.0,0.981536189069424
10,betweenness,0,18,180,26,5,10,1.0,0.9982852765229923,1.0,0.9778434268833087
10,betweenness,0,19,190,16,5,10,1.0,0.9990895527451551,0.9995326509699647,0.9778434268833087
10,betweenness,0,20,200,6,5,10,1.0,0.9997579701221867,0.9998319558507645,0.9778434268833087
10,betweenness,0,21,206,0,5,10,1.0,0.9997579701221867,0.9998319558507645,1.0
10,betweenness,1,0,0,206,5,10,1.1334219247469817,0.7492413754870929,0.7753885676936846,0.9741506646971935
10,betweenness,1,1,10,196,5,10,1.0,0.8095300541973819,0.7781353377477491,0.9741506646971935
10,betweenness,1,2,20,186,5,10,0.950606536147294,0.8480281338348769,0.7155348870933488,0.9741506646971935
