damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,206,5,10,1.1538684943502402,0.7369636977186491,0.6419240834385419,0.9519940915805016
10,betweenness,0,1,10,196,5,10,1.0,0.7951835092394901,0.6460502440237714,0.9224519940915801
10,betweenness,0,2,20,186,5,10,0.9324639438522583,0.8344814646525025,0.6548147807544071,0.9224519940915801
10,betweenness,0,3,30,176,5,10,0.9122649431926774,0.8567949802633641,0.6661043772327748,0.9224519940915801
10,betweenness,0,4,40,166,5,10,0.9059962869862745,0.8676319850149073,0.6896705297504345,0.9224519940915801
10,betweenness,0,5,50,156,5,10,0.907177720853686,0.8917440433070261,0.7340239233408953,0.9224519940915801
10,betweenness,0,6,60,146,5,10,0.919712077805226,0.9064846779014349,0.742247659226604,0.9224519940915801
10,betweenness,0,7,70,136,5,10,0.924124567618557,0.9148927717257597,0.7603110365743814,0.9224519940915801
10,betweenness,0,8,80,126,5,10,0.926692223596778,0.9288900267996092,0.7629952213538516,0.907680945347119
10,betweenness,0,9,90,116,5,10,0.9306666312028817,0.940437376793775,0.8131338696450346,0.907680945347119
10,betweenness,0,10,100,106,5,10,0.952424555453568,0.9543519951854147,0.8270041989890176,0.9150664697193496
10,betweenness,0,11,110,96,5,10,0.9566357601373425,0.9606704600629236,0.8416821291202452,0.9150664697193496
10,betweenness,0,12,120,86,5,10,0.9604158957424372,0.9636490761243041,0.8389813337045424,0.9150664697193496
10,betweenness,0,13,130,76,5,10,0.9604265197700413,0.9675010093640122,0.8560758913756927,0.9372230428360411
10,betweenness,0,14,140,66,5,10,0.9671669684494317,0.971590382809237,0.8552904760329099,0.9593796159527325
10,betweenness,0,15,150,56,5,10,0.9797497084691034,0.9786391947548824,0.8503908520607849,0.9593796159527325
10,betweenness,0,16,160,46,5,10,0.9930831065642854,0.9880242584545618,0.9015285553611855,0.9593796159527325
10,betweenness,0,17,170,36,5,10,1.0,0.9969877349053665,1.0,0.9593796159527325
10,betweenness,0,18,180,26,5,10,1.0,0.9985073678314351,1.0,0.9778434268833087
10,betweenness,0,19,190,16,5,10,1.0,0.9995287469762024,1.0,0.9778434268833087
10,betweenness,0,20,200,6,5,10,1.0,0.9999964504376397,0.9999956818154393,0.9778434268833087
10,betweenness,0,21,206,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,206,5,10,0.9000403788473752,0.664722798946237,0.8765139936696752,1.0073855243722305
10,betweenness,1,1,10,196,5,10,0.7337016401648556,0.7487787849631511,0.9400734710767756,1.0
10,betweenness,1,2,20,186,5,10,0.9176351086846285,0.8471203175060436,0.8265325839991684,0.9926144756277695
10,betweenness,1,3,30,176,5,10,0.918184595227693,0.866578716064249,0.847728412779841,0.9926144756277695
10,betweenness,1,4,40,166,5,10,0.8956794747361881,0.8845703987416332,0.8453391803225735,0.9926144756277695
10,betweenness,1,5,50,156,5,10,0.9176120185978166,0.9048701862977113,0.8305619507404423,0.9926144756277695
10,betweenness,1,6,60,146,5,10,0.9266468206728171,0.9162183604864427,0.8358280260425912,0.9926144756277695
10,betweenness,1,7,70,136,5,10,0.9330807743078019,0.9267436526997561,0.8304583579947158,0.9926144756277695
10,betweenness,1,8,80,126,5,10,0.9396477679356355,0.9351500433927581,0.8218746427315186,0.9926144756277695
10,betweenness,1,9,90,116,5,10,0.951538535476764,0.9445962627394809,0.8181771721558747,0.9926144756277695
10,betweenness,1,10,100,106,5,10,0.9605001578609705,0.9552829199912798,0.8237071702025834,0.9926144756277695
10,betweenness,1,11,110,96,5,10,0.9684787168320215,0.9653936451488642,0.8476102903925661,1.0
10,betweenness,1,12,120,86,5,10,0.966820951021248,0.9690196955735474,0.8496517880111907,1.0
10,betweenness,1,13,130,76,5,10,0.966799468223578,0.9721050437422833,0.8694970305703349,1.0
10,betweenness,1,14,140,66,5,10,0.9746127707208511,0.9781625323268406,0.8714474300027409,1.0
10,betweenness,1,15,150,56,5,10,0.987435072029492,0.9863748801900446,0.8897857549417132,1.0
10,betweenness,1,16,160,46,5,10,1.0,0.9956480618698866,0.9999523734976951,1.0
10,betweenness,1,17,170,36,5,10,1.0,0.9972182337447604,0.9993812416431043,1.0
10,betweenness,1,18,180,26,5,10,1.0,0.9983242641300627,1.0,1.0
10,betweenness,1,19,190,16,5,10,1.0,0.9995098861985671,1.0,1.0
10,betweenness,1,20,200,6,5,10,1.0,0.9998823689158708,0.9999939732561229,1.0
10,betweenness,1,21,206,0,5,10,1.0,0.9998823689158708,0.9999939732561229,1.0
10,betweenness,2,0,0,206,5,10,1.403519753593788,0.6823982389564367,0.4559262032494455,0.9815361890694234
10,betweenness,2,1,10,196,5,10,1.0,0.7864646939401868,0.5926993006886094,0.9667651403249626
10,betweenness,2,2,20,186,5,10,0.9663611814125362,0.8272107093899175,0.6163231733135351,0.9224519940915803
10,betweenness,2,3,30,176,5,10,0.9173648283316204,0.8572534211083069,0.6229173146542718,0.9335302806499258
10,betweenness,2,4,40,166,5,10,0.9045900935614589,0.8756990739894785,0.6603394366913271,0.9335302806499258
10,betweenness,2,5,50,156,5,10,0.9014763911038135,0.8907267995589326,0.717623597649509,0.9298375184638105
10,betweenness,2,6,60,146,5,10,0.9446508711706648,0.9177383622524962,0.7226719992072396,0.9298375184638105
10,betweenness,2,7,70,136,5,10,0.9422129070029812,0.922004511967537,0.7280935978068886,0.9298375184638105
10,betweenness,2,8,80,126,5,10,0.9476361091048062,0.9369041571140746,0.7947206451417369,0.9298375184638105
10,betweenness,2,9,90,116,5,10,0.9531711779599038,0.9463403674812051,0.8117942480150829,0.9298375184638105
10,betweenness,2,10,100,106,5,10,0.956813498737982,0.9525476190107487,0.8690283460904242,0.9298375184638105
10,betweenness,2,11,110,96,5,10,0.9604828134429384,0.9597127294917379,0.8914195912718912,0.9298375184638105
10,betweenness,2,12,120,86,5,10,0.9595772524096617,0.962111330156219,0.8923489450396933,0.9483013293943868
10,betweenness,2,13,130,76,5,10,0.9589645517726341,0.9643089774167701,0.8896650745432448,0.9704579025110782
10,betweenness,2,14,140,66,5,10,0.9729741452122965,0.9723261375640376,0.8904770847414698,0.9704579025110782
10,betweenness,2,15,150,56,5,10,0.9837752770784578,0.9802752710098551,0.8907205612986715,0.9704579025110782
10,betweenness,2,16,160,46,5,10,0.9969978135224941,0.9900941475577246,0.9390723907128492,0.9704579025110782
10,betweenness,2,17,170,36,5,10,1.0,0.9958554885764238,1.0,0.9704579025110782
10,betweenness,2,18,180,26,5,10,1.0,0.9975757037426148,1.0,0.9889217134416542
10,betweenness,2,19,190,16,5,10,1.0,0.9987023982813396,1.0,1.0
10,betweenness,2,20,200,6,5,10,1.0,0.9995130410228397,1.0,1.0
10,betweenness,2,21,206,0,5,10,1.0,0.9996797371431777,0.9998616328457595,1.0
10,betweenness,3,0,0,206,5,10,1.2627870801143974,0.6645724495060065,0.7153697391821232,0.941654357459379
