damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,98,5,10,1.017223848642399,0.7095475178174873,0.9246717116116903,0.9861111111111109
10,betweenness,0,1,4,94,5,10,0.921878879429473,0.7512102731414328,0.9188326098241901,1.0
10,betweenness,0,2,8,90,5,10,0.852867828163053,0.7795880523879162,0.932906571923916,0.9930555555555555
10,betweenness,0,3,12,86,5,10,0.8967640537737818,0.8253480669247436,0.9343811504854576,0.9791666666666663
10,betweenness,0,4,16,82,5,10,0.8860988761841706,0.8488301992802003,0.9376086494248859,0.9791666666666663
10,betweenness,0,5,20,78,5,10,0.8893599885625914,0.882291074408942,0.956789529380929,0.9791666666666663
10,betweenness,0,6,24,74,5,10,0.921821506037281,0.9133637755580004,0.9327110973925625,0.9652777777777776
10,betweenness,0,7,28,70,5,10,0.9095504014570936,0.9246283107887414,0.9229489730366071,0.9652777777777776
10,betweenness,0,8,32,66,5,10,0.9269284992058942,0.9310602568587476,0.9212035308413337,0.9652777777777776
10,betweenness,0,9,36,62,5,10,0.9212911078405274,0.937385547386368,0.9253831651926038,0.9652777777777776
10,betweenness,0,10,40,58,5,10,0.9191311228270735,0.9395565492478266,0.9248031105795418,0.9791666666666664
10,betweenness,0,11,44,54,5,10,0.9448080329822323,0.9542336193614965,0.9477749926177543,0.9861111111111112
10,betweenness,0,12,48,50,5,10,0.9471548300322141,0.9594604432581619,0.9525680911548052,0.9861111111111112
10,betweenness,0,13,52,46,5,10,0.9527773259220236,0.9625231664957681,0.9477266192555915,0.9861111111111112
10,betweenness,0,14,56,42,5,10,0.9505423831130951,0.9670017936471386,0.9533461640566812,1.0
10,betweenness,0,15,60,38,5,10,0.9497993781086372,0.9691592574189147,0.9528187076392187,0.9930555555555556
10,betweenness,0,16,64,34,5,10,0.9582325208075323,0.9731914787294346,0.9517525046981768,0.9930555555555556
10,betweenness,0,17,68,30,5,10,0.9681870984863564,0.9793039918279226,0.9505165458788849,0.9930555555555556
10,betweenness,0,18,72,26,5,10,0.9808082132653205,0.983457099921786,0.946815280876094,0.9930555555555556
10,betweenness,0,19,76,22,5,10,0.9881528093064288,0.9888026926624828,0.9631741499701802,0.9930555555555556
10,betweenness,0,20,80,18,5,10,0.9985447109013408,0.994768867761096,0.9982766936792336,0.9930555555555556
10,betweenness,0,21,84,14,5,10,1.0,0.9969736984697032,1.0,1.0
10,betweenness,0,22,88,10,5,10,1.0,0.9992950592484724,1.0,1.0
10,betweenness,0,23,92,6,5,10,1.0,0.9998477209671017,0.9999372809402582,1.0
10,betweenness,0,24,96,2,5,10,1.0,0.9999867151120556,0.999978262860265,1.0
10,betweenness,0,25,98,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,98,5,10,0.6241234022191762,0.5843455449901537,0.7561597116128866,0.986111111111111
10,betweenness,1,1,4,94,5,10,1.0,0.7354997243304466,0.9023838624666427,0.9930555555555555
10,betweenness,1,2,8,90,5,10,0.8535943534677889,0.8172973215256664,0.9345887065868586,0.9930555555555555
10,betweenness,1,3,12,86,5,10,0.8669339297525085,0.854158678665137,0.9523620079534215,0.9930555555555555
10,betweenness,1,4,16,82,5,10,0.8955922531935645,0.8793116921146672,0.9346203312202596,0.9930555555555555
10,betweenness,1,5,20,78,5,10,0.9390679610967504,0.9072045976386609,0.9314688177538492,0.9791666666666667
10,betweenness,1,6,24,74,5,10,0.9320276345307874,0.9172016201959856,0.9245740287186787,0.9791666666666667
10,betweenness,1,7,28,70,5,10,0.9249378317437938,0.9243296349045821,0.9163514904587088,0.9791666666666667
10,betweenness,1,8,32,66,5,10,0.919700556668213,0.9317731041388105,0.9077508509326009,0.9791666666666667
10,betweenness,1,9,36,62,5,10,0.909927628361607,0.9399406002825469,0.9092909307459002,0.9791666666666667
10,betweenness,1,10,40,58,5,10,0.9413878935702822,0.9522600991969224,0.9296494968972245,0.9791666666666667
10,betweenness,1,11,44,54,5,10,0.9437281667921154,0.9572087275642763,0.942285526696762,0.9791666666666667
10,betweenness,1,12,48,50,5,10,0.9468189893415291,0.9632921404043926,0.947087011797086,0.9791666666666667
10,betweenness,1,13,52,46,5,10,0.9465385297208811,0.9646555352525479,0.9459824334692062,0.9791666666666667
10,betweenness,1,14,56,42,5,10,0.9456062237996108,0.9671609847947782,0.9472698209058401,1.0
10,betweenness,1,15,60,38,5,10,0.9546544110291169,0.9737428448762219,0.9431577299735632,1.0
10,betweenness,1,16,64,34,5,10,0.9677283973545305,0.9779755997673539,0.9401234184176649,1.0
10,betweenness,1,17,68,30,5,10,0.9803002684454081,0.9813048256540412,0.9391818174164268,1.0
10,betweenness,1,18,72,26,5,10,0.9899446101956936,0.9884702430140873,0.9551661361571874,1.0
10,betweenness,1,19,76,22,5,10,0.9985954343974222,0.9968032968584926,0.9900816217265846,1.0
10,betweenness,1,20,80,18,5,10,1.0,0.9990272143108085,1.0,1.0
10,betweenness,1,21,84,14,5,10,1.0,0.9996585024681397,1.0,1.0
10,betweenness,1,22,88,10,5,10,1.0,0.9999330757221336,0.9999666597110026,1.0
10,betweenness,1,23,92,6,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,24,96,2,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,25,98,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,2,0,0,98,5,10,0.9094265222711603,0.721026223692295,0.7752268960479695,0.9513888888888886
10,betweenness,2,1,4,94,5,10,0.7987251835806165,0.7660729230382104,0.7662370201900102,0.9513888888888886
10,betweenness,2,2,8,90,5,10,0.7917323226687819,0.7840336645017344,0.8276346133860978,0.9930555555555552
10,betweenness,2,3,12,86,5,10,0.827783004284213,0.8155430938138465,0.8283970565515126,0.9930555555555552
10,betweenness,2,4,16,82,5,10,0.8878540727871994,0.8354890883288666,0.8284001079442284,0.9930555555555552
10,betweenness,2,5,20,78,5,10,0.8758301792372633,0.8697737198223752,0.842397845737306,0.9652777777777776
10,betweenness,2,6,24,74,5,10,0.8871687698188804,0.8810959461917087,0.8793782561324507,1.0
10,betweenness,2,7,28,70,5,10,0.8891127019956366,0.8975698573866042,0.8856271768522147,1.0
10,betweenness,2,8,32,66,5,10,0.8975683513833351,0.9036749123012441,0.8900439240777239,1.0
10,betweenness,2,9,36,62,5,10,0.9075582711476883,0.9184780450170008,0.8958015704176078,0.9930555555555555
10,betweenness,2,10,40,58,5,10,0.9253582418458169,0.9297620294228613,0.8957092506740216,0.9930555555555555
10,betweenness,2,11,44,54,5,10,0.9339622004285507,0.936593491786257,0.8958670082317828,0.9930555555555555
10,betweenness,2,12,48,50,5,10,0.9416646321924735,0.9482235045909921,0.8928269252455903,1.0
10,betweenness,2,13,52,46,5,10,0.9572172329110796,0.9553651315343019,0.8969162586030144,1.0
10,betweenness,2,14,56,42,5,10,0.9652303851978936,0.9643891271480634,0.9179321072979094,1.0
10,betweenness,2,15,60,38,5,10,0.9668738738722723,0.9691869955375266,0.9352836487722578,0.9861111111111112
10,betweenness,2,16,64,34,5,10,0.9654689658776926,0.9709241369536245,0.933740075923031,0.9861111111111112
10,betweenness,2,17,68,30,5,10,0.9706228277596575,0.9750816532208572,0.931081839029746,0.9861111111111112
10,betweenness,2,18,72,26,5,10,0.98063113529139,0.9810096948040696,0.9297278300426168,0.9861111111111112
10,betweenness,2,19,76,22,5,10,0.9877398180142537,0.9854799208544771,0.9529728921923202,0.9861111111111112
10,betweenness,2,20,80,18,5,10,0.9973720431988308,0.9926467726645426,0.9796912815030755,0.9861111111111112
10,betweenness,2,21,84,14,5,10,1.0,0.9970186900557011,1.0,0.9861111111111112
10,betweenness,2,22,88,10,5,10,1.0,0.9990276993932472,1.0,1.0
10,betweenness,2,23,92,6,5,10,1.0,0.999847137768293,1.0,1.0
10,betweenness,2,24,96,2,5,10,1.0,1.0,1.0,1.0
10,betweenness,2,25,98,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,3,0,0,98,5,10,0.6684044128508454,0.5742133764794319,0.8822943604656007,0.854166666666666
10,betweenness,3,1,4,94,5,10,0.8409940955446782,0.7234965885926262,0.8867207232250242,0.8749999999999993
10,betweenness,3,2,8,90,5,10,0.780031196055974,0.7495696013150092,0.9074993554723682,0.8923611111111105
10,betweenness,3,3,12,86,5,10,0.7642763104019589,0.7618464762947988,0.9023711770530553,0.9027777777777773
10,betweenness,3,4,16,82,5,10,0.7752337016753508,0.8261747337592859,0.9014097395016673,0.9027777777777773
10,betweenness,3,5,20,78,5,10,0.8731313690158718,0.8602799494950434,0.911605662566865,0.9027777777777773
10,betweenness,3,6,24,74,5,10,0.847241215504277,0.8697665016192665,0.9062363836467597,0.9027777777777773
10,betweenness,3,7,28,70,5,10,0.8363047224008322,0.8807799766680359,0.9120813816790894,0.9027777777777773
10,betweenness,3,8,32,66,5,10,0.8298263279418024,0.8874768154473965,0.9027950910765241,0.9027777777777773
10,betweenness,3,9,36,62,5,10,0.8772859278401063,0.9112750424799664,0.9405895096796845,0.9027777777777773
10,betweenness,3,10,40,58,5,10,0.9128660737457868,0.9303208537109108,0.935335488871982,0.9722222222222221
10,betweenness,3,11,44,54,5,10,0.9319753112680721,0.9501836082066984,0.9438468550891197,0.9652777777777777
10,betweenness,3,12,48,50,5,10,0.9273553647813568,0.9528661339990246,0.9406672935150807,1.0
10,betweenness,3,13,52,46,5,10,0.9493150653770474,0.9613403491521699,0.9543027670555383,1.0
10,betweenness,3,14,56,42,5,10,0.955044997429382,0.9691827465286094,0.958409846061455,1.0
10,betweenness,3,15,60,38,5,10,0.9603702165535511,0.9732197123975664,0.9601651061866957,1.0
10,betweenness,3,16,64,34,5,10,0.9590644984663304,0.9743839194193776,0.9589366736747568,1.0
10,betweenness,3,17,68,30,5,10,0.9606721090214955,0.9784496541384797,0.9558026129168862,1.0
10,betweenness,3,18,72,26,5,10,0.9661632088612756,0.9819067675484243,0.9555822905029717,1.0
10,betweenness,3,19,76,22,5,10,0.977963964450971,0.9869595560960487,0.9531831974508465,1.0
10,betweenness,3,20,80,18,5,10,0.9885027575298867,0.9930328894926292,0.9776531695777609,1.0
