damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,223,5,10,1.0949418067653693,0.8302589216888637,0.8373341223242982,1.0342465753424657
10,betweenness,0,1,11,212,5,10,1.0,0.8690990660401976,0.8420290170667477,1.0
10,betweenness,0,2,22,201,5,10,0.9912940878439079,0.8855632669940557,0.8400373853392837,1.0
10,betweenness,0,3,33,190,5,10,0.9668135882269087,0.8997446816506227,0.8450306600449934,1.0
10,betweenness,0,4,44,179,5,10,0.9561370775980169,0.9084359988029171,0.8295477073239171,1.0
10,betweenness,0,5,55,168,5,10,0.9657190129026391,0.92729606831173,0.8594167097253731,1.0
10,betweenness,0,6,66,157,5,10,0.9524283268972599,0.9369945526055677,0.860901260199334,1.0
10,betweenness,0,7,77,146,5,10,0.9490939463566206,0.9450574938223264,0.8919452640046079,1.0
10,betweenness,0,8,88,135,5,10,0.9497397932023491,0.9526232686832603,0.8881769528852681,1.0
10,betweenness,0,9,99,124,5,10,0.9670363094766958,0.9604434512484649,0.885979299256976,1.0
10,betweenness,0,10,110,113,5,10,0.9791021688985927,0.9709621693279794,0.8856153963634027,1.0
10,betweenness,0,11,121,102,5,10,0.9777571733235346,0.9737451772212549,0.890887067624312,1.0
10,betweenness,0,12,132,91,5,10,0.9814404154089612,0.9777935952179201,0.9056324535237202,1.0
10,betweenness,0,13,143,80,5,10,0.9806655473044099,0.9797427227217785,0.9047498083127932,1.0
10,betweenness,0,14,154,69,5,10,0.9794889843566295,0.9825082582420456,0.9081143983295459,1.0
10,betweenness,0,15,165,58,5,10,0.99015135462379,0.9891457510875976,0.975499137363134,1.0
10,betweenness,0,16,176,47,5,10,1.0,0.9962674803979876,0.9978499321490901,1.0
10,betweenness,0,17,187,36,5,10,1.0,0.9971924076808084,0.9971950434427412,1.0
10,betweenness,0,18,198,25,5,10,1.0,0.9981672754269059,0.9997703745947121,1.0
10,betweenness,0,19,209,14,5,10,1.0,0.9992445247600684,1.0,1.0
10,betweenness,0,20,220,3,5,10,1.0,0.9997141216370151,1.0,1.0
10,betweenness,0,21,223,0,5,10,1.0,0.9997141216370151,1.0,1.0
10,betweenness,1,0,0,223,5,10,1.1685889735158805,0.8388220146300784,0.8719819429701171,0.952054794520548
10,betweenness,1,1,11,212,5,10,1.0,0.8733204395460216,0.8162484199621968,0.952054794520548
10,betweenness,1,2,22,201,5,10,1.0,0.8916033824073225,0.8095158592424869,0.9863013698630138
10,betweenness,1,3,33,190,5,10,1.0,0.9059716058184832,0.7959878145019896,0.9863013698630138
10,betweenness,1,4,44,179,5,10,0.9985485029754722,0.9140025449896412,0.7991790275549184,0.9863013698630138
10,betweenness,1,5,55,168,5,10,0.9928623827184451,0.9246680784273765,0.8297908345219122,0.9863013698630138
10,betweenness,1,6,66,157,5,10,0.9839883561718461,0.9336445489518771,0.8304959919115789,0.958904109589041
10,betweenness,1,7,77,146,5,10,0.9822509350518049,0.9446744333654176,0.8727091960742738,0.958904109589041
10,betweenness,1,8,88,135,5,10,0.9766207102031085,0.9516819249623439,0.8763375422297072,0.958904109589041
10,betweenness,1,9,99,124,5,10,0.9711682728262216,0.958165089424671,0.8750942541777293,0.958904109589041
10,betweenness,1,10,110,113,5,10,0.9691907577550415,0.9623898287406633,0.8800158920829082,1.0
10,betweenness,1,11,121,102,5,10,0.9668804553511966,0.965805624536883,0.8825407494152575,1.0
10,betweenness,1,12,132,91,5,10,0.9693647666808379,0.9723478241619709,0.8860071282124858,1.0
10,betweenness,1,13,143,80,5,10,0.9833159034792007,0.979975467483183,0.8881351365179286,1.0
10,betweenness,1,14,154,69,5,10,0.9825932292593561,0.9817070921020442,0.8891455092563977,1.0
10,betweenness,1,15,165,58,5,10,0.9820787116495368,0.983281921184895,0.890074178288234,1.0
10,betweenness,1,16,176,47,5,10,0.9861136712398623,0.9875388941117643,0.9100572645335251,1.0
10,betweenness,1,17,187,36,5,10,1.0,0.9975318771674375,1.0,1.0
10,betweenness,1,18,198,25,5,10,1.0,0.998603855817548,1.0,1.0
10,betweenness,1,19,209,14,5,10,1.0,0.9992413895639406,1.0,1.0
10,betweenness,1,20,220,3,5,10,1.0,0.9997155841903504,1.0,1.0
10,betweenness,1,21,223,0,5,10,1.0,0.9997155841903504,1.0,1.0
10,betweenness,2,0,0,223,5,10,1.0895181989528004,0.8377012998978622,0.8317003603448309,1.034246575342466
10,betweenness,2,1,11,212,5,10,1.0,0.8739999273481245,0.8285140844070283,1.0
10,betweenness,2,2,22,201,5,10,0.9807151565708532,0.8859628220216992,0.814904856836664,1.0
10,betweenness,2,3,33,190,5,10,0.9657771783842676,0.8976553985364917,0.7990138363129177,1.0
10,betweenness,2,4,44,179,5,10,0.9658843092203385,0.9092186810242068,0.8097256122476784,1.0
10,betweenness,2,5,55,168,5,10,0.9818007875755559,0.9280601772110897,0.8315096898316915,1.0
10,betweenness,2,6,66,157,5,10,0.9620926016089476,0.9417014485882627,0.8382985605805303,1.0
10,betweenness,2,7,77,146,5,10,0.9566186928159746,0.9499209592773861,0.8375616134946411,1.0
10,betweenness,2,8,88,135,5,10,0.9699792222425254,0.9561596087656118,0.83817944541067,1.0
10,betweenness,2,9,99,124,5,10,0.9725202370125885,0.9657209464474229,0.9086407843766694,1.0
10,betweenness,2,10,110,113,5,10,0.9708810136674397,0.9688962910973393,0.9100843266563773,1.0
10,betweenness,2,11,121,102,5,10,0.9693176183750181,0.9727947750361743,0.9175703915686383,1.0
10,betweenness,2,12,132,91,5,10,0.9756150566494186,0.97718872058011,0.9269414063408529,1.0
10,betweenness,2,13,143,80,5,10,0.9763678076720027,0.9800994740534643,0.9238036316556528,1.0
10,betweenness,2,14,154,69,5,10,0.9776898434028078,0.983034900995368,0.9255072327175642,1.0
10,betweenness,2,15,165,58,5,10,0.9850702613786659,0.9878072803694907,0.973358885236038,1.0
10,betweenness,2,16,176,47,5,10,0.9995963671479082,0.9967864875762258,1.0,1.0
10,betweenness,2,17,187,36,5,10,1.0,0.9981188421775206,1.0,1.0
10,betweenness,2,18,198,25,5,10,1.0,0.9990686687469121,1.0,1.0
10,betweenness,2,19,209,14,5,10,1.0,0.9996318729131295,1.0,1.0
10,betweenness,2,20,220,3,5,10,1.0,1.0,1.0,1.0
10,betweenness,2,21,223,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,3,0,0,223,5,10,1.0259837966165815,0.8403717531692932,0.8031200653250561,0.952054794520548
10,betweenness,3,1,11,212,5,10,0.9740659459983388,0.8715089856136596,0.7648633059764386,0.9863013698630139
10,betweenness,3,2,22,201,5,10,0.9416432375020518,0.8886874902701092,0.7596572739073516,0.9589041095890413
10,betweenness,3,3,33,190,5,10,0.9321248024980062,0.8963973809949782,0.7464456347313688,0.9315068493150686
10,betweenness,3,4,44,179,5,10,0.9211671733520201,0.9085276300771146,0.7669420578784438,0.9315068493150686
10,betweenness,3,5,55,168,5,10,0.9394452530893651,0.9211069907960727,0.7588513891299988,0.9315068493150686
