damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,68,5,10,0.9775061422112156,0.9380030642707653,1.0170865830275302,0.7207678883071552
10,betweenness,0,1,3,65,5,10,0.9357981629158298,0.9542878785135763,0.9998092211441103,0.7207678883071552
10,betweenness,0,2,6,62,5,10,0.8967282338758363,0.9544372220972172,0.9999297296777016,0.7207678883071552
10,betweenness,0,3,9,59,5,10,0.9356056312715794,0.957151987637228,0.9961378415397768,0.7207678883071552
10,betweenness,0,4,12,56,5,10,0.9271302381059713,0.9573464757142788,0.9958175383082034,0.7731239092495636
10,betweenness,0,5,15,53,5,10,0.9213068863302329,0.9576979539536449,0.9955637410582717,0.7731239092495636
10,betweenness,0,6,18,50,5,10,0.9153738439165355,0.9585283439672657,0.9969170439231548,0.7731239092495636
10,betweenness,0,7,21,47,5,10,0.9329640965236365,0.968138681461743,0.9877023721456702,0.7731239092495636
10,betweenness,0,8,24,44,5,10,0.9281471858618314,0.9732672808981098,0.9841731401221753,0.7731239092495636
10,betweenness,0,9,27,41,5,10,0.9202959641282478,0.9739072064477899,0.983350722557874,0.7731239092495636
10,betweenness,0,10,30,38,5,10,0.9164396826281667,0.9739415719119018,0.9833214151613718,0.7731239092495636
10,betweenness,0,11,33,35,5,10,0.939618452680408,0.9769341982503507,0.9773747576867188,0.7731239092495636
10,betweenness,0,12,36,32,5,10,0.939401280003923,0.976969496604741,0.9773174492087496,0.8254799301919721
10,betweenness,0,13,39,29,5,10,0.9373037793115663,0.9770782390948506,0.9772605726025628,0.8254799301919721
10,betweenness,0,14,42,26,5,10,0.9354847984611452,0.98157011944086,0.9830218218948589,0.8254799301919721
10,betweenness,0,15,45,23,5,10,0.9514979917663066,0.9864506314722649,0.9825846434309544,0.8254799301919721
10,betweenness,0,16,48,20,5,10,0.9645914675940168,0.9959163887893069,0.9957480478888364,0.8254799301919721
10,betweenness,0,17,51,17,5,10,0.9801839011583625,0.9996904825500117,0.9997350174175175,0.9127399650959861
10,betweenness,0,18,54,14,5,10,0.9912593218311834,0.9997791617330501,0.9997973531584676,0.9127399650959861
10,betweenness,0,19,57,11,5,10,1.0,0.9998494537582511,0.9996952552571728,0.9127399650959861
10,betweenness,0,20,60,8,5,10,1.0,0.9998536826645763,0.9996955293783306,0.9127399650959861
10,betweenness,0,21,63,5,5,10,1.0,0.9999794055522405,0.9999427458402468,1.0
10,betweenness,0,22,66,2,5,10,1.0,0.9999813014530807,0.9999407480004486,1.0
10,betweenness,0,23,68,0,5,10,1.0,0.9999813014530807,0.9999407480004486,1.0
10,betweenness,1,0,0,68,5,10,1.4733478025854496,0.9238007635809125,1.025309387672688,0.8778359511343803
10,betweenness,1,1,3,65,5,10,1.0,0.927674311043607,1.0,0.8778359511343803
10,betweenness,1,2,6,62,5,10,1.0,0.928067565722603,1.0,0.8778359511343803
10,betweenness,1,3,9,59,5,10,1.0,0.9607958024076185,1.0,0.8429319371727749
10,betweenness,1,4,12,56,5,10,1.0,0.9625165630422032,1.0,0.8429319371727749
10,betweenness,1,5,15,53,5,10,1.0,0.9625826861502399,1.0,0.8429319371727749
10,betweenness,1,6,18,50,5,10,0.9734687931794384,0.9641442428350938,1.0,0.8429319371727749
10,betweenness,1,7,21,47,5,10,0.9738940922429447,0.9736660597615658,1.0,0.8952879581151834
10,betweenness,1,8,24,44,5,10,0.9874649882296159,0.9820045498430858,0.9886212821981436,0.8952879581151834
10,betweenness,1,9,27,41,5,10,0.9823770636234551,0.9822632149452244,0.9888956471700426,0.8952879581151834
10,betweenness,1,10,30,38,5,10,0.9778941656498971,0.9856073474679142,0.9930598176498195,0.8952879581151834
10,betweenness,1,11,33,35,5,10,0.9688769037828687,0.9873604609453774,0.9951253945841478,0.8952879581151834
10,betweenness,1,12,36,32,5,10,0.9667430308840987,0.9878983873861368,0.9961246105517404,0.8952879581151834
10,betweenness,1,13,39,29,5,10,0.9716703663277251,0.9905068628410784,0.999330616844918,0.8952879581151834
10,betweenness,1,14,42,26,5,10,0.9695079427374473,0.9913556442821083,0.9992967282002683,0.8952879581151834
10,betweenness,1,15,45,23,5,10,0.9686489587485693,0.9917167537251667,0.9992341112594938,0.8952879581151834
10,betweenness,1,16,48,20,5,10,0.9827076817282162,0.9980335827420321,0.9999328497472638,0.8952879581151834
10,betweenness,1,17,51,17,5,10,0.9987331370765469,0.999655318083785,0.9996317017711914,0.8952879581151834
10,betweenness,1,18,54,14,5,10,1.0,0.9998495483143777,0.9998889102107545,0.8952879581151834
10,betweenness,1,19,57,11,5,10,1.0,0.9999390066600148,0.9998646911385389,0.9476439790575919
10,betweenness,1,20,60,8,5,10,1.0,0.9999939018160025,1.0,0.9476439790575919
10,betweenness,1,21,63,5,5,10,1.0,0.9999986676979798,1.0,1.0
10,betweenness,1,22,66,2,5,10,1.0,0.9999986676979798,1.0,1.0
10,betweenness,1,23,68,0,5,10,1.0,0.9999986676979798,1.0,1.0
10,betweenness,2,0,0,68,5,10,0.8437119032307902,0.8536446244419055,1.0078845675529648,0.9999999999999998
10,betweenness,2,1,3,65,5,10,0.8249818552782845,0.8739795238776107,1.0,0.9999999999999998
10,betweenness,2,2,6,62,5,10,0.7856091310793737,0.885615459185991,1.0,0.9999999999999998
10,betweenness,2,3,9,59,5,10,0.8208966434547803,0.9565038035608442,1.0,1.0
10,betweenness,2,4,12,56,5,10,0.8145285715769063,0.9589725803548257,1.0,1.0
10,betweenness,2,5,15,53,5,10,0.9176080589215374,0.959120735445657,1.0,1.0
10,betweenness,2,6,18,50,5,10,0.9130952270769338,0.9600980158073626,1.0,1.0
10,betweenness,2,7,21,47,5,10,0.9623634000987733,0.9725192341285511,0.9939000634464569,1.0
10,betweenness,2,8,24,44,5,10,0.9543848831760832,0.9755041271315498,1.0,1.0
10,betweenness,2,9,27,41,5,10,0.9676225426469348,0.9862392593868431,0.9960381214664628,1.0
10,betweenness,2,10,30,38,5,10,0.9650669271581137,0.9884240822718915,0.999380077354758,1.0
10,betweenness,2,11,33,35,5,10,0.9580516547713934,0.9887502687380959,0.9989460767820931,0.9825479930191974
10,betweenness,2,12,36,32,5,10,0.9722850579973727,0.9889991529835219,0.9989055836980598,0.9825479930191974
10,betweenness,2,13,39,29,5,10,0.9949661699572617,0.9944862372394347,0.9960884903130941,0.9825479930191974
10,betweenness,2,14,42,26,5,10,0.988554255090057,0.9957774283198931,0.9956494703221634,0.9825479930191974
10,betweenness,2,15,45,23,5,10,0.9867208517536306,0.9958036167863916,0.9956520330374107,0.9825479930191974
10,betweenness,2,16,48,20,5,10,0.9854613718219842,0.9966862056712342,0.9952391084255506,0.9476439790575919
10,betweenness,2,17,51,17,5,10,0.9847524924339807,0.9967064114385691,0.9952416773950613,0.9476439790575919
10,betweenness,2,18,54,14,5,10,0.9973797681299008,0.9997424531696446,1.0,0.9476439790575919
10,betweenness,2,19,57,11,5,10,1.0,0.9999889544506482,1.0,0.9476439790575919
10,betweenness,2,20,60,8,5,10,1.0,0.999994254230541,1.0,1.0
10,betweenness,2,21,63,5,5,10,1.0,0.9999989242875614,1.0,1.0
10,betweenness,2,22,66,2,5,10,1.0,0.9999989242875614,1.0,1.0
10,betweenness,2,23,68,0,5,10,1.0,0.9999989242875614,1.0,1.0
10,betweenness,3,0,0,68,5,10,0.5316039392609371,0.8301015732068283,0.9982282011214177,0.9127399650959861
10,betweenness,3,1,3,65,5,10,0.6199350132203851,0.9169806667345086,0.9722367618217356,0.9127399650959861
10,betweenness,3,2,6,62,5,10,0.7399614328924317,0.9481373413541672,0.9435972915296313,0.9127399650959861
10,betweenness,3,3,9,59,5,10,0.8017590477282563,0.9483595559375719,0.9433995395612723,0.9127399650959861
10,betweenness,3,4,12,56,5,10,0.7934865798285625,0.9484718717857122,0.9432665368609111,0.9127399650959861
10,betweenness,3,5,15,53,5,10,0.8710783950472292,0.9486263418343271,0.943228623765091,0.9127399650959861
10,betweenness,3,6,18,50,5,10,0.8917583460719809,0.9494346619261019,0.942346886382681,1.0
10,betweenness,3,7,21,47,5,10,0.9162238422418508,0.9497175749216629,0.9425892227148386,1.0
10,betweenness,3,8,24,44,5,10,0.9206976444816906,0.958880204112283,0.951731210835941,1.0
10,betweenness,3,9,27,41,5,10,0.9266771978974118,0.9668028746923432,0.96564161026008,1.0
10,betweenness,3,10,30,38,5,10,0.9333911005479668,0.973350840217507,0.9722656285071205,1.0
10,betweenness,3,11,33,35,5,10,0.9637751830006375,0.9745826722621442,0.9707070926070905,1.0
10,betweenness,3,12,36,32,5,10,0.9702227877364926,0.9845344705434061,0.9872864150771513,1.0
10,betweenness,3,13,39,29,5,10,0.9670206821413508,0.9876456637262041,0.9902648717638379,1.0
10,betweenness,3,14,42,26,5,10,0.9718487600728521,0.9877465810362007,0.9902860744140576,1.0
10,betweenness,3,15,45,23,5,10,0.9707279097693977,0.9887456826997795,0.9913035976673646,1.0
10,betweenness,3,16,48,20,5,10,0.9692268509244812,0.9895572520758341,0.991055519468434,1.0
10,betweenness,3,17,51,17,5,10,0.9685923078604145,0.9895823963205823,0.9910405573039774,1.0
10,betweenness,3,18,54,14,5,10,0.9860416153386119,0.9955286501339293,0.9942018676057472,1.0
10,betweenness,3,19,57,11,5,10,1.0,0.9955947749684552,0.9942095075408157,1.0
10,betweenness,3,20,60,8,5,10,1.0,0.9956035296513212,0.9942101510197116,1.0
10,betweenness,3,21,63,5,5,10,1.0,0.9999983077944127,1.0,1.0
10,betweenness,3,22,66,2,5,10,1.0,0.9999997434104182,0.9999997852368183,1.0
10,betweenness,3,23,68,0,5,10,1.0,0.9999997434104182,0.9999997852368183,1.0
10,betweenness,4,0,0,68,5,10,0.9885421366575947,0.8791722881256551,0.9777132887510023,1.0349040139616057
10,betweenness,4,1,3,65,5,10,0.9806377360114198,0.8900835769034138,0.9938849903776044,1.0
10,betweenness,4,2,6,62,5,10,0.9453651122340575,0.9102214592978924,0.9742418088494259,1.0
10,betweenness,4,3,9,59,5,10,0.8844846599523932,0.9120574030289662,0.9723462985909475,1.0
10,betweenness,4,4,12,56,5,10,0.8794523193483741,0.9128829645609121,0.9712631533925205,1.0
10,betweenness,4,5,15,53,5,10,0.874859256934334,0.9445540377636298,0.9912384048912887,1.0
10,betweenness,4,6,18,50,5,10,0.91725237436223,0.949647202170532,0.9871921501354164,1.0
10,betweenness,4,7,21,47,5,10,0.9134170056826915,0.9497594881837442,0.9871898083628768,1.0
10,betweenness,4,8,24,44,5,10,0.9406382942734297,0.9597394025540358,0.9833511024097904,1.0
10,betweenness,4,9,27,41,5,10,0.937584494219026,0.959869039200312,0.9832400071443491,1.0
10,betweenness,4,10,30,38,5,10,0.9352080880922796,0.9610841482248412,0.9838516377461497,1.0
10,betweenness,4,11,33,35,5,10,0.944355112458208,0.9731081200962348,0.9719590818053381,1.0
10,betweenness,4,12,36,32,5,10,0.9538901064125941,0.9768943990867617,0.9715736244583943,1.0
10,betweenness,4,13,39,29,5,10,0.9504790335489867,0.9769181302088739,0.9715559693625633,1.0
10,betweenness,4,14,42,26,5,10,0.9476095585687073,0.9772071846557098,0.9714651938992563,1.0
10,betweenness,4,15,45,23,5,10,0.9501912536711401,0.9804453523493721,0.9726795754993229,1.0
10,betweenness,4,16,48,20,5,10,0.9629675348120713,0.9881345669435466,0.9810316205584372,1.0
10,betweenness,4,17,51,17,5,10,0.9743252583487535,0.9973257186898121,0.9955481490994252,1.0
10,betweenness,4,18,54,14,5,10,0.9862841197855305,0.9974526526698525,0.9956443587171813,1.0
10,betweenness,4,19,57,11,5,10,1.0,0.9975001222680334,0.9956570923644414,1.0
10,betweenness,4,20,60,8,5,10,1.0,0.9995714423765059,0.9994343812997443,1.0
10,betweenness,4,21,63,5,5,10,1.0,0.9999177844653184,1.0,1.0
10,betweenness,4,22,66,2,5,10,1.0,0.9999183087641411,1.0,1.0
10,betweenness,4,23,68,0,5,10,1.0,0.9999183087641411,1.0,1.0
10,betweenness,5,0,0,68,5,10,1.0670027746408077,0.8782517676186161,0.9660123304221127,0.9999999999999998
10,betweenness,5,1,3,65,5,10,1.0,0.8784280249786763,0.9661697977096945,0.9999999999999998
10,betweenness,5,2,6,62,5,10,1.0,0.8965683049073306,0.9689470333946903,0.9650959860383944
10,betweenness,5,3,9,59,5,10,0.9498608589989668,0.9641027591975858,0.9726326672370309,0.9650959860383944
10,betweenness,5,4,12,56,5,10,0.9338661229097925,0.9703806499830347,0.970434494644657,0.930191972076789
10,betweenness,5,5,15,53,5,10,0.9230829480935066,0.9707933354776892,0.9704731110320832,0.930191972076789
10,betweenness,5,6,18,50,5,10,0.9203861928526373,0.9729078303864128,0.9737568328129392,0.930191972076789
10,betweenness,5,7,21,47,5,10,0.9278679309294253,0.9730213139151779,0.9738108288990337,0.930191972076789
10,betweenness,5,8,24,44,5,10,0.9267833386687702,0.9730874675004324,0.9737387115757162,0.930191972076789
10,betweenness,5,9,27,41,5,10,0.9256262062857001,0.9813113277866203,0.9881675936869726,0.930191972076789
10,betweenness,5,10,30,38,5,10,0.9434172344388505,0.9813470479150584,0.9882327237792801,0.930191972076789
10,betweenness,5,11,33,35,5,10,0.9421320448211266,0.9817342631661027,0.9884460856528974,0.930191972076789
10,betweenness,5,12,36,32,5,10,0.9415200142616713,0.9817436038992988,0.9884394622048603,0.930191972076789
