damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,80,5,10,0.08630079980233639,0.3536911806680031,0.6929662123952111,0.9216438356164379
10,betweenness,0,1,4,76,5,10,0.2649970631491103,0.3538500737060778,0.6930140434251367,0.894246575342465
10,betweenness,0,2,8,72,5,10,0.2879214890538069,0.3864238343891731,0.7281869180450445,0.8832876712328759
10,betweenness,0,3,12,68,5,10,0.41829814023453676,0.7576517526953994,0.9680622535214196,0.916164383561643
10,betweenness,0,4,16,64,5,10,0.6489081973402292,0.8329255471787135,0.9445497319526475,0.9134246575342458
10,betweenness,0,5,20,60,5,10,0.8400565268076118,0.8790233977366428,0.9340315130221142,0.9134246575342458
10,betweenness,0,6,24,56,5,10,0.8585900318465762,0.8797391893922535,0.9334136004277909,0.9353424657534243
10,betweenness,0,7,28,52,5,10,0.8726005544222627,0.9289667910891194,0.9823927851033989,0.940821917808219
10,betweenness,0,8,32,48,5,10,0.8682559987921206,0.9366958444929153,0.9815759848471509,0.940821917808219
10,betweenness,0,9,36,44,5,10,0.9002599095100344,0.9721000393193888,0.9926629824515453,0.9397260273972601
10,betweenness,0,10,40,40,5,10,0.9365603832297795,0.9788491002976724,0.9916417091305321,0.9561643835616437
10,betweenness,0,11,44,36,5,10,0.9247362996652132,0.9795138462079293,0.9912509465920253,0.9561643835616437
10,betweenness,0,12,48,32,5,10,0.9415393126205255,0.9795666201789562,0.9912366341142641,0.9561643835616437
10,betweenness,0,13,52,28,5,10,0.9522778120758234,0.9824104943012995,0.9918223643102622,0.9835616438356164
10,betweenness,0,14,56,24,5,10,0.9618790287089132,0.9850598450759069,0.992459685721624,0.9726027397260273
10,betweenness,0,15,60,20,5,10,0.9730996591545795,0.985068909556062,0.9924628443817047,0.9726027397260273
10,betweenness,0,16,64,16,5,10,0.9812520076891863,0.9850752661593438,0.9924640610736526,0.9726027397260273
10,betweenness,0,17,68,12,5,10,0.9891503616865612,0.9905519295470566,0.9950629626596752,0.989041095890411
10,betweenness,0,18,72,8,5,10,1.0,0.9998867852164947,0.9999972396575872,0.989041095890411
10,betweenness,0,19,76,4,5,10,1.0,0.9998898833851375,0.9999970172009863,1.0
10,betweenness,0,20,80,0,5,10,1.0,0.9998898833851375,0.9999970172009863,1.0
10,betweenness,1,0,0,80,5,10,0.5389052834155578,0.2750365509258368,0.09652451646767185,0.9517808219178081
10,betweenness,1,1,4,76,5,10,0.45872698358866526,0.31428462567037485,0.09543370479921462,0.9079452054794518
10,betweenness,1,2,8,72,5,10,0.5974038844063233,0.46145043603393104,0.17995857987212527,0.9243835616438354
10,betweenness,1,3,12,68,5,10,0.6779385395562835,0.46328182736111,0.18201326182421976,0.9358904109589041
10,betweenness,1,4,16,64,5,10,0.7109638155550871,0.4653042879975258,0.18201333030495576,0.924931506849315
10,betweenness,1,5,20,60,5,10,0.8683052239107197,0.47052912408914144,0.18057712097583856,0.924931506849315
10,betweenness,1,6,24,56,5,10,0.8743950794208319,0.47162763222046583,0.17942426032862907,0.9194520547945204
10,betweenness,1,7,28,52,5,10,0.8377966910634834,0.47193282769432077,0.17937384520998736,0.9194520547945204
10,betweenness,1,8,32,48,5,10,0.8663141828543864,0.47219472361759407,0.1792473324250819,0.9315068493150684
10,betweenness,1,9,36,44,5,10,0.8976613736959465,0.47415857946992185,0.17943171041022257,0.9315068493150684
10,betweenness,1,10,40,40,5,10,0.9108992610869925,0.4868623376554006,0.18273065981442918,0.947945205479452
10,betweenness,1,11,44,36,5,10,0.9283799033413574,0.4875687038511099,0.18259104208769802,0.947945205479452
10,betweenness,1,12,48,32,5,10,0.9446135281728643,0.48841576252814417,0.1815459680778814,0.947945205479452
10,betweenness,1,13,52,28,5,10,0.9606711543360442,0.49130492457748925,0.18134463756274136,0.9616438356164383
10,betweenness,1,14,56,24,5,10,0.971141009719156,0.9720971514208872,0.9504368234239158,0.989041095890411
10,betweenness,1,15,60,20,5,10,0.9776978703497587,0.9785444387822075,0.9576428171126479,0.989041095890411
10,betweenness,1,16,64,16,5,10,0.9908295987414344,0.9945489506449132,0.9986156936718747,0.989041095890411
10,betweenness,1,17,68,12,5,10,1.0,0.9997246936021853,0.999950833291872,0.989041095890411
10,betweenness,1,18,72,8,5,10,1.0,0.9997292723321741,0.9999537330129786,1.0
10,betweenness,1,19,76,4,5,10,1.0,0.9997293171037908,0.9999537764501943,1.0
10,betweenness,1,20,80,0,5,10,1.0,0.9997293171037908,0.9999537764501943,1.0
10,betweenness,2,0,0,80,5,10,0.247232946799999,0.20097021359187536,0.6104966024134605,0.768219178082191
10,betweenness,2,1,4,76,5,10,0.5250789353347476,0.20115120277589477,0.6105032351742417,0.7463013698630127
10,betweenness,2,2,8,72,5,10,0.6248370196515257,0.20125404069808142,0.6105076409323108,0.77917808219178
10,betweenness,2,3,12,68,5,10,0.7967396276759238,0.20132567871484658,0.6105055558898914,0.8038356164383555
10,betweenness,2,4,16,64,5,10,0.8315323158518726,0.20135988792058665,0.6104976745573275,0.8208219178082186
10,betweenness,2,5,20,60,5,10,0.7725137643021984,0.20138547904496057,0.6104928152724598,0.8208219178082186
10,betweenness,2,6,24,56,5,10,0.8345702592782902,0.2014440803132648,0.6104970952994957,0.8372602739726022
10,betweenness,2,7,28,52,5,10,0.8836354176589212,0.20147490169097562,0.6104932972017406,0.8547945205479447
10,betweenness,2,8,32,48,5,10,0.8788868630019354,0.20151563694667626,0.6104960969139751,0.8712328767123283
10,betweenness,2,9,36,44,5,10,0.908524080201194,0.20154483504889664,0.6104980994185499,0.8986301369863009
10,betweenness,2,10,40,40,5,10,0.9295898521840729,0.20155833535694487,0.6104963498389528,0.8876712328767119
10,betweenness,2,11,44,36,5,10,0.9432376534501441,0.9809554124114188,0.9822692810158173,0.9178082191780818
10,betweenness,2,12,48,32,5,10,0.9532667328997194,0.9823743100170429,0.9820387272115473,0.9178082191780818
10,betweenness,2,13,52,28,5,10,0.9594889885597389,0.9823819937954151,0.9820439363082019,0.928767123287671
10,betweenness,2,14,56,24,5,10,0.9701210508604687,0.982391006964157,0.982044368562757,0.9561643835616438
10,betweenness,2,15,60,20,5,10,0.981790760646682,0.987628360867827,0.9919551734764235,0.9561643835616438
10,betweenness,2,16,64,16,5,10,0.9932905293262819,0.992556902802403,0.9937551323977654,0.9835616438356164
10,betweenness,2,17,68,12,5,10,1.0,0.9997146387724476,0.9999539946549938,0.9835616438356164
10,betweenness,2,18,72,8,5,10,1.0,0.9997274789516194,0.9999539461133413,1.0
10,betweenness,2,19,76,4,5,10,1.0,0.999729157381746,0.9999538327101734,1.0
10,betweenness,2,20,80,0,5,10,1.0,0.9997295657429972,0.9999538407951468,1.0
