damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,49,5,10,1.0467468035374479,0.8347214295475037,0.886467681128654,1.0208333333333333
10,betweenness,0,1,2,47,5,10,1.0,0.8523203272578151,0.8839269469624512,1.0
10,betweenness,0,2,4,45,5,10,0.9838675985032442,0.8703150625027266,0.877065011981487,1.0
10,betweenness,0,3,6,43,5,10,0.9644018231627614,0.8955661691781113,0.9083189239520973,1.0
10,betweenness,0,4,8,41,5,10,0.957442504663348,0.9002389069229009,0.894007275146631,1.0
10,betweenness,0,5,10,39,5,10,0.9534627516788718,0.9028350677598956,0.8896851611457489,1.0
10,betweenness,0,6,12,37,5,10,0.950209514100958,0.9045980035947694,0.8873267478183137,1.0
10,betweenness,0,7,14,35,5,10,0.9401267082427364,0.9148080396496453,0.8786053216596867,1.0
10,betweenness,0,8,16,33,5,10,0.9346605299217131,0.9244179464309221,0.9064417767587934,1.0
10,betweenness,0,9,18,31,5,10,0.9332664434401378,0.9273599510062803,0.8933282400412825,1.0
10,betweenness,0,10,20,29,5,10,0.9275604431159655,0.9318718080795594,0.891423764432044,1.0
10,betweenness,0,11,22,27,5,10,0.9643127662218172,0.9462678483861497,0.9072424147824271,1.0
10,betweenness,0,12,24,25,5,10,0.9613332928952285,0.9524616287737737,0.9104902761358461,1.0
10,betweenness,0,13,26,23,5,10,0.9588996582080501,0.9553647825981992,0.9087620414074496,1.0
10,betweenness,0,14,28,21,5,10,0.9570511027440209,0.9587136704683296,0.9095930648264426,1.0
10,betweenness,0,15,30,19,5,10,0.9534062755186232,0.9627423010869607,0.9074812245271763,1.0
10,betweenness,0,16,32,17,5,10,0.9526524807096242,0.9659970858757106,0.920760785103154,1.0
10,betweenness,0,17,34,15,5,10,0.9521555812398209,0.9667273006333277,0.919398227062502,1.0
10,betweenness,0,18,36,13,5,10,0.9664923328161622,0.9722612412291823,0.9283966382804009,1.0
10,betweenness,0,19,38,11,5,10,0.9795144726583339,0.9778686454973807,0.9528848146269543,1.0
10,betweenness,0,20,40,9,5,10,0.9902911570641555,0.9837178230410172,0.9545549669451278,1.0
