damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,79,5,10,0.3356368151172285,0.14289720470888279,0.36728519720577557,0.9159663865546218
10,betweenness,0,1,3,76,5,10,0.31347037311053705,0.144353378202985,0.3662909056922705,0.9159663865546218
10,betweenness,0,2,6,73,5,10,0.4856288627158336,0.18518544036412715,0.5678027137567836,0.9159663865546218
10,betweenness,0,3,9,70,5,10,0.7638560483710017,0.6783556163421846,0.5582798820194363,0.9159663865546218
10,betweenness,0,4,12,67,5,10,0.7744674792589926,0.8177946829603446,0.717939563323662,0.9159663865546218
10,betweenness,0,5,15,64,5,10,0.7677923321033003,0.8381085712590374,0.7260087321529048,0.9159663865546218
10,betweenness,0,6,18,61,5,10,0.8084952694057617,0.8898904532346373,0.7386891667287963,0.9159663865546218
10,betweenness,0,7,21,58,5,10,0.8165420736677922,0.891772846375804,0.7388507918723343,0.9159663865546218
10,betweenness,0,8,24,55,5,10,0.820082808362791,0.8922354630008326,0.7386325035041801,1.0
10,betweenness,0,9,27,52,5,10,0.8546203490005864,0.9052288455814536,0.7246050743306317,1.0
10,betweenness,0,10,30,49,5,10,0.8757076986623192,0.9183325726445305,0.7310115168357285,1.0
10,betweenness,0,11,33,46,5,10,0.8859582830644434,0.919818195309336,0.7312535661105721,1.0
10,betweenness,0,12,36,43,5,10,0.9029447614207612,0.9265317964184778,0.7570557938768242,1.0
10,betweenness,0,13,39,40,5,10,0.9195897096839095,0.9272219675094372,0.7563420447053313,1.0
10,betweenness,0,14,42,37,5,10,0.9307416345182562,0.9346711125380182,0.7807495762445187,1.0
10,betweenness,0,15,45,34,5,10,0.935085030543778,0.9632384857563164,0.8946712017775169,1.0
10,betweenness,0,16,48,31,5,10,0.9462776093429535,0.9707498199722865,0.9240371170104555,1.0
10,betweenness,0,17,51,28,5,10,0.9481725344072318,0.9709403453499168,0.9239673693071195,1.0
10,betweenness,0,18,54,25,5,10,0.9568310877141097,0.9712739473049525,0.9236849020811608,1.0
10,betweenness,0,19,57,22,5,10,0.9648109544574659,0.9716456156716493,0.9234879876725737,1.0
10,betweenness,0,20,60,19,5,10,0.9730867317901889,0.9741857541064812,0.9297630377401328,1.0
10,betweenness,0,21,63,16,5,10,0.9811119635471761,0.9806516358677901,0.9417387533491756,1.0
10,betweenness,0,22,66,13,5,10,0.9899524124459526,0.9901212853813359,0.9775745447705001,1.0
10,betweenness,0,23,69,10,5,10,0.9979316862049377,0.9961430213450458,0.9931412371671017,1.0
10,betweenness,0,24,72,7,5,10,1.0,0.9976510476071894,0.9949412397781594,1.0
10,betweenness,0,25,75,4,5,10,1.0,0.9999754693523444,1.0,1.0
10,betweenness,0,26,78,1,5,10,1.0,0.9999942259794482,0.999984710072897,1.0
10,betweenness,0,27,79,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,79,5,10,0.8504130191380319,0.058827516513068945,0.05896638432993078,1.0210084033613447
10,betweenness,1,1,3,76,5,10,0.8320739460447556,0.06093711798032038,0.06127281864682554,1.0
10,betweenness,1,2,6,73,5,10,0.8521422941545878,0.06513556997751922,0.07005025730265285,1.0
10,betweenness,1,3,9,70,5,10,0.8173140423781513,0.06650926745865048,0.07098684040375595,1.0
10,betweenness,1,4,12,67,5,10,0.7885812408534173,0.06764044339919148,0.07036052546234937,1.0
10,betweenness,1,5,15,64,5,10,0.8150399067849045,0.06963137982290368,0.07097059326775972,1.0
10,betweenness,1,6,18,61,5,10,0.8346506458368065,0.07152153176512997,0.06960139973212309,1.0
10,betweenness,1,7,21,58,5,10,0.8405646822745273,0.07273671064374188,0.06721113390603095,1.0
10,betweenness,1,8,24,55,5,10,0.8541620254602551,0.07333350713678977,0.06732039943463629,1.0
10,betweenness,1,9,27,52,5,10,0.8712726993536132,0.07380183648048251,0.06876107432311274,1.0
10,betweenness,1,10,30,49,5,10,0.878058723903095,0.07423329409349405,0.06920713685106321,1.0
