damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,29,5,10,1.5741555115469301,0.8253376214643567,0.918021571599893,0.9210526315789471
10,betweenness,0,1,1,28,5,10,1.0,0.8502509232281918,0.9109266157171492,0.9210526315789471
10,betweenness,0,2,2,27,5,10,1.0,0.8623348982378163,0.9095011458566782,0.9210526315789471
10,betweenness,0,3,3,26,5,10,1.0,0.8667715990709165,0.9137172467961591,0.9210526315789471
10,betweenness,0,4,4,25,5,10,1.0,0.8754406125633561,0.9045958085097633,0.9210526315789471
10,betweenness,0,5,5,24,5,10,1.0,0.8767344475204765,0.9052011722025867,0.9210526315789471
10,betweenness,0,6,6,23,5,10,1.0,0.8902291710206074,0.8985385646289817,0.9210526315789471
10,betweenness,0,7,7,22,5,10,0.9310175613458396,0.9000565766993157,0.8889745534681467,0.9210526315789471
10,betweenness,0,8,8,21,5,10,0.9078719129589577,0.9071199437185242,0.8836527278832066,0.9210526315789471
10,betweenness,0,9,9,20,5,10,0.9385375565165567,0.9380647918534426,0.8677943066625557,0.9210526315789471
10,betweenness,0,10,10,19,5,10,0.9374484354865469,0.9400170672237688,0.8695552514286883,0.9210526315789471
10,betweenness,0,11,11,18,5,10,0.9124066088092123,0.9424327731364796,0.8708747676907139,0.9210526315789471
10,betweenness,0,12,12,17,5,10,0.9123694621458243,0.9437130303301526,0.8691051383546295,0.9210526315789471
10,betweenness,0,13,13,16,5,10,0.9116697678547954,0.9439907691957348,0.8687843401241266,0.9210526315789471
10,betweenness,0,14,14,15,5,10,0.9458152851264776,0.9474918946475023,0.8732159713651501,0.9210526315789471
10,betweenness,0,15,15,14,5,10,0.9520245283953995,0.9541463410204016,0.8817622411223831,0.9210526315789471
10,betweenness,0,16,16,13,5,10,0.9586091541332245,0.9590635036560738,0.87705873227773,1.0
10,betweenness,0,17,17,12,5,10,0.9673905584117019,0.9615885505247952,0.8744966026359186,1.0
10,betweenness,0,18,18,11,5,10,0.9739865481490064,0.9663465620171444,0.8728967776640981,1.0
10,betweenness,0,19,19,10,5,10,0.9850289312346621,0.9676325149846688,0.8725726317992945,1.0
10,betweenness,0,20,20,9,5,10,0.9939143217253528,0.9780236025249299,0.9697289667013074,1.0
10,betweenness,0,21,21,8,5,10,1.0,0.9826818535434063,0.9708082929858772,1.0
10,betweenness,0,22,22,7,5,10,1.0,0.9854793661267676,0.9780410268182494,1.0
10,betweenness,0,23,23,6,5,10,1.0,0.9855452486755099,0.9781041896492507,1.0
10,betweenness,0,24,24,5,5,10,1.0,0.9874046149070997,0.9789684480457816,1.0
10,betweenness,0,25,25,4,5,10,1.0,0.9962003406336837,1.0,1.0
10,betweenness,0,26,26,3,5,10,1.0,0.9994221450290333,0.9999898819189355,1.0
10,betweenness,0,27,27,2,5,10,1.0,0.9998688972467193,1.0,1.0
10,betweenness,0,28,28,1,5,10,1.0,0.9998688972467193,1.0,1.0
10,betweenness,0,29,29,0,5,10,1.0,0.9998688972467193,1.0,1.0
10,betweenness,1,0,0,29,5,10,1.0950564149490059,0.8037605180809171,0.9770435948904523,1.105263157894737
10,betweenness,1,1,1,28,5,10,0.9522104174074946,0.8162253883362381,0.9630483589669253,1.0
10,betweenness,1,2,2,27,5,10,0.9484648458233111,0.8226434866775024,0.9312260906167169,1.0
10,betweenness,1,3,3,26,5,10,0.971478457526526,0.8591543053826791,0.8867500092825309,1.0
10,betweenness,1,4,4,25,5,10,0.9458617858938425,0.8702986043299705,0.8763714180354775,1.0
10,betweenness,1,5,5,24,5,10,0.9445125697867122,0.8731917685154975,0.8722995707014984,1.0
10,betweenness,1,6,6,23,5,10,0.9074873851071001,0.8798486010699406,0.8838076271397692,1.0
10,betweenness,1,7,7,22,5,10,0.9074155567370135,0.8811865826973859,0.8850767453266718,1.0
10,betweenness,1,8,8,21,5,10,0.9136456609874041,0.8898587314685024,0.8629585890686432,1.0
10,betweenness,1,9,9,20,5,10,0.9062564631695844,0.9005003167748998,0.8775060254618635,1.0
10,betweenness,1,10,10,19,5,10,0.9050940403804499,0.901596524132161,0.8769683852478481,1.0
10,betweenness,1,11,11,18,5,10,0.9048339137590988,0.9023870917976933,0.8767368869839506,1.0
10,betweenness,1,12,12,17,5,10,0.9030717981569151,0.9052275419313591,0.8715466144080222,1.0
10,betweenness,1,13,13,16,5,10,0.9011440310127765,0.9083475978287054,0.8664769698169805,1.0
10,betweenness,1,14,14,15,5,10,0.9007107068062216,0.9162182863721201,0.8688811214690152,1.0
10,betweenness,1,15,15,14,5,10,0.935548832197834,0.9332083869125222,0.9356685130022664,1.0
10,betweenness,1,16,16,13,5,10,0.954586146241604,0.9526293865359033,0.9181215354496906,1.0
10,betweenness,1,17,17,12,5,10,0.9544970384017395,0.9543313595478714,0.9185972980065197,1.0
10,betweenness,1,18,18,11,5,10,0.9542633393833104,0.9559738042364166,0.9181263067583346,1.0
10,betweenness,1,19,19,10,5,10,0.9535357251910216,0.9564281180132843,0.9176760554102018,1.0
10,betweenness,1,20,20,9,5,10,0.9597613955681712,0.9641549316693026,0.928375045800857,1.0
10,betweenness,1,21,21,8,5,10,0.9661141149754365,0.9707699147456832,0.9369770620740325,1.0
10,betweenness,1,22,22,7,5,10,0.9755839792341348,0.9719717236862627,0.9367251008493951,1.0
10,betweenness,1,23,23,6,5,10,0.9849625983974245,0.9749003254544675,0.9323422043173711,1.0
10,betweenness,1,24,24,5,5,10,0.993892325566001,0.9852574610904379,0.9727607593774683,1.0
