damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,104,5,10,1.010649883488757,0.9324739094473352,1.0055980704438214,0.9298245614035092
10,betweenness,0,1,5,99,5,10,0.9733514933461875,0.9458670981949301,1.0,0.9590643274853803
10,betweenness,0,2,10,94,5,10,0.9616234117095237,0.9458862904829977,1.0,0.9532163742690061
10,betweenness,0,3,15,89,5,10,0.951827110528472,0.9491837307754053,1.0,0.9239766081871347
10,betweenness,0,4,20,84,5,10,0.9404029008455189,0.9613854476380751,1.0,0.9239766081871347
10,betweenness,0,5,25,79,5,10,0.9295644258653912,0.9637222994132546,1.0,0.9590643274853802
10,betweenness,0,6,30,74,5,10,0.9167362211324521,0.9682124392377375,1.0,0.9941520467836257
10,betweenness,0,7,35,69,5,10,0.9259413600916232,0.9733885686790199,1.0,0.9941520467836257
10,betweenness,0,8,40,64,5,10,0.9395749309765823,0.9790906635955929,1.0,0.9941520467836257
10,betweenness,0,9,45,59,5,10,0.9354803234303076,0.9796965334456184,1.0,0.9941520467836257
10,betweenness,0,10,50,54,5,10,0.9324962905387,0.980717963484309,1.0,0.9941520467836257
10,betweenness,0,11,55,49,5,10,0.9414918990318796,0.9808758269387298,1.0,0.9941520467836257
10,betweenness,0,12,60,44,5,10,0.9450749182714775,0.9825254544172114,1.0,1.0
10,betweenness,0,13,65,39,5,10,0.9447511315667886,0.9825299789162387,1.0,1.0
10,betweenness,0,14,70,34,5,10,0.9466872370222128,0.9835611882410462,1.0,1.0
10,betweenness,0,15,75,29,5,10,0.9594470004233545,0.988766328402362,1.0,1.0
10,betweenness,0,16,80,24,5,10,0.9710141099099926,0.9948154262983724,1.0,1.0
10,betweenness,0,17,85,19,5,10,0.9781869370621193,0.9996022232604855,1.0,1.0
10,betweenness,0,18,90,14,5,10,0.9894964366734079,0.9996301369555379,1.0,1.0
10,betweenness,0,19,95,9,5,10,1.0,0.9996588093333433,1.0,1.0
10,betweenness,0,20,100,4,5,10,1.0,0.9997952523539781,1.0,1.0
10,betweenness,0,21,104,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,104,5,10,1.2081222810921044,0.9455751669524649,1.0032272296246327,0.9824561403508771
10,betweenness,1,1,5,99,5,10,0.990720462012264,0.9567383592730274,1.0,0.9590643274853802
10,betweenness,1,2,10,94,5,10,0.958250056666891,0.9567980099676843,1.0,0.9590643274853802
10,betweenness,1,3,15,89,5,10,0.9450436865298277,0.9577410616271109,1.0,0.9590643274853802
10,betweenness,1,4,20,84,5,10,0.9675688195917554,0.9735031013388136,1.0,0.9590643274853802
10,betweenness,1,5,25,79,5,10,0.9505150676019583,0.9751918675469794,1.0,0.9590643274853802
10,betweenness,1,6,30,74,5,10,0.9472701302085395,0.9755311324215725,1.0,0.9766081871345028
10,betweenness,1,7,35,69,5,10,0.9363049740188887,0.9806526345633624,1.0,0.9766081871345028
10,betweenness,1,8,40,64,5,10,0.9385419884282392,0.9880528898157304,1.0,0.9766081871345028
10,betweenness,1,9,45,59,5,10,0.936353387270008,0.9889625402216661,0.9999187093575993,0.9532163742690059
10,betweenness,1,10,50,54,5,10,0.9502256892389578,0.9889980956215936,0.9999126600361287,1.0
10,betweenness,1,11,55,49,5,10,0.9470658966779206,0.9890798742960034,0.9999095273715406,1.0
10,betweenness,1,12,60,44,5,10,0.946181606817111,0.9890879742827685,0.9999087502815622,1.0
10,betweenness,1,13,65,39,5,10,0.9508600808734948,0.9914912371765717,0.9997347802628154,1.0
10,betweenness,1,14,70,34,5,10,0.9638284864660048,0.9994389358573976,0.9999781203799523,1.0
10,betweenness,1,15,75,29,5,10,0.9767332514563044,0.9994615986674761,0.9999765365657383,1.0
10,betweenness,1,16,80,24,5,10,0.9935430982689648,0.9994822975169748,0.9999746235909517,1.0
10,betweenness,1,17,85,19,5,10,1.0,0.9995276962839069,0.9999710908312817,1.0
10,betweenness,1,18,90,14,5,10,1.0,0.9999667806309508,1.0,1.0
10,betweenness,1,19,95,9,5,10,1.0,0.9999973260622295,0.9999999832830341,1.0
10,betweenness,1,20,100,4,5,10,1.0,0.9999991592279606,0.9999999082977711,1.0
10,betweenness,1,21,104,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,2,0,0,104,5,10,0.9645354791120907,0.9335167674598787,1.0060026456476057,1.0116959064327486
10,betweenness,2,1,5,99,5,10,0.9480356932098678,0.9439314284296347,1.0,0.9415204678362573
10,betweenness,2,2,10,94,5,10,0.9407769874092398,0.9440377674242045,1.0,0.9356725146198831
10,betweenness,2,3,15,89,5,10,0.9942442011629474,0.9608629168930585,1.0,0.9356725146198831
10,betweenness,2,4,20,84,5,10,0.9666126099477321,0.9729517625386389,1.0,0.9356725146198831
10,betweenness,2,5,25,79,5,10,0.9553510455948598,0.9754359865357037,1.0,0.9356725146198831
10,betweenness,2,6,30,74,5,10,0.9561276398338054,0.9769480830306025,1.0,0.9356725146198831
10,betweenness,2,7,35,69,5,10,0.947439817193698,0.9789605499662196,1.0,0.9707602339181285
10,betweenness,2,8,40,64,5,10,0.9377739013055526,0.984373983616935,1.0,0.9707602339181285
10,betweenness,2,9,45,59,5,10,0.949077937389242,0.9860865862706343,1.0,0.9707602339181285
10,betweenness,2,10,50,54,5,10,0.9466150288706049,0.9864365613673698,1.0,0.9707602339181285
10,betweenness,2,11,55,49,5,10,0.9655809510773349,0.9883491063827825,1.0,0.9707602339181285
10,betweenness,2,12,60,44,5,10,0.9732673935197634,0.9883654074308056,1.0,0.9707602339181285
10,betweenness,2,13,65,39,5,10,0.9711121158807299,0.9885507206961479,1.0,0.9707602339181285
10,betweenness,2,14,70,34,5,10,0.9705273086874853,0.9886333136941771,1.0,0.9707602339181285
10,betweenness,2,15,75,29,5,10,0.9699692078798573,0.9888775809879932,1.0,1.0
10,betweenness,2,16,80,24,5,10,0.9803825782811701,0.9963013236926221,0.9999597506769513,1.0
10,betweenness,2,17,85,19,5,10,0.9908720126341203,0.999796877050571,1.0,1.0
10,betweenness,2,18,90,14,5,10,1.0,0.9998179864035395,1.0,1.0
10,betweenness,2,19,95,9,5,10,1.0,0.9999684355767295,1.0,1.0
10,betweenness,2,20,100,4,5,10,1.0,0.9999999315931328,1.0,1.0
10,betweenness,2,21,104,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,3,0,0,104,5,10,1.1133660660280182,0.3102634169928694,0.7059145479698024,0.9239766081871347
10,betweenness,3,1,5,99,5,10,0.9954355229183738,0.31044419294835196,0.7058937208198457,0.9473684210526317
10,betweenness,3,2,10,94,5,10,0.94728414628147,0.31053844778323175,0.7058838836881635,0.9473684210526317
10,betweenness,3,3,15,89,5,10,0.9311895780325709,0.3105705514158311,0.7058807870692219,0.9707602339181287
10,betweenness,3,4,20,84,5,10,0.9132790387521634,0.3106194065442211,0.7058755772504984,0.9707602339181287
10,betweenness,3,5,25,79,5,10,0.9040889774767864,0.310646182712996,0.7058737409662028,0.9707602339181287
10,betweenness,3,6,30,74,5,10,0.9040296898617531,0.31068079558716855,0.7058705436447473,0.9707602339181287
