damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,73,5,10,0.6524307148413682,0.7955023659608019,0.7571637265737007,0.3333333333333333
10,betweenness,0,1,3,70,5,10,0.918471579604452,0.8897444775032233,0.8720953270886277,0.3333333333333333
10,betweenness,0,2,6,67,5,10,0.8862128572067715,0.9068220019903872,0.8864480720513942,0.3333333333333333
10,betweenness,0,3,9,64,5,10,0.8818926638204166,0.9095067788549581,0.8783315577169095,0.3333333333333333
10,betweenness,0,4,12,61,5,10,1.0,0.9470640252407154,0.8552211280927484,0.6666666666666666
10,betweenness,0,5,15,58,5,10,1.0,0.949730201189024,0.8625575499056907,0.6666666666666666
10,betweenness,0,6,18,55,5,10,1.0,0.9546536898424064,0.8610553063588885,0.6666666666666666
10,betweenness,0,7,21,52,5,10,1.0,0.9572924469269993,0.8615375013947523,0.6666666666666666
10,betweenness,0,8,24,49,5,10,1.0,0.96168879318021,0.8612596264767054,0.6666666666666666
10,betweenness,0,9,27,46,5,10,1.0,0.9644855754936893,0.8719192421052698,0.6666666666666666
10,betweenness,0,10,30,43,5,10,1.0,0.9749539849825133,0.9585261124442765,0.6666666666666666
10,betweenness,0,11,33,40,5,10,1.0,0.9765323896231128,0.9596776128036573,0.6666666666666666
10,betweenness,0,12,36,37,5,10,1.0,0.9799587228182073,0.9675105046951252,0.6666666666666666
10,betweenness,0,13,39,34,5,10,1.0,0.9812702368729377,0.9642281806011811,0.6666666666666666
10,betweenness,0,14,42,31,5,10,1.0,0.9841701617118362,0.9693170055881855,0.6666666666666666
10,betweenness,0,15,45,28,5,10,0.9974468287459365,0.9859845602794587,0.9744350073005053,0.6666666666666666
10,betweenness,0,16,48,25,5,10,0.9967211716179396,0.9869856808404779,0.9746066375136508,0.6666666666666666
10,betweenness,0,17,51,22,5,10,0.9958376650412993,0.9896423122284871,0.9805228173372537,0.6666666666666666
10,betweenness,0,18,54,19,5,10,1.0,0.9934854768394833,1.0,0.6666666666666666
10,betweenness,0,19,57,16,5,10,1.0,0.9951458957834951,1.0,0.6666666666666666
10,betweenness,0,20,60,13,5,10,1.0,0.9959380694552669,1.0,0.6666666666666666
10,betweenness,0,21,63,10,5,10,1.0,0.9979263744876959,1.0,0.6666666666666666
10,betweenness,0,22,66,7,5,10,1.0,0.9988192852237959,1.0,0.6666666666666666
10,betweenness,0,23,69,4,5,10,1.0,0.9994815328891673,0.9992387046644398,1.0
10,betweenness,0,24,72,1,5,10,1.0,1.0,1.0,1.0
10,betweenness,0,25,73,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,73,5,10,0.9579550355789938,0.9130023206067519,0.8514593528715042,1.0
