damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,60,5,10,1.0891026150794714,0.8616858760807463,0.9059685986401446,1.0666666666666669
10,betweenness,0,1,3,57,5,10,1.0,0.8760802766619259,0.8776830162214716,1.0
10,betweenness,0,2,6,54,5,10,1.0,0.8848200073222628,0.8431274111580807,1.0
10,betweenness,0,3,9,51,5,10,1.0,0.9013680355664687,0.8438988917944251,1.0
10,betweenness,0,4,12,48,5,10,0.9850635893053864,0.913716452232348,0.8396804141652835,1.0
10,betweenness,0,5,15,45,5,10,0.9683110782786728,0.9255150153597446,0.8447672708993706,1.0
10,betweenness,0,6,18,42,5,10,0.9636307787898495,0.9305196939754556,0.8468095948822717,1.0
10,betweenness,0,7,21,39,5,10,0.9536052410444051,0.9391380568229578,0.8489128607807654,1.0
10,betweenness,0,8,24,36,5,10,0.9502680033467497,0.9436038163053079,0.8494999337671421,1.0
10,betweenness,0,9,27,33,5,10,0.9474295155326498,0.948637205275724,0.845519298187395,1.0
10,betweenness,0,10,30,30,5,10,0.979752699791111,0.9676271233028015,0.9612151633487681,1.0
10,betweenness,0,11,33,27,5,10,0.9764725938528087,0.9732641289306436,0.968778702236609,1.0
10,betweenness,0,12,36,24,5,10,0.9913677367052033,0.9786538132743378,1.0,1.0
10,betweenness,0,13,39,21,5,10,0.9897999114199089,0.9813415022108063,1.0,1.0
10,betweenness,0,14,42,18,5,10,0.9983496476127125,0.989968395968048,1.0,1.0
10,betweenness,0,15,45,15,5,10,1.0,0.993090245806168,1.0,1.0
10,betweenness,0,16,48,12,5,10,1.0,0.9947243436082467,1.0,1.0
10,betweenness,0,17,51,9,5,10,1.0,0.9971725941712108,1.0,1.0
10,betweenness,0,18,54,6,5,10,1.0,0.9990204016674055,0.9994298749634033,1.0
10,betweenness,0,19,57,3,5,10,1.0,0.9997824644718005,1.0,1.0
10,betweenness,0,20,60,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,60,5,10,0.8658058978710592,0.8106691042768681,1.1347236293022984,1.0
10,betweenness,1,1,3,57,5,10,1.0,0.8927620050363084,0.9675393826074435,1.0
10,betweenness,1,2,6,54,5,10,1.0,0.9181802530142626,0.9539823957525696,1.0
10,betweenness,1,3,9,51,5,10,1.0,0.931174677234894,0.9415961887528986,1.0
10,betweenness,1,4,12,48,5,10,0.9942385591390259,0.938959262892822,0.941103710611106,1.0
10,betweenness,1,5,15,45,5,10,0.9877727885832115,0.9463602767470024,0.9518903744389567,1.0
10,betweenness,1,6,18,42,5,10,0.9836386011101325,0.9514505757098064,0.9539796142674598,1.0
10,betweenness,1,7,21,39,5,10,0.9797106095722129,0.9586533461914248,0.9617031688874026,1.0
10,betweenness,1,8,24,36,5,10,0.9745303262712993,0.9635179745196369,0.9595305215993969,1.0
10,betweenness,1,9,27,33,5,10,0.9867750024825896,0.9757423973194048,0.9588706108576517,1.0
10,betweenness,1,10,30,30,5,10,0.9847868498175311,0.9791880233885204,0.9529584891516643,1.0
10,betweenness,1,11,33,27,5,10,0.995081253308907,0.9853327859964202,0.9825869742547167,1.0
10,betweenness,1,12,36,24,5,10,0.9928409333438231,0.9869652855056509,0.9790393824846123,1.0
10,betweenness,1,13,39,21,5,10,0.9901277598401749,0.9893125007889731,0.9793716955819374,1.0
10,betweenness,1,14,42,18,5,10,0.9967935721871437,0.9923006171471178,1.0,1.0
10,betweenness,1,15,45,15,5,10,1.0,0.9963794947818817,1.0,1.0
10,betweenness,1,16,48,12,5,10,1.0,0.9976500536464477,1.0,1.0
10,betweenness,1,17,51,9,5,10,1.0,0.9985328911250885,1.0,1.0
10,betweenness,1,18,54,6,5,10,1.0,0.9996457360640012,1.0,1.0
10,betweenness,1,19,57,3,5,10,1.0,0.9999020649837809,1.0,1.0
10,betweenness,1,20,60,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,2,0,0,60,5,10,0.9112928980500967,0.8574033803352091,0.8147084750407445,1.0
10,betweenness,2,1,3,57,5,10,1.0,0.8952341941758747,0.7806292828488794,1.0
10,betweenness,2,2,6,54,5,10,1.0,0.9114215563394069,0.7662418784205783,1.0
10,betweenness,2,3,9,51,5,10,0.9926843044261713,0.9221773916890664,0.7563636298834153,1.0
10,betweenness,2,4,12,48,5,10,0.9843670565854898,0.9313101818019476,0.758045096238488,1.0
10,betweenness,2,5,15,45,5,10,0.9804729254121068,0.9389053740844095,0.7655813449886062,1.0
10,betweenness,2,6,18,42,5,10,0.9786237772110874,0.9417401697113534,0.766615601066845,1.0
10,betweenness,2,7,21,39,5,10,0.9748738350684791,0.9463369082577178,0.7754746380534815,1.0
10,betweenness,2,8,24,36,5,10,0.9699248009101562,0.9518149838783416,0.7789992150729101,1.0
10,betweenness,2,9,27,33,5,10,0.9846485522125514,0.962972876622589,0.8138010600769268,1.0
10,betweenness,2,10,30,30,5,10,0.9848256852943205,0.9691285245833738,0.8310242626119667,1.0
10,betweenness,2,11,33,27,5,10,0.9811493516745344,0.9737347593365429,0.8374160641658228,1.0
10,betweenness,2,12,36,24,5,10,0.9799910026155755,0.9761541792112075,0.8374234290145197,1.0
10,betweenness,2,13,39,21,5,10,0.9896596655765942,0.9837244529175554,0.8941206937008929,1.0
10,betweenness,2,14,42,18,5,10,0.9882640699427859,0.9864383325331795,0.8925648854329629,1.0
10,betweenness,2,15,45,15,5,10,0.9919802838681295,0.9911459339012239,0.9424375460105078,1.0
10,betweenness,2,16,48,12,5,10,1.0,0.9963458087748949,0.9974997191872204,1.0
10,betweenness,2,17,51,9,5,10,1.0,0.997417446935553,0.9963231625826813,1.0
10,betweenness,2,18,54,6,5,10,1.0,0.998612070227974,0.9962761144303283,1.0
10,betweenness,2,19,57,3,5,10,1.0,0.9996087714750266,0.999812650988148,1.0
10,betweenness,2,20,60,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,3,0,0,60,5,10,1.0890640744619116,0.8850429712631255,0.9290156158908782,1.1066666666666667
10,betweenness,3,1,3,57,5,10,1.0,0.8999624131034758,0.9361979581944572,1.0
10,betweenness,3,2,6,54,5,10,1.0,0.916086602770202,0.933913997249379,1.0
10,betweenness,3,3,9,51,5,10,1.0,0.927733106147784,0.9362020393933622,1.0
10,betweenness,3,4,12,48,5,10,1.0,0.9334945557717306,0.9282561428037231,1.0
10,betweenness,3,5,15,45,5,10,1.0,0.9387666384274644,0.9314776747801023,1.0
10,betweenness,3,6,18,42,5,10,0.997544433446217,0.9458816608013433,0.9275282205371214,1.0
10,betweenness,3,7,21,39,5,10,0.9923317390754673,0.9514496569581345,0.932151033046791,1.0
10,betweenness,3,8,24,36,5,10,0.9814434456794261,0.9564566662030483,0.9312552983387098,1.0
10,betweenness,3,9,27,33,5,10,0.9773865861103865,0.9588830036782541,0.9292679728266919,1.0
10,betweenness,3,10,30,30,5,10,0.9705172195866117,0.9644787624046072,0.9164885820654808,1.0
10,betweenness,3,11,33,27,5,10,0.9679557533641874,0.966699179164186,0.9150195415485505,1.0
10,betweenness,3,12,36,24,5,10,0.9636489815267678,0.9716914223679023,0.9248114574640106,1.0
10,betweenness,3,13,39,21,5,10,0.9776228869606942,0.9768356442304964,0.9506730560830741,1.0
10,betweenness,3,14,42,18,5,10,0.9754398019350479,0.9790045814325015,0.9553354512064501,1.0
10,betweenness,3,15,45,15,5,10,0.9844399042491755,0.9872757417520304,0.9541578994473257,1.0
10,betweenness,3,16,48,12,5,10,0.9968111375440455,0.9931196079013729,1.0,1.0
10,betweenness,3,17,51,9,5,10,1.0,0.9977592832001062,1.0,1.0
10,betweenness,3,18,54,6,5,10,1.0,0.9988952224938297,1.0,1.0
10,betweenness,3,19,57,3,5,10,1.0,0.999886809259258,1.0,1.0
10,betweenness,3,20,60,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,4,0,0,60,5,10,1.0398229606551523,0.8733458470171439,0.8711072350628937,0.9866666666666666
