damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,81,5,10,0.4857359917882085,0.4038747514080596,0.9091616407863735,0.8903420523138834
10,betweenness,0,1,4,77,5,10,0.9507072140332492,0.5173667080027258,0.8928430842691069,0.8601609657947685
10,betweenness,0,2,8,73,5,10,0.8401073556383641,0.5384645734422362,0.8913017301592346,0.8853118712273642
10,betweenness,0,3,12,69,5,10,0.7830929252114348,0.5443795060426749,0.8895924793922793,0.8752515090543259
10,betweenness,0,4,16,65,5,10,0.8412731857833985,0.7132436878926025,0.8649195698340909,0.8677062374245474
10,betweenness,0,5,20,61,5,10,0.8641388947865475,0.7478966918785986,0.8594998402107042,0.870221327967807
10,betweenness,0,6,24,57,5,10,0.9063541890277034,0.7699132461929914,0.8660810213990358,0.865191146881288
10,betweenness,0,7,28,53,5,10,0.901715432098716,0.7819597017256794,0.8651052307398642,0.8827967806841047
10,betweenness,0,8,32,49,5,10,0.9507346080266625,0.7890185197260694,0.8661927485879917,0.8727364185110665
10,betweenness,0,9,36,45,5,10,0.9507368060910277,0.790019856788093,0.8661024825661289,0.8752515090543261
10,betweenness,0,10,40,41,5,10,0.946238753444517,0.8199950317860923,0.8927863291785905,0.9004024144869216
10,betweenness,0,11,44,37,5,10,0.9507887819342898,0.8296911074039495,0.893694486730818,0.909456740442656
10,betweenness,0,12,48,33,5,10,0.9473404522680519,0.830260604638341,0.8935028818450117,0.904426559356137
10,betweenness,0,13,52,29,5,10,0.9799035464742807,0.8391312614250638,0.8982341162485445,0.9346076458752517
10,betweenness,0,14,56,25,5,10,0.9877885113401703,0.9458840174344345,0.8718785458044684,0.9346076458752517
10,betweenness,0,15,60,21,5,10,0.9874229837486787,0.9460414787154893,0.8718608595339304,0.9471830985915496
10,betweenness,0,16,64,17,5,10,0.9971261019467299,0.9483353789707416,0.8718788965588673,0.9471830985915496
10,betweenness,0,17,68,13,5,10,0.9994094327098147,0.9496061326536691,0.8719812849394827,0.9471830985915496
10,betweenness,0,18,72,9,5,10,0.9999570906198214,0.9496250411479847,0.871978333868748,0.9471830985915496
10,betweenness,0,19,76,5,5,10,1.0,0.9999659180119639,1.0,0.962273641851107
10,betweenness,0,20,80,1,5,10,1.0,1.0,1.0,0.9874245472837023
10,betweenness,0,21,81,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,81,5,10,0.41685706432455305,0.48182400042878526,1.0191348209743605,0.9446680080482895
10,betweenness,1,1,4,77,5,10,0.8804417672585777,0.6260679880178759,0.9982685803710657,0.9572434607645874
10,betweenness,1,2,8,73,5,10,0.8340840989732691,0.6477872144641573,0.9965465112363826,0.959758551307847
10,betweenness,1,3,12,69,5,10,0.8080787344717766,0.6636656329152801,0.9933762761773466,0.9245472837022133
10,betweenness,1,4,16,65,5,10,0.9096869714377573,0.8686292537943965,0.9741980102233475,0.9295774647887325
10,betweenness,1,5,20,61,5,10,0.9050028151962517,0.8770533043927744,0.973185720982825,0.8993963782696177
10,betweenness,1,6,24,57,5,10,0.9029398546590998,0.89462754609784,0.9738765562378154,0.9069416498993964
10,betweenness,1,7,28,53,5,10,0.9312051509655949,0.9048658516870871,0.9722508210817608,0.9421529175050302
10,betweenness,1,8,32,49,5,10,0.9453189575726044,0.9173378938528779,0.9680992276036544,0.9371227364185112
10,betweenness,1,9,36,45,5,10,0.9681860695337543,0.9417780761567662,0.9649745627486346,0.9673038229376256
10,betweenness,1,10,40,41,5,10,0.9641535840251007,0.9423693217553328,0.9648073125713977,0.9698189134808852
10,betweenness,1,11,44,37,5,10,0.964302872755985,0.9438623489684695,0.9645752127259537,0.9572434607645877
10,betweenness,1,12,48,33,5,10,0.9646343900342675,0.946715064837517,0.9645433456276477,0.9723340040241448
10,betweenness,1,13,52,29,5,10,0.985133844716865,0.9738976543538541,0.9913985878757687,0.9723340040241448
