damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,21,5,10,0.7511726497951576,0.9082398485497497,0.981562555218543,1.0
10,betweenness,0,1,1,20,5,10,0.9191964348806152,0.9141033043812669,0.9819239509633046,1.0
10,betweenness,0,2,2,19,5,10,0.8963727573679322,0.9331905356450021,0.9791690196572232,1.0
10,betweenness,0,3,3,18,5,10,0.9825691543164035,0.94565962109216,0.9874579378740009,1.0
10,betweenness,0,4,4,17,5,10,0.9819083638471255,0.9487939748976789,0.9863294998038118,1.0
10,betweenness,0,5,5,16,5,10,0.97933266573605,0.9496313726408382,0.9859362946964804,1.0
10,betweenness,0,6,6,15,5,10,0.9725059349906221,0.9532622860824065,0.9846536413075447,1.0
10,betweenness,0,7,7,14,5,10,0.9718257993892623,0.953745488097339,0.983635700674848,1.0
10,betweenness,0,8,8,13,5,10,0.9690923425164211,0.9574211761081989,0.9833128850019623,1.0
10,betweenness,0,9,9,12,5,10,0.9673222351280965,0.9582457693033789,0.9826012585689786,1.0
10,betweenness,0,10,10,11,5,10,0.9659122426860478,0.9593333339020377,0.9829745955559688,1.0
10,betweenness,0,11,11,10,5,10,0.9638055605224923,0.9660075202489009,0.9799545151132172,1.0
10,betweenness,0,12,12,9,5,10,0.9628848582487921,0.9677401765154342,0.9797411259048794,1.0
10,betweenness,0,13,13,8,5,10,0.9616226694341421,0.9697547972285153,0.9793733375048667,1.0
10,betweenness,0,14,14,7,5,10,0.9685790380629291,0.9885045260741525,0.9908362376187535,1.0
10,betweenness,0,15,15,6,5,10,0.9773885078686749,0.9961156503014486,1.0,1.0
10,betweenness,0,16,16,5,5,10,1.0,0.9971120889120645,1.0,1.0
10,betweenness,0,17,17,4,5,10,1.0,0.9986257953589414,0.999732920532272,1.0
10,betweenness,0,18,18,3,5,10,1.0,0.9995326963856815,1.0,1.0
10,betweenness,0,19,19,2,5,10,1.0,1.0,1.0,1.0
10,betweenness,0,20,20,1,5,10,1.0,1.0,1.0,1.0
10,betweenness,0,21,21,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,21,5,10,0.7802708434480885,0.6897262787312337,0.5062193485424494,1.0
10,betweenness,1,1,1,20,5,10,1.0,0.8157126330340242,0.9370865650738593,1.0
10,betweenness,1,2,2,19,5,10,0.9008416777666514,0.8553634192987049,0.9708319841826079,1.0
10,betweenness,1,3,3,18,5,10,0.8433757161749968,0.8874875572495634,0.9472931043610405,1.0
10,betweenness,1,4,4,17,5,10,0.9390218020690827,0.9342522010679203,0.9535171783120344,1.0
10,betweenness,1,5,5,16,5,10,0.9306287301871331,0.9495520595609058,0.9656883248548489,1.0
10,betweenness,1,6,6,15,5,10,0.9249163555020105,0.9538064044618424,0.9637750686103602,1.0
10,betweenness,1,7,7,14,5,10,0.9223393282064113,0.9559479949642893,0.962911831089523,1.0
10,betweenness,1,8,8,13,5,10,0.9214977618285726,0.9568411008952722,0.962700372352416,1.0
10,betweenness,1,9,9,12,5,10,0.929743655054651,0.9667083525973997,0.9785997293196866,1.0
10,betweenness,1,10,10,11,5,10,0.9522423110265792,0.9686432586482071,0.9813057733382711,1.0
10,betweenness,1,11,11,10,5,10,0.9649953899081062,0.9723603849224982,0.9864441866465956,1.0
10,betweenness,1,12,12,9,5,10,0.9759932839671286,0.9760606513269088,0.9860273638392805,1.0
10,betweenness,1,13,13,8,5,10,0.98605914931104,0.9812110470644175,0.9852425387996245,1.0
10,betweenness,1,14,14,7,5,10,0.9953267785694669,0.9890611257369483,1.0,1.0
10,betweenness,1,15,15,6,5,10,1.0,0.9978767990943526,1.0,1.0
10,betweenness,1,16,16,5,5,10,1.0,0.9986520818787987,1.0,1.0
10,betweenness,1,17,17,4,5,10,1.0,0.9989937679567124,1.0,1.0
10,betweenness,1,18,18,3,5,10,1.0,0.9999488387398684,0.9999792863527018,1.0
10,betweenness,1,19,19,2,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,20,20,1,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,21,21,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,2,0,0,21,5,10,0.9234043961432473,0.7999384656064996,0.9841425520031074,1.0
10,betweenness,2,1,1,20,5,10,0.8150837781433308,0.836183311670477,0.9715264439427965,1.0
10,betweenness,2,2,2,19,5,10,0.7638297132047118,0.8671905675062763,0.99465943942157,1.0
10,betweenness,2,3,3,18,5,10,0.9330878129154632,0.8806076805858524,0.9837604888950574,1.0
10,betweenness,2,4,4,17,5,10,0.860942393749131,0.9026348228625661,0.988550591719973,1.0
10,betweenness,2,5,5,16,5,10,0.9236458938564047,0.9089265732214331,0.9876704860964682,1.0
10,betweenness,2,6,6,15,5,10,0.9111283573782358,0.9241993501726302,0.9856050724461786,1.0
10,betweenness,2,7,7,14,5,10,0.9352922614494191,0.9530231579937946,0.9736467439274943,1.0
10,betweenness,2,8,8,13,5,10,0.9337350142556203,0.95393275465865,0.9734899256308023,1.0
10,betweenness,2,9,9,12,5,10,0.9316359357613357,0.9603572076395563,0.9704771603687169,1.0
10,betweenness,2,10,10,11,5,10,0.9307837716040155,0.9612599636771253,0.9702928598025069,1.0
10,betweenness,2,11,11,10,5,10,0.9388840932670581,0.9713107130109663,0.9864847391753604,1.0
10,betweenness,2,12,12,9,5,10,0.9615187139975682,0.9731237651977113,0.9865722653628429,1.0
10,betweenness,2,13,13,8,5,10,0.9840534195417412,0.973948477184974,0.98641265290437,1.0
10,betweenness,2,14,14,7,5,10,0.9922849784257435,0.9851403557357756,1.0,1.0
10,betweenness,2,15,15,6,5,10,1.0,0.994310616797646,1.0,1.0
10,betweenness,2,16,16,5,5,10,1.0,0.9954898116941807,1.0,1.0
10,betweenness,2,17,17,4,5,10,1.0,0.9989898949378092,1.0,1.0
10,betweenness,2,18,18,3,5,10,1.0,0.9999449657209654,1.0,1.0
10,betweenness,2,19,19,2,5,10,1.0,0.9999940375302143,1.0,1.0
10,betweenness,2,20,20,1,5,10,1.0,1.0,1.0,1.0
10,betweenness,2,21,21,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,3,0,0,21,5,10,1.21615820080252,0.7399819116608473,0.6029420181189794,0.9714285714285716
10,betweenness,3,1,1,20,5,10,1.0,0.8067793117800653,0.7501903891256675,0.9714285714285716
10,betweenness,3,2,2,19,5,10,0.9904267277141297,0.824714506472058,0.7537885604154226,0.9714285714285716
10,betweenness,3,3,3,18,5,10,0.9656865507688598,0.8577971846845874,0.7713686225061297,0.9714285714285716
