damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,136,5,10,0.23392108003911144,0.5473850644104943,0.8450677828827613,0.8968446601941747
10,betweenness,0,1,6,130,5,10,0.6418147622388174,0.6672442306074657,0.793874390403427,0.9575242718446604
10,betweenness,0,2,12,124,5,10,0.9500820340688347,0.7856295173527976,0.7686232456485188,0.9575242718446604
10,betweenness,0,3,18,118,5,10,0.9371764449261923,0.7966020002847826,0.7680649842968015,0.9878640776699031
10,betweenness,0,4,24,112,5,10,0.9214679057201977,0.8005867561432174,0.7658906982777793,0.9878640776699031
10,betweenness,0,5,30,106,5,10,0.9014571086653771,0.8030592429160792,0.7641794459581961,0.9878640776699031
10,betweenness,0,6,36,100,5,10,0.9145114581782902,0.8811861006718128,0.8674352557870388,0.9878640776699031
10,betweenness,0,7,42,94,5,10,0.9587969576889926,0.8953090929079321,0.8816198848035861,0.9878640776699031
10,betweenness,0,8,48,88,5,10,0.9569213677950136,0.916535931034669,0.889565003116959,0.9878640776699031
10,betweenness,0,9,54,82,5,10,0.9560690976884855,0.9269919093403876,0.9018837281920443,0.9878640776699031
10,betweenness,0,10,60,76,5,10,0.9548628452916886,0.9281880731902061,0.9013270724978859,0.9878640776699031
10,betweenness,0,11,66,70,5,10,0.9546103543406323,0.933193164977372,0.9079210704115835,1.0
10,betweenness,0,12,72,64,5,10,0.9606010476855347,0.9461733971583384,0.914487457005824,1.0
10,betweenness,0,13,78,58,5,10,0.9600550401422494,0.9467439540090271,0.9142314197953497,1.0
10,betweenness,0,14,84,52,5,10,0.9668961501157545,0.9514691277621596,0.915973057595688,1.0
10,betweenness,0,15,90,46,5,10,0.9864835701722499,0.9601825553923613,0.9185236922709622,1.0
10,betweenness,0,16,96,40,5,10,0.9907658162151531,0.9681435598453153,0.9226063974945448,1.0
10,betweenness,0,17,102,34,5,10,1.0,0.9835323426003002,0.9597747298998403,1.0
10,betweenness,0,18,108,28,5,10,0.9999597924169749,0.9845560906404143,0.9597704194104916,1.0
10,betweenness,0,19,114,22,5,10,1.0,0.9926248832585407,0.9942723763659842,1.0
10,betweenness,0,20,120,16,5,10,1.0,0.9997085735070033,0.9999195429733367,1.0
10,betweenness,0,21,126,10,5,10,1.0,0.9999169820538589,1.0,1.0
10,betweenness,0,22,132,4,5,10,1.0,1.0,1.0,1.0
10,betweenness,0,23,136,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,136,5,10,0.6954167914617622,0.771488082486863,0.8083935375612646,0.9332524271844661
