damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,232,5,10,0.8936195780947847,0.84488291321411,0.9523762613354926,0.8745674740484424
10,betweenness,0,1,11,221,5,10,0.8608168534259976,0.8632562002082684,0.941953905906695,0.9005190311418683
10,betweenness,0,2,22,210,5,10,0.8591836296975535,0.8948186939142142,0.9674641573794738,0.9134948096885812
10,betweenness,0,3,33,199,5,10,0.9411680777841562,0.927902492503087,0.876199259527631,0.9264705882352938
10,betweenness,0,4,44,188,5,10,0.9470407920751535,0.9409314377891443,0.8585494056873314,0.9264705882352938
10,betweenness,0,5,55,177,5,10,0.9411360977052713,0.9464736127126057,0.8558178667846043,0.9264705882352938
10,betweenness,0,6,66,166,5,10,0.9592356309226955,0.9571158064577462,0.847835067806365,0.9264705882352938
10,betweenness,0,7,77,155,5,10,0.9607600745860029,0.9631790562066295,0.8708513682973198,0.9264705882352938
10,betweenness,0,8,88,144,5,10,0.9582026374595665,0.9673959558994496,0.8725909901318621,0.9264705882352938
10,betweenness,0,9,99,133,5,10,0.957057081562857,0.9693332525974615,0.8734603898227266,0.9264705882352938
10,betweenness,0,10,110,122,5,10,0.9630526270279656,0.9725014519750111,0.8891593404765941,0.90916955017301
10,betweenness,0,11,121,111,5,10,0.9627758801999649,0.9734712186958063,0.8887207162619594,0.90916955017301
10,betweenness,0,12,132,100,5,10,0.9618092738914663,0.9748240631659029,0.8880260246753631,0.90916955017301
10,betweenness,0,13,143,89,5,10,0.9616900393961847,0.9755143563973456,0.8893773600306083,0.90916955017301
10,betweenness,0,14,154,78,5,10,0.9711335955554675,0.9804182425547184,0.9079869080124499,0.90916955017301
10,betweenness,0,15,165,67,5,10,0.9881510417681472,0.9889606700861399,0.9627156404383495,0.90916955017301
10,betweenness,0,16,176,56,5,10,1.0,0.9964482528581886,1.0,0.9480968858131488
10,betweenness,0,17,187,45,5,10,1.0,0.9973160382040346,1.0,0.9480968858131488
10,betweenness,0,18,198,34,5,10,1.0,0.998505582140328,1.0,0.9740484429065744
10,betweenness,0,19,209,23,5,10,1.0,0.9990645700172922,1.0,0.9740484429065744
10,betweenness,0,20,220,12,5,10,1.0,0.9999028626222183,1.0,1.0
10,betweenness,0,21,231,1,5,10,1.0,1.0,1.0,1.0
10,betweenness,0,22,232,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,232,5,10,1.0327061435081912,0.8679596474729474,0.7628884114042881,0.8719723183390996
10,betweenness,1,1,11,221,5,10,0.9897849509448118,0.8930628541649454,0.7908198749238772,0.8719723183390996
10,betweenness,1,2,22,210,5,10,0.960496102241015,0.9102386063982216,0.803766176932274,0.8979238754325254
10,betweenness,1,3,33,199,5,10,0.9485557038743075,0.9233307766858371,0.8387723651785571,0.9351211072664355
10,betweenness,1,4,44,188,5,10,0.9427117356951309,0.9327344974761433,0.8316776940060788,0.9351211072664355
10,betweenness,1,5,55,177,5,10,0.964764073940609,0.950984008985089,0.8438772021074705,0.9351211072664355
10,betweenness,1,6,66,166,5,10,0.966198393535246,0.9597381517044485,0.8455600585799751,0.9351211072664355
10,betweenness,1,7,77,155,5,10,0.9639219275661949,0.9630227769594388,0.8414345479287675,0.9351211072664355
