damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,208,5,10,0.9624318039902284,0.792665710816964,0.8836416689271945,1.0327868852459017
10,betweenness,0,1,10,198,5,10,0.9506631244012034,0.8613043006823085,0.8958871018321846,1.0
10,betweenness,0,2,20,188,5,10,0.9271936516230493,0.8837295169011844,0.888230633319935,1.0
10,betweenness,0,3,30,178,5,10,0.9044583275172658,0.8954270780437305,0.8849273290478653,1.0
10,betweenness,0,4,40,168,5,10,0.896428330876387,0.9071763876964751,0.8943275367517763,1.0
10,betweenness,0,5,50,158,5,10,0.918241666597856,0.9246576748587908,0.8946709357283722,1.0
10,betweenness,0,6,60,148,5,10,0.9261459746067064,0.9393941571423295,0.8934137793173532,1.0
10,betweenness,0,7,70,138,5,10,0.9223183493923435,0.942203167134237,0.8944273042551083,1.0
10,betweenness,0,8,80,128,5,10,0.9304870602277546,0.9475595596554506,0.8934011733289625,1.0
10,betweenness,0,9,90,118,5,10,0.950561074934482,0.9572938396875396,0.8969304165958324,1.0
10,betweenness,0,10,100,108,5,10,0.9490584460052334,0.9595666339413375,0.897276287472857,1.0
10,betweenness,0,11,110,98,5,10,0.9592899865159177,0.9640091292018398,0.9014787347408313,1.0
10,betweenness,0,12,120,88,5,10,0.9573491190378453,0.9658205800467419,0.904288138662148,1.0
10,betweenness,0,13,130,78,5,10,0.9673481505495605,0.9747433439609772,0.9513597376796737,1.0
10,betweenness,0,14,140,68,5,10,0.9815239767505222,0.9840276723646498,0.998754030801524,1.0
10,betweenness,0,15,150,58,5,10,0.9963900913376309,0.9921132557168229,0.9992346397367233,1.0
10,betweenness,0,16,160,48,5,10,1.0,0.9975258969778455,0.9988943592054448,1.0
10,betweenness,0,17,170,38,5,10,1.0,0.9985338623879793,0.9993908533716456,1.0
10,betweenness,0,18,180,28,5,10,1.0,0.9991776392963873,0.9995182655568057,1.0
10,betweenness,0,19,190,18,5,10,1.0,0.9997358944759427,0.9998574026478333,1.0
10,betweenness,0,20,200,8,5,10,1.0,0.9999503362808845,0.999920627846144,1.0
