damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,209,5,10,0.5729461945188774,0.772727743876387,0.9190889291881619,0.8842105263157896
10,betweenness,0,1,10,199,5,10,0.8363993754537294,0.8592766521815456,0.8610573500432327,0.9157894736842108
10,betweenness,0,2,20,189,5,10,0.8742791761109624,0.8927331274104361,0.8809565285050733,0.9157894736842108
10,betweenness,0,3,30,179,5,10,0.8641273516898014,0.9004773255330862,0.8738017744089901,0.9157894736842108
10,betweenness,0,4,40,169,5,10,0.9201571119832618,0.911711361614658,0.8571678128258383,0.9157894736842108
10,betweenness,0,5,50,159,5,10,0.9279752115657548,0.9286419923346118,0.8899104913536189,0.9157894736842108
10,betweenness,0,6,60,149,5,10,0.9517250051745796,0.9323104973104477,0.8962226982744801,0.9157894736842108
10,betweenness,0,7,70,139,5,10,0.9552564181346326,0.938613422327189,0.9060928124482979,0.9157894736842108
10,betweenness,0,8,80,129,5,10,0.9551776287036727,0.940637761953203,0.9070465459220527,0.9157894736842108
10,betweenness,0,9,90,119,5,10,0.9549144150281121,0.9487001479977751,0.9140550128530306,0.936842105263158
10,betweenness,0,10,100,109,5,10,0.9537133627001085,0.9501706335153011,0.9132288757980015,0.968421052631579
10,betweenness,0,11,110,99,5,10,0.953412003468399,0.9531961222180869,0.9145712292134317,0.968421052631579
10,betweenness,0,12,120,89,5,10,0.9533537816576881,0.9560885099114756,0.9170467399540414,0.968421052631579
10,betweenness,0,13,130,79,5,10,0.9636401973257867,0.962997223551455,0.9187411253121469,0.968421052631579
10,betweenness,0,14,140,69,5,10,0.9774901816864587,0.9724399546471677,0.9179017309794238,0.968421052631579
10,betweenness,0,15,150,59,5,10,0.9925847166117542,0.9815798828828435,0.9485606987503814,0.968421052631579
10,betweenness,0,16,160,49,5,10,1.0,0.9911968971858374,1.0,1.0
10,betweenness,0,17,170,39,5,10,1.0,0.9945742016620901,0.9992432379601073,1.0
10,betweenness,0,18,180,29,5,10,1.0,0.9968970069812424,0.9995640517985356,1.0
10,betweenness,0,19,190,19,5,10,1.0,0.9985846151402097,1.0,1.0
10,betweenness,0,20,200,9,5,10,1.0,0.9999536029148787,1.0,1.0
10,betweenness,0,21,209,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,209,5,10,0.7002686041922949,0.8241307075690537,0.9784691861549213,0.9210526315789475
10,betweenness,1,1,10,199,5,10,0.8701011245031957,0.899451258691882,0.9681784412700538,0.9210526315789475
10,betweenness,1,2,20,189,5,10,0.9668375488941285,0.9242374629908071,0.9476148668308126,0.9526315789473684
10,betweenness,1,3,30,179,5,10,0.9436798721545085,0.9293133899662774,0.9402905590110076,0.9526315789473684
10,betweenness,1,4,40,169,5,10,0.9413140851272553,0.9364319172216328,0.9465817237855719,0.9526315789473684
10,betweenness,1,5,50,159,5,10,0.9411922874744112,0.9427799373248432,0.9511965499758175,0.9526315789473684
10,betweenness,1,6,60,149,5,10,0.9394372389996647,0.9462660950270189,0.9530432378547172,0.9526315789473684
10,betweenness,1,7,70,139,5,10,0.9440777269793668,0.9521147889464324,0.9495139196062748,0.9526315789473684
10,betweenness,1,8,80,129,5,10,0.9543516434634396,0.9556413479791465,0.9528414194625676,0.9526315789473684
10,betweenness,1,9,90,119,5,10,0.954204452091156,0.9579988610763218,0.9532991775325029,0.9526315789473684
10,betweenness,1,10,100,109,5,10,0.9536831147808799,0.9597894867904164,0.9550040100706151,0.9526315789473684
10,betweenness,1,11,110,99,5,10,0.9534920041772206,0.963331016389776,0.9577871971520358,0.9526315789473684
10,betweenness,1,12,120,89,5,10,0.9648948828777628,0.9718402615197823,0.959061221270802,0.9526315789473684
10,betweenness,1,13,130,79,5,10,0.9787265696760232,0.9805302061844504,0.9643262445521961,0.9526315789473684
10,betweenness,1,14,140,69,5,10,0.9941160112181117,0.9890699793737977,0.9981686434814107,0.9526315789473684
10,betweenness,1,15,150,59,5,10,1.0,0.991178875073583,0.9997123402642039,0.9526315789473684
10,betweenness,1,16,160,49,5,10,1.0,0.9924127152812856,1.0,1.0
10,betweenness,1,17,170,39,5,10,1.0,0.996102433585976,1.0,1.0
10,betweenness,1,18,180,29,5,10,1.0,0.9981754519592939,1.0,1.0
10,betweenness,1,19,190,19,5,10,1.0,0.9993486724843591,0.9999266767591685,1.0
10,betweenness,1,20,200,9,5,10,1.0,0.9997519541142731,0.999982275166378,1.0
10,betweenness,1,21,209,0,5,10,1.0,0.9999711144319979,1.0,1.0
10,betweenness,2,0,0,209,5,10,0.5411891961012577,0.7639354287330474,0.886279781496348,0.994736842105263
10,betweenness,2,1,10,199,5,10,0.7887783602478534,0.84957614570179,0.9100202878218046,0.994736842105263
10,betweenness,2,2,20,189,5,10,0.8145828314799126,0.8729451721272152,0.9106910246408869,0.994736842105263
10,betweenness,2,3,30,179,5,10,0.9125700209650384,0.8985430123914179,0.9048234766644322,0.9736842105263159
10,betweenness,2,4,40,169,5,10,0.9109371535866776,0.9155672615648411,0.9036676898356346,0.9736842105263159
10,betweenness,2,5,50,159,5,10,0.9080690430688988,0.9224668656661964,0.9038425043821919,1.0
10,betweenness,2,6,60,149,5,10,0.9077341957112399,0.9263586409093292,0.9066251375685416,1.0
10,betweenness,2,7,70,139,5,10,0.9280447388244866,0.9290514984207214,0.9057318463194952,1.0
10,betweenness,2,8,80,129,5,10,0.9367196621907734,0.9377194528973636,0.9115216875060685,1.0
10,betweenness,2,9,90,119,5,10,0.9553090804844212,0.94997366813586,0.9361440469457624,1.0
10,betweenness,2,10,100,109,5,10,0.9580906180351809,0.9586992376867257,0.943178240833912,1.0
10,betweenness,2,11,110,99,5,10,0.956565071776719,0.9601578104990218,0.9430822467763856,1.0
10,betweenness,2,12,120,89,5,10,0.9563238147612413,0.9632599022859413,0.9444965967056721,1.0
10,betweenness,2,13,130,79,5,10,0.9588120889713976,0.9673600243591466,0.9463111483437218,1.0
10,betweenness,2,14,140,69,5,10,0.9723123360890946,0.9751780745530761,0.9451121178425155,1.0
10,betweenness,2,15,150,59,5,10,0.9854646932014324,0.9820161821537163,0.9545371640889201,1.0
10,betweenness,2,16,160,49,5,10,0.999230450567622,0.9909802257388032,0.9857743037396437,1.0
10,betweenness,2,17,170,39,5,10,1.0,0.9949507973439977,1.0,1.0
10,betweenness,2,18,180,29,5,10,1.0,0.9970386486505888,1.0,1.0
10,betweenness,2,19,190,19,5,10,1.0,0.9985952811449283,1.0,1.0
10,betweenness,2,20,200,9,5,10,1.0,0.9998205206016337,1.0,1.0
10,betweenness,2,21,209,0,5,10,1.0,0.9999708788869538,1.0,1.0
10,betweenness,3,0,0,209,5,10,0.6648112637658552,0.839421938192685,0.9569335352993065,0.9736842105263159
10,betweenness,3,1,10,199,5,10,0.6621421472832225,0.8624739464303461,0.9392039184434819,0.9736842105263159
10,betweenness,3,2,20,189,5,10,0.7344234517724846,0.8760193858155363,0.9333543381640897,0.9736842105263159
10,betweenness,3,3,30,179,5,10,0.7803604071450801,0.9039560685596202,0.9259829010622171,0.9736842105263159
10,betweenness,3,4,40,169,5,10,0.9150430292020866,0.9261582117245091,0.9106411887970922,0.9736842105263159
10,betweenness,3,5,50,159,5,10,0.9430690100095221,0.9314381218911628,0.9175465499380634,0.9736842105263159
10,betweenness,3,6,60,149,5,10,0.9427641112778811,0.936466923856711,0.923513149768244,0.9736842105263159
10,betweenness,3,7,70,139,5,10,0.9398053170718013,0.94054280414403,0.924362216936572,0.9473684210526315
10,betweenness,3,8,80,129,5,10,0.9393143680582151,0.9447076248097358,0.9261440068877289,0.9473684210526315
10,betweenness,3,9,90,119,5,10,0.9496371576835293,0.9544505212640905,0.9329952588722571,0.9473684210526315
10,betweenness,3,10,100,109,5,10,0.9495877519322624,0.9564144763069072,0.933432502736936,0.9473684210526315
10,betweenness,3,11,110,99,5,10,0.9512783666994892,0.9602053777186383,0.9366319084952333,0.9473684210526315
10,betweenness,3,12,120,89,5,10,0.9505680722331915,0.9626505807017768,0.9381460537165501,0.9736842105263157
10,betweenness,3,13,130,79,5,10,0.9621831361267454,0.9688495740910008,0.9357699869676115,0.9736842105263157
10,betweenness,3,14,140,69,5,10,0.9756171713832236,0.9784194221033983,0.9438542710642144,0.9736842105263157
