damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,129,5,10,0.8284729767095296,0.8522125132479618,0.9592036938450625,0.9005847953216376
10,betweenness,0,1,6,123,5,10,0.7881522866893493,0.8966798069562323,0.9658848047395093,0.9356725146198832
10,betweenness,0,2,12,117,5,10,0.7715687694212753,0.9159473717411768,0.9693222210656463,0.9356725146198832
10,betweenness,0,3,18,111,5,10,0.7643738822626497,0.9228596721562103,0.9663984255116774,0.9707602339181287
10,betweenness,0,4,24,105,5,10,0.7618266229087642,0.9302801749266835,0.9692930442120461,0.9707602339181287
10,betweenness,0,5,30,99,5,10,0.7562641921956668,0.9417358752715901,0.970559692461525,0.9707602339181287
10,betweenness,0,6,36,93,5,10,0.8395383104097702,0.9481734048405318,0.9730125646846934,0.9473684210526319
10,betweenness,0,7,42,87,5,10,0.9433552768290899,0.9512370502175597,0.9741228576726969,0.9473684210526319
10,betweenness,0,8,48,81,5,10,0.9426042573643678,0.9597377238881202,0.9764447789096389,0.9707602339181287
10,betweenness,0,9,54,75,5,10,0.9405200812567375,0.9674962812544047,0.9790995386400909,0.9707602339181287
10,betweenness,0,10,60,69,5,10,0.9475767229262801,0.9724736051035651,0.9817043811093858,0.9707602339181287
10,betweenness,0,11,66,63,5,10,0.9469453470936797,0.9748063697473945,0.9809035967361337,0.9707602339181287
10,betweenness,0,12,72,57,5,10,0.9663049171371434,0.9773590126270614,0.9819062669752509,0.9707602339181287
10,betweenness,0,13,78,51,5,10,0.9690159032651856,0.9808448987510204,0.9834843389471263,1.0
10,betweenness,0,14,84,45,5,10,0.9668963079552432,0.9861763971905583,0.9848677140127448,1.0
10,betweenness,0,15,90,39,5,10,0.970599451148926,0.9899763460731572,0.9919497966608388,1.0
10,betweenness,0,16,96,33,5,10,0.9882562155658386,0.9943417617170629,1.0,1.0
10,betweenness,0,17,102,27,5,10,1.0,0.9963492857924579,1.0,1.0
10,betweenness,0,18,108,21,5,10,1.0,0.997386690283139,1.0,1.0
10,betweenness,0,19,114,15,5,10,1.0,0.9981902828245829,1.0,1.0
10,betweenness,0,20,120,9,5,10,1.0,0.9990907266390892,1.0,1.0
10,betweenness,0,21,126,3,5,10,1.0,0.9999350422119238,1.0,1.0
10,betweenness,0,22,129,0,5,10,1.0,0.9999350422119238,1.0,1.0
10,betweenness,1,0,0,129,5,10,1.0233221571479498,0.8718327397718426,0.9724736926228348,0.9824561403508772
10,betweenness,1,1,6,123,5,10,0.9794360910114098,0.9137064796835974,0.9775576262782277,0.9356725146198832
10,betweenness,1,2,12,117,5,10,0.9739678883124575,0.9249247468452085,0.97843279360066,0.9356725146198832
10,betweenness,1,3,18,111,5,10,0.9538091605729994,0.9322173763268773,0.9800752220923205,0.9356725146198832
10,betweenness,1,4,24,105,5,10,0.951884613159324,0.9401789110022587,0.9810907883746085,0.9356725146198832
10,betweenness,1,5,30,99,5,10,0.9501045096390486,0.9462835680601431,0.9821215329080716,0.9356725146198832
10,betweenness,1,6,36,93,5,10,0.9494886914530218,0.9521598248584243,0.9847312196549826,0.9356725146198832
10,betweenness,1,7,42,87,5,10,0.9480441642418199,0.9607371989345715,0.9864890554631545,0.9356725146198832
10,betweenness,1,8,48,81,5,10,0.9478036471292415,0.9656148406271596,0.9870554408285618,0.9356725146198832
10,betweenness,1,9,54,75,5,10,0.944167710919868,0.9686392470456775,0.9866324574506917,0.9356725146198832
10,betweenness,1,10,60,69,5,10,0.9439189387541665,0.974159154953709,0.9881964199100292,0.9356725146198832
10,betweenness,1,11,66,63,5,10,0.9438412876050619,0.9788935361607136,0.9920148495356984,0.9356725146198832
10,betweenness,1,12,72,57,5,10,0.9436978419512608,0.9824211224274686,0.9929284615200827,0.9356725146198832
10,betweenness,1,13,78,51,5,10,0.9434831114204159,0.9857037752212059,0.9943419438399334,0.9356725146198832
10,betweenness,1,14,84,45,5,10,0.975247888259566,0.989147869329336,0.9933685345456668,0.9356725146198832
10,betweenness,1,15,90,39,5,10,0.9937936631162902,0.9924937514105463,0.9995401002303957,0.9356725146198832
10,betweenness,1,16,96,33,5,10,1.0,0.9960132372865824,1.0,0.9356725146198832
10,betweenness,1,17,102,27,5,10,1.0,0.9972674152369474,1.0,0.9356725146198832
10,betweenness,1,18,108,21,5,10,1.0,0.9985508724191559,1.0,0.9356725146198832
10,betweenness,1,19,114,15,5,10,1.0,0.9990110637514857,1.0,0.9649122807017545
10,betweenness,1,20,120,9,5,10,1.0,0.999842556700718,1.0,0.9649122807017545
10,betweenness,1,21,126,3,5,10,1.0,0.9998709907034614,1.0,1.0
10,betweenness,1,22,129,0,5,10,1.0,0.9998709907034614,1.0,1.0
10,betweenness,2,0,0,129,5,10,0.8867593007236663,0.8513710657840547,0.9177979181085494,0.9707602339181287
10,betweenness,2,1,6,123,5,10,0.8667270811746274,0.8604594708161113,0.9197861320617865,0.9707602339181287
10,betweenness,2,2,12,117,5,10,0.8408508821239693,0.874766595942518,0.9231711260341963,0.9707602339181287
10,betweenness,2,3,18,111,5,10,0.8360454771338292,0.9045022667401528,0.9288404075198234,0.9707602339181287
10,betweenness,2,4,24,105,5,10,0.9294628166508258,0.9175678765656743,0.933765378691363,0.9707602339181287
10,betweenness,2,5,30,99,5,10,0.9238915251894961,0.9288504536055903,0.9380772625487338,0.9707602339181287
10,betweenness,2,6,36,93,5,10,0.9226142443378467,0.9326984425447152,0.9381642702942483,0.9707602339181287
10,betweenness,2,7,42,87,5,10,0.9203331719315981,0.9366045896716654,0.936675585294953,0.9707602339181287
10,betweenness,2,8,48,81,5,10,0.9504691637161474,0.9423375082452399,0.9379153030932151,0.9707602339181287
10,betweenness,2,9,54,75,5,10,0.9500582924847254,0.9489848183081792,0.9422560151312024,0.9707602339181287
10,betweenness,2,10,60,69,5,10,0.9569545487926585,0.9558768014855882,0.9473413223689154,0.9707602339181287
10,betweenness,2,11,66,63,5,10,0.956379596744209,0.9599741083063427,0.947712411755055,0.9707602339181287
10,betweenness,2,12,72,57,5,10,0.9592222364215934,0.9689687770173125,0.9564232540668062,0.9707602339181287
10,betweenness,2,13,78,51,5,10,0.9590868866731095,0.9707381079525647,0.9572503935982011,0.9707602339181287
10,betweenness,2,14,84,45,5,10,0.9589827824128102,0.9728225581839786,0.957736959098507,0.9707602339181287
10,betweenness,2,15,90,39,5,10,0.976756802497955,0.9762543786891558,0.9575405150038343,0.9707602339181287
10,betweenness,2,16,96,33,5,10,0.9882824839282037,0.9840509731900189,0.9697198593899924,0.9707602339181287
